date,expected_return_pct,stake_fraction,uncertainty_multiplier,n_fights,mean_absolute_decimal_change,movement_pct,pct_opening_ev
2024-07-27,5.6711000152694435,0.6321621423121415,0.8446369428519789,10,0.03098392656706338,7,53.82581389960605
2024-08-03,9.835925056287968,0.9620855239146043,0.807125680318687,11,0.014093261079876206,7,74.4518870760792
2024-08-10,0.8303936644223832,0.29940536731249656,0.6805858655595272,5,0.031244326499734187,7,18.951544628816954
2024-08-17,11.102803308030424,0.6482991539537807,0.8718500926630205,10,0.016797748048708882,7,65.88872822864023
2024-08-24,1.0367896295905499,0.35629599365719516,0.658892089148868,5,0.05619492387346163,7,15.270993377215609
2024-09-07,6.376281170199983,0.7034822865806017,0.8379719953521958,7,0.04907979698814239,7,92.91036274183799
2024-09-14,4.677732976866575,0.6994424137760398,0.7425533569578976,10,0.027848673830254245,7,53.662766387376394
2024-09-28,3.2450526095601138,0.29479349272981514,0.8163366851043585,10,0.018295911507147423,7,92.06594486979095
2024-10-05,14.970210565636755,1.0,0.8549944676617767,12,0.02819622271441316,7,93.92026209206057
2024-10-12,10.218015958919507,0.9999999999999998,0.8544521049149699,8,0.014643681953788332,7,71.12684246609987
2024-10-19,5.645174551732583,0.38769571668293656,0.7926670162445462,9,0.02223557856095637,7,57.15671044330714
2024-10-26,9.118231971696726,1.0,0.8160159926639917,9,0.030218139897344922,7,51.36665006422162
2024-11-02,3.9692555598096937,0.6210293525610291,0.7546190459659944,10,0.023969911927954425,7,47.178689558096046
2024-11-09,3.8641530411872584,0.4259346258273532,0.7687524783354447,6,0.0199635152200696,7,60.85747853854367
2024-11-16,2.797487201643544,0.5878809481479094,0.732767610926377,11,0.032383837558169516,7,31.014928371258115
2024-11-23,0.0,0.0,0.0,3,0.03450704742931913,7,
2024-12-07,9.227384659947864,0.8422973341399882,0.8145482289846219,13,0.02084260311185029,7,104.09348759824783
2024-12-14,5.995009235871462,0.6313520332178872,0.8626170638670694,10,0.03126315682227154,7,54.7971639075699
2025-01-11,0.2522069134434879,0.21001713727587884,0.592155306628212,9,0.028325560435387958,7,22.434109542262625
2025-01-18,4.201421878023044,0.5147640090253546,0.7911188104857528,10,0.041353505177070614,7,54.37178101398774
2025-02-01,10.476816961246886,0.873844126373617,0.7883725178451547,9,0.03033042782106575,7,75.51556001891107
2025-02-08,6.6767564530135,0.49872486469753263,0.8401716679249814,5,0.020824091754733876,7,65.59481358384684
2025-02-15,7.067765838900221,0.9862651788867342,0.7855176051946899,10,0.03658930361927163,7,52.94099683715429
2025-02-22,2.661044875641403,0.3556453861559253,0.7304763287982745,8,0.015127880365580507,7,49.28678698886271
2025-03-01,5.407922413890363,0.42832227610715046,0.8545546199659134,7,0.01863007568801998,7,69.96973465081233
2025-03-08,6.704313036229767,0.4220064740306025,0.8621659615734365,8,0.015268637823754053,7,70.34081892032368
2025-03-15,12.426768763719522,0.8446142824998336,0.8512451918061339,8,0.015172261098121545,7,91.176231489003
2025-03-22,1.8047410804110047,0.31486797218456664,0.7747393697671389,8,0.016274107918619177,7,40.86966921827414
2025-03-29,9.56467160078674,0.9835839194038823,0.8654095104573797,10,0.023959932386303208,7,78.58918085692552
2025-04-05,1.7344608780568709,0.27107446559426746,0.8277898682621943,5,0.043514389554829336,7,66.25485642642155
2025-04-12,4.841335676047518,0.7572716213188021,0.7979779320216062,11,0.03007036964168069,7,45.728926311431906
2025-04-26,1.8254202915771127,0.3778868848972523,0.7428837860622227,10,0.046326048206301165,7,73.77279043990602
2025-05-03,4.746048796767051,0.6659692642257332,0.7792370508826545,11,0.02113757707660182,7,44.59240706165927
2025-05-10,3.885048341315181,0.6861431113231746,0.7335977766553695,12,0.01229145876005372,7,85.81906111363651
2025-05-17,3.8117125776301974,0.4996269803750865,0.8101063401770637,8,0.01952906350795773,7,60.706767359342166
2025-05-31,1.1482357059891939,0.26680329007564446,0.676580948955228,6,0.01578173984765043,7,52.636684281350306
2025-06-07,4.631161345185356,0.6437912849670817,0.7995293529216633,8,0.02493598850837421,7,56.15835685481397
2025-06-14,4.3247849185420835,0.6784326429758655,0.8381402672171995,10,0.02364843204713,7,48.94362416336532
2025-06-21,3.4117242660904283,0.4579826930696982,0.7800781842539294,8,0.016931798145380192,7,38.58195553599462
2025-06-28,4.501997603300614,0.7956385300599967,0.7757210540091536,10,0.012882934656526979,7,45.1042286689686
2025-07-12,4.066275586607273,0.6936086748475344,0.7359451265523518,11,0.022064142603076965,7,68.8388221118921
2025-07-19,0.11092843467286444,0.044576818603087785,0.4703238219044002,2,0.004223632924452603,7,35.11149406109399
2025-07-26,5.85233160705747,0.6385465258401831,0.7959709033528113,10,0.005458585686431994,7,116.858239108766
2025-08-02,7.630407387731886,0.8119686509757055,0.820496109113941,11,0.013617963086155179,7,68.23919169406084
2025-08-09,13.876908958300227,0.8569909785693195,0.9050387243775402,11,0.021235723140640372,7,74.9606613371074
2025-08-16,2.6539850891426986,0.520898507377232,0.8255355354618141,9,0.017725086097303895,7,59.44273648852
2025-08-23,9.538130056827542,0.6257463185516466,0.8397607974615302,9,0.013976941550315505,7,86.83126693946585
2025-09-06,2.1602367413595487,0.3621571764425439,0.6879564045129157,8,0.02285757854953116,7,62.505235852862725
2025-09-13,17.19229216509927,0.9182706102976443,0.8926293174801767,9,0.018945080308820535,7,80.69931314362253
2025-09-27,2.4808843231216575,0.6522976545788234,0.674199792292957,8,0.015827029430159983,7,50.74724627179173
2025-10-04,7.2692990003972975,1.0,0.8227891451923748,9,0.020645399048997006,7,84.52815339611207
2025-10-11,5.525475506415602,0.8159329513288484,0.8227711479233558,11,0.025552277629243825,7,47.02186718386372
2025-10-18,2.6146996333376493,0.4704834072922008,0.7172871518712749,10,0.019284571182116194,7,118.00523817804695
2025-10-25,7.952033529081081,1.0,0.776475693586428,11,0.034832300839068714,7,66.10603503605647
2025-11-01,7.557189120440114,0.8324398367700488,0.8243451299375163,11,0.019751421830899427,7,60.54271382331302
2025-11-08,9.195841018500003,0.9614303390600613,0.8196908351235299,10,0.0361319120640638,7,123.78248001435234
2025-11-15,2.401665653031368,0.5960105047833877,0.7414427573787188,10,0.027269630922282385,7,48.62603372377447
2025-11-22,5.45297192730863,0.8525716534619231,0.7998215523331959,8,0.02468081536900077,7,58.121332036128564
2025-12-06,6.810293178370963,0.9999999999999999,0.8222543752689034,12,0.02485418160120559,7,52.554476433815566
2025-12-13,2.6546392792567937,0.3423039329017581,0.8093753065430768,5,0.02982357087591956,7,72.19478276362742
2026-01-24,2.3567239347010154,0.49448413199025465,0.7534165959940424,7,0.03397718884199252,7,35.93060690657785
2026-01-31,1.5549468669957571,0.45246809769565266,0.6719906538965578,10,0.015177320823699015,7,42.62503362817131
2026-02-07,15.494262800860973,0.9673985424471033,0.8595632280401341,10,0.02924804947276346,7,110.9307837585636
2026-02-21,14.429003639724003,1.0,0.8736280069242951,11,0.03416947260271947,7,63.94227909308778
2024-05-11,1.2322071981863147,0.29436030521422357,0.7822685417252734,4,0.012241350264546008,8,21.59771753264294
2024-05-18,11.760378199009896,0.8698447650436909,0.8065078073816843,9,0.02842167756019766,8,86.30401272695745
2024-06-01,8.066221682650342,0.9710689602399087,0.8461585649805624,10,0.018887189184478403,8,74.85251755632638
2024-06-08,9.303679181676456,0.892204163678815,0.8152493440710131,13,0.01800695513399189,8,84.02994166909131
2024-06-15,2.5233804586250437,0.39499434990107707,0.8123215222534743,7,0.022561794448455328,8,27.452107619017415
