event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
34,2025-03-01,70,7044.954951143355,9116.336876633008,11380.823680381685,11772.527656709046,9199.846146981252,0.0
35,2025-03-08,70,6118.291188331827,7962.512003032951,9966.885240145719,10367.517360608941,8039.382084085795,0.0
36,2025-03-15,70,6118.291188331827,7962.512003032951,9966.885240145719,10367.517360608941,8039.382084085795,0.0
37,2025-03-22,70,5983.4535114589435,7803.189603944633,9813.721217019855,10240.249411828461,7876.528331438899,0.0
38,2025-03-29,70,5983.4535114589435,7803.189603944633,9813.721217019855,10240.249411828461,7876.528331438899,0.0
39,2025-04-05,70,6455.5992191259365,8417.515777229837,10588.613302952517,11046.512726979403,8497.171785801826,0.0
40,2025-04-12,70,4427.8313204350725,5887.219512546384,7801.89798998028,8249.105780837051,5998.1115984386815,0.0
41,2025-04-26,70,5027.439146489171,6729.071834366815,8918.357980243341,9489.599551407242,6863.556202006991,0.0
42,2025-05-03,70,5027.439146489171,6729.071834366815,8918.357980243341,9489.599551407242,6863.556202006991,0.0
43,2025-05-10,70,5027.439146489171,6729.071834366815,8918.357980243341,9489.599551407242,6863.556202006991,0.0
44,2025-05-17,70,6214.45104674148,8327.907579268738,11063.66039494872,11759.662943226675,8494.275545414528,0.0
45,2025-05-31,70,5798.382971918827,7795.770504004158,10409.926854462803,11043.045272139672,7967.962405627608,0.0
46,2025-06-07,70,5934.308013439859,7975.718497261238,10608.910119077214,11261.869350654903,8142.716648021944,0.0
47,2025-06-14,70,6637.305179625681,9051.477835080375,12291.452857689008,12946.907295699844,9264.14245246207,0.0
48,2025-06-21,70,3774.291618524087,5481.430083823204,8596.419585344442,9291.20276348209,5817.411647357635,0.0
49,2025-06-28,70,4683.273752783392,6817.596788266485,10690.171834288843,11527.640806385309,7231.5225993037375,0.0
50,2025-07-12,70,5229.303306603371,7618.947439919955,11969.70993441737,12887.378202358623,8084.220826820901,0.0
