date,target_pct_opening_ev,candidate_count,qualifying_unique_combinations,opening_ev_pct,tolerance_pp,status,achieved_ev_ratio_min,achieved_ev_ratio_max,scenario_realized_return_min_pct,scenario_realized_return_max_pct
2025-03-01,70,50000,2784,7.72894515161289,1.0,qualified,69.01092209438637,70.98786529164192,22.027561567573592,23.19821160710425
2025-03-01,80,50000,3194,7.72894515161289,1.0,qualified,79.00070978089995,80.99957910544563,23.58720869120665,27.09665703376029
2025-03-01,90,50000,639,7.72894515161289,1.0,qualified,89.00620243304888,90.98104975867228,25.511084362101183,28.38829875422609
2025-03-01,100,50000,4293,7.72894515161289,1.0,qualified,99.00058181521388,100.0,29.74973270709953,30.56835578459493
2025-03-08,50,50000,0,9.531184224374561,1.0,no_sampled_match_no_bet,,,,
2025-03-08,60,50000,0,9.531184224374561,1.0,no_sampled_match_no_bet,,,,
2025-03-08,70,50000,4409,9.531184224374561,1.0,qualified,69.00142144267156,70.99862274575776,-14.82380316194583,-5.849330503986992
2025-03-08,80,50000,851,9.531184224374561,1.0,qualified,79.00168761435157,80.99999816660944,-13.279583477155501,-2.886331652261984
2025-03-08,90,50000,2009,9.531184224374561,1.0,qualified,89.00612150618485,90.99873915787303,-15.956261980827493,-6.72735084459928
2025-03-08,100,50000,3798,9.531184224374561,1.0,qualified,99.00014210803818,100.0,-4.311319125264563,-3.250211155517753
2025-03-15,50,50000,0,13.62939503067567,1.0,no_sampled_match_no_bet,,,,
2025-03-15,60,50000,0,13.62939503067567,1.0,no_sampled_match_no_bet,,,,
2025-03-15,70,50000,0,13.62939503067567,1.0,no_sampled_match_no_bet,,,,
2025-03-15,80,50000,0,13.62939503067567,1.0,no_sampled_match_no_bet,,,,
2025-03-15,90,50000,3744,13.62939503067567,1.0,qualified,89.00714045784498,90.99971124336903,8.230435638584055,14.505009673298966
2025-03-15,100,50000,9986,13.62939503067567,1.0,qualified,99.00005935681223,100.99968254940167,11.07627084213355,18.583096733171644
2025-03-22,50,50000,1250,4.415844598037625,1.0,qualified,49.00404374384028,50.9943639363392,-5.914093462958454,0.7010485198422604
2025-03-22,60,50000,1333,4.415844598037625,1.0,qualified,59.00267331830432,60.99611729554365,-5.873864882524068,2.0621267677040573
2025-03-22,70,50000,1440,4.415844598037625,1.0,qualified,69.00102311231515,70.99842440085393,-5.6664372263721425,2.400865220022744
2025-03-22,80,50000,1507,4.415844598037625,1.0,qualified,79.00547101649109,80.99805924952251,-4.51218557457088,2.483103197493623
2025-03-22,90,50000,1788,4.415844598037625,1.0,qualified,89.00426116246129,90.99777016996373,-3.086484873563445,2.615302819042533
2025-03-22,100,50000,2257,4.415844598037625,1.0,qualified,99.0020132503764,100.18963414116772,2.8142913943690306,3.608894109251907
2025-03-29,50,50000,0,12.170468627481402,1.0,no_sampled_match_no_bet,,,,
2025-03-29,60,50000,0,12.170468627481402,1.0,no_sampled_match_no_bet,,,,
2025-03-29,70,50000,0,12.170468627481402,1.0,no_sampled_match_no_bet,,,,
2025-03-29,80,50000,3357,12.170468627481402,1.0,qualified,79.00017092441517,80.9998080352467,35.56746509463961,38.451830099720205
2025-03-29,90,50000,3141,12.170468627481402,1.0,qualified,89.0029866350682,90.99995894046839,37.65458088112636,40.36632842292082
2025-03-29,100,50000,6569,12.170468627481402,1.0,qualified,99.00073390530568,100.99973406381702,39.9112490323172,42.53512033395307
2025-04-05,50,50000,0,2.6178622543436547,1.0,no_sampled_match_no_bet,,,,
2025-04-05,60,50000,0,2.6178622543436547,1.0,no_sampled_match_no_bet,,,,
2025-04-05,70,50000,2791,2.6178622543436547,1.0,qualified,69.1658190540746,70.98173581107139,7.846518182992414,7.913777464359585
2025-04-05,80,50000,2165,2.6178622543436547,1.0,qualified,79.33693394943342,80.78674158511949,8.222705126466991,8.27599214689991
2025-04-05,90,50000,2738,2.6178622543436547,1.0,qualified,89.1321486035064,90.94276801855956,8.582876456913034,8.649154218166268
2025-04-05,100,50000,2963,2.6178622543436547,1.0,qualified,99.28010140548946,100.0,8.954511487456609,8.98058271794284
2025-04-12,50,50000,1030,10.587031156332266,1.0,qualified,49.00011263839162,50.99988362765405,-36.25152079786343,-20.83434664442823
2025-04-12,60,50000,896,10.587031156332266,1.0,qualified,59.004539334378705,60.999086544246644,-36.06213104687095,-18.28103416631164
2025-04-12,70,50000,1082,10.587031156332266,1.0,qualified,69.0005187176181,70.9993992409052,-34.44996699060615,-12.91077679212213
2025-04-12,80,50000,1438,10.587031156332266,1.0,qualified,79.00106705031135,80.99982051428867,-33.66697687788553,-11.691633750581055
2025-04-12,90,50000,1811,10.587031156332266,1.0,qualified,89.000825781533,90.99956938251567,-31.359444095549517,-9.57317982053787
2025-04-12,100,50000,6195,10.587031156332266,1.0,qualified,99.00148282221565,100.99908397274208,-27.09200373154675,-20.364733879865963
2025-04-26,50,50000,193,2.474381517483831,1.0,qualified,49.01898842397465,50.980017453650234,10.591425235627332,18.468487140683308
2025-04-26,60,50000,153,2.474381517483831,1.0,qualified,59.018771134823936,60.99544020918941,11.2767640513156,19.91255188149153
2025-04-26,70,50000,105,2.474381517483831,1.0,qualified,69.03997251811685,70.9899144731422,11.997239855540117,20.88986200477733
2025-04-26,80,50000,90,2.474381517483831,1.0,qualified,79.00628236140722,80.99430071367739,13.111936925164228,23.210644584546923
2025-04-26,90,50000,164,2.474381517483831,1.0,qualified,89.02080512109936,90.99770415333255,13.551227800608617,23.228636946114946
2025-04-26,100,50000,864,2.474381517483831,1.0,qualified,99.00009940660753,100.98731752807291,14.04571988170333,25.638368118604532
2025-05-03,50,50000,7455,10.64317696554157,1.0,qualified,49.00001249919037,50.99993568830506,36.97677461639506,42.79767339169243
2025-05-03,60,50000,0,10.64317696554157,1.0,no_sampled_match_no_bet,,,,
2025-05-03,70,50000,0,10.64317696554157,1.0,no_sampled_match_no_bet,,,,
2025-05-03,80,50000,0,10.64317696554157,1.0,no_sampled_match_no_bet,,,,
2025-05-03,90,50000,61,10.64317696554157,1.0,qualified,89.0363946568534,90.9992464787145,58.568368988859454,62.435729121932994
2025-05-03,100,50000,3679,10.64317696554157,1.0,qualified,99.00057595487942,100.99555647944523,62.41676652794611,67.15210015126691
2025-05-10,50,50000,0,4.527022657787913,1.0,no_sampled_match_no_bet,,,,
2025-05-10,60,50000,0,4.527022657787913,1.0,no_sampled_match_no_bet,,,,
2025-05-10,70,50000,0,4.527022657787913,1.0,no_sampled_match_no_bet,,,,
2025-05-10,80,50000,2,4.527022657787913,1.0,qualified,80.44770276328522,80.89568507309077,25.5554732189757,26.186608176788628
2025-05-10,90,50000,5129,4.527022657787913,1.0,qualified,89.00020610857469,90.99915731428281,26.705331412877015,29.826551357357793
2025-05-10,100,50000,6599,4.527022657787913,1.0,qualified,99.00006897795087,100.99988114185409,28.66315405640867,31.62507987239971
2025-05-17,50,50000,0,6.278892359837726,1.0,no_sampled_match_no_bet,,,,
2025-05-17,60,50000,2119,6.278892359837726,1.0,qualified,59.00140942559092,60.99945950147588,19.200226041325024,23.16094963459365
2025-05-17,70,50000,1991,6.278892359837726,1.0,qualified,69.00008548331262,70.99980651680623,20.731934007763584,25.165493972272245
2025-05-17,80,50000,1792,6.278892359837726,1.0,qualified,79.00061267928209,80.99903534717424,22.826422590552024,26.768018548804108
2025-05-17,90,50000,2298,6.278892359837726,1.0,qualified,89.00026499240136,90.99971905758782,24.98040473465228,29.674220826718162
2025-05-17,100,50000,3993,6.278892359837726,1.0,qualified,99.00002812713359,100.16314979013025,27.671844778589005,28.58886524433751
2025-05-31,50,50000,3203,2.1814362391288107,1.0,qualified,49.00015293992568,50.99979426172246,-8.75279241966869,-0.6901931225439326
2025-05-31,60,50000,1854,2.1814362391288107,1.0,qualified,59.006432247319566,60.9993111681939,-10.071917649364039,0.21376358529302483
2025-05-31,70,50000,1624,2.1814362391288107,1.0,qualified,69.00075433788102,70.99553918109586,-9.521246527443349,1.0816875670869437
2025-05-31,80,50000,1759,2.1814362391288107,1.0,qualified,79.00015437417838,80.99832018529882,-8.680556249172943,1.9468662410330333
2025-05-31,90,50000,2002,2.1814362391288107,1.0,qualified,89.00084869935048,90.99973667529656,-7.992472417840436,3.133400489751555
2025-05-31,100,50000,1703,2.1814362391288107,1.0,qualified,99.00051979279594,100.7931492920568,-6.909685122633132,-6.310183240724673
2025-06-07,50,50000,0,8.246611198326697,1.0,no_sampled_match_no_bet,,,,
2025-06-07,60,50000,1900,8.246611198326697,1.0,qualified,59.000777463412625,60.99955817700928,-0.2707160438787778,1.4942263095930701
2025-06-07,70,50000,1504,8.246611198326697,1.0,qualified,69.00283880149169,70.99408841604581,0.9981927520257579,3.0569146304379506
2025-06-07,80,50000,1802,8.246611198326697,1.0,qualified,79.00399004608023,80.99977637903876,2.4621298054310468,4.407238655605352
2025-06-07,90,50000,2512,8.246611198326697,1.0,qualified,89.0003357664112,90.99987110764062,3.760800043251875,5.831536220829922
2025-06-07,100,50000,2933,8.246611198326697,1.0,qualified,99.0001194853065,99.99999999999999,5.236237286115488,5.490214526060077
2025-06-14,50,50000,2683,8.836258026391143,1.0,qualified,49.00014775342419,50.998033296834556,-1.9803839586553178,19.79056293374956
2025-06-14,60,50000,1982,8.836258026391143,1.0,qualified,59.00011655557378,60.99779222276985,-0.9820141823234523,21.711746005619034
2025-06-14,70,50000,1386,8.836258026391143,1.0,qualified,69.00543478972364,70.9996785185178,0.6157828412263205,35.30240671206592
