,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge
3,viktoriia dudakova,0.13501199874690867,0.0,0.09325796329425973,0.007383699919577491,1.434782608695652,2024-08-03,0.0,1,0.7021159120651601,0.5508056660986428,-0.009641105589286991,-0.004169830054739865
2,umar nurmagomedov,0.13501199874690867,0.0,0.04175403545264894,-0.016900020826447315,1.2531645569620251,2024-08-03,0.0,0,0.7844939227748553,0.5508056660986428,-0.009641105589286991,-0.004169830054739865
0,yana santos,0.19569914105795433,-1.0,0.07948155461049929,0.015820963040062808,1.6369426751592355,2024-08-10,1.0,1,0.620559887927198,0.41241016678688497,0.004404875674692388,0.001055671829860938
2,karl williams,0.19569914105795433,-1.0,0.11621758644745504,-0.011238286844568901,1.4878048780487805,2024-08-10,1.0,0,0.6645775449077488,0.41241016678688497,0.004404875674692388,0.001055671829860938
5,dricus du plessis,0.21929712222314718,-1.0,0.07506936294256432,0.16143947400048198,1.8333333333333333,2024-08-17,1.0,1,0.6335124403638993,0.5436321047563765,0.21813860510225114,0.06399994000859255
3,mateusz gamrot,0.21929712222314718,-1.0,0.14422775928058285,0.0488179817984605,1.2222222222222223,2024-08-17,0.0,1,0.8581238032896494,0.5436321047563765,0.21813860510225114,0.06399994000859255
6,tabatha ricci,0.20361820419279975,0.9553571428571432,0.08632095355357208,0.03773934888357222,1.5208333333333337,2024-08-24,0.0,0,0.682349160909746,0.5387171684345182,0.05338446327820989,0.018270404505582816
4,caio borralho,0.20361820419279975,0.9553571428571432,0.11729725063922765,0.015076150298694052,1.2857142857142856,2024-08-24,0.0,0,0.7895036724545399,0.5387171684345182,0.05338446327820989,0.018270404505582816
1,jaqueline amorim,0.22119289408153486,0.7704918032786883,0.13837236882452117,0.12104356789377196,1.3278688524590163,2024-09-07,1.0,1,0.8442426869323468,0.629058562736578,0.11374302910738376,0.04313603220900403
3,natalia silva,0.22119289408153486,0.7704918032786883,0.08282052525701368,-0.006512270348336513,1.3333333333333333,2024-09-07,0.0,0,0.7451157972387477,0.629058562736578,0.11374302910738376,0.04313603220900403
2,merab dvalishvili,0.19668868509890874,-1.0,0.10261372515065117,0.30555467687465776,1.8333333333333333,2024-09-14,0.0,0,0.7121207328407224,0.5044935147344272,0.3653356232098388,0.09884250544555923
0,daniel zellhuber,0.19668868509890874,-1.0,0.09407495994825758,0.04578969184062798,1.4761904761904765,2024-09-14,0.0,1,0.7084381783436511,0.5044935147344272,0.3653356232098388,0.09884250544555923
9,fares ziam,0.14330304381437303,2.515151515151515,0.08063026143172312,0.1303547282307237,1.7575757575757576,2024-09-28,1.0,1,0.6431328626140325,0.3267095973790611,0.148433736241548,0.04108219800747115
2,daniel barez,0.14330304381437303,2.515151515151515,0.0626727823826499,0.015994101284578344,2.0,2024-09-28,1.0,1,0.5079970506422892,0.3267095973790611,0.148433736241548,0.04108219800747115
4,carla esparza,0.18066337085807885,-1.0,0.07052478852314588,0.2639785737727036,2.35,2024-10-05,0.0,1,0.5378632228820015,0.3599350997836309,0.4587804442680059,0.10084692764109024
7,mario bautista,0.18066337085807885,-1.0,0.11013858233493297,0.15411801634727135,1.7246376811594204,2024-10-05,0.0,0,0.6691944800669052,0.3599350997836309,0.4587804442680059,0.10084692764109024
2,julia polastri,0.15993603705521292,-1.0,0.07067063433767762,0.09887830752468246,1.8,2024-10-12,1.0,1,0.6104879486248236,0.4266913441531399,0.17657868515419017,0.05054476651557105
4,jonathan pearce,0.15993603705521292,-1.0,0.08926540271753529,0.07070881015436031,1.5319148936170213,2024-10-12,0.0,1,0.6989349177396519,0.4266913441531399,0.17657868515419017,0.05054476651557105
0,anthony hernandez,0.1777162866870456,1.6280864197530867,0.08893295084620884,0.11403099497798042,1.617283950617284,2024-10-19,1.0,1,0.6888283251390566,0.46145174315752613,0.21273505956368366,0.06251564935558496
8,melissa martinez,0.1777162866870456,1.6280864197530867,0.08878333584083674,0.08860082442109635,1.625,2024-10-19,1.0,1,0.6699081996437516,0.46145174315752613,0.21273505956368366,0.06251564935558496
2,ilia topuria,0.23007168521433868,1.0574671230408934,0.13648784434655378,0.11361475334262505,1.3278688524590163,2024-10-26,1.0,1,0.838648147579014,0.5824843860848579,0.19844247405425341,0.06736161256140794
6,ismail naurdiev,0.23007168521433868,1.0574671230408934,0.0935838408677849,0.0761733089984753,1.5494505494505495,2024-10-26,1.0,1,0.6945515682188741,0.5824843860848579,0.19844247405425341,0.06736161256140794
9,serhiy sidey,0.1840931462639787,1.6433566433566433,0.08506333927191845,0.15383629754132233,1.6993006993006992,2024-11-02,1.0,1,0.6790065454667041,0.47890160141654214,0.2659077296185519,0.07648475522831971
10,charles jourdain,0.1840931462639787,1.6433566433566433,0.09902980699206025,0.09712940415901233,1.5555555555555556,2024-11-02,1.0,1,0.7052974741022222,0.47890160141654214,0.2659077296185519,0.07648475522831971
4,denise gomes,0.17278356380664536,0.0,0.10502846661560282,-0.007545284683806844,1.1428571428571428,2024-11-09,0.0,0,0.8683978759016691,0.6400758893429438,-0.02051340904421195,-0.008180405535880175
1,damon blackshear,0.17278356380664536,0.0,0.06775509719104254,-0.013066716455947897,1.3389830508474576,2024-11-09,0.0,0,0.7370767560645453,0.6400758893429438,-0.02051340904421195,-0.008180405535880175
1,jon jones,0.2352187343545203,0.9701492537313434,0.16152142108155707,0.007364835501305761,1.1492537313432836,2024-11-16,1.0,1,0.8765382334881492,0.5149657750743775,0.014559437459967572,0.005287265679418451
9,eduarda moura,0.2352187343545203,0.9701492537313434,0.07369731327296322,0.007142002286670446,1.7142857142857144,2024-11-16,0.0,0,0.5874995013338911,0.5149657750743775,0.014559437459967572,0.005287265679418451
0,xiao long,0.07869416236456059,0.0,0.07869416236456059,0.0335054079173398,1.6666666666666663,2024-11-23,1.0,1,0.620103244750404,0.4560230147301338,-0.013084520360158503,-0.0073065838146166295
1,petr yan,0.07869416236456059,0.0,0.0,-0.04507952055266315,1.2985074626865671,2024-11-23,1.0,1,0.7353985301490985,0.4560230147301338,-0.013084520360158503,-0.0073065838146166295
8,michael chiesa,0.15506263788471986,-1.0,0.08583764929194883,0.13297281275550615,1.6756756756756757,2024-12-07,1.0,1,0.676128936644415,0.4047274475635782,0.2679240601697994,0.07153304564207125
