,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge,fstar_net,choice_decimal_odds
3,joe pyfer,0.23119521612077762,2.157554379776602,0.11185655756987326,0.06957847854956783,1.617283950617284,2024-06-29,1.0,1,0.6613424180344656,0.47467630667720234,0.4988162511247818,0.12428666893050277,0.11185655756987326,1.617283950617284
3,jean silva,0.11950212037479055,2.833333333333332,0.08044700809619171,0.187058429186032,2.3,2024-07-13,0.0,0,0.5161123605156661,0.34919721940745396,0.3385893410619065,0.07896060967092544,0.08044700809619171,2.3
7,montel jackson,0.11950212037479055,2.833333333333332,0.12319608654895876,0.12765244586972818,1.6666666666666663,2024-07-13,1.0,1,0.6765914675218371,0.34919721940745396,0.3385893410619065,0.07896060967092544,0.12319608654895876,1.6666666666666663
4,cody durden,0.153570255835269,-1.0,0.1440351331219355,0.19754918904832336,1.6666666666666663,2024-07-20,0.0,1,0.7185295134289942,0.40130579071275135,0.3711281182685666,0.09461722873587888,-0.1440351331219355,1.6666666666666663
2,luana carolina,0.153570255835269,-1.0,0.09379636363538088,0.1449451352876655,2.05,2024-07-20,1.0,1,0.5585098220915442,0.40130579071275135,0.3711281182685666,0.09461722873587888,0.09379636363538088,2.05
6,muhammad mokaev,0.27590822518661906,1.8285714285714287,0.10929563658710925,0.39255452159844406,2.2,2024-07-27,1.0,1,0.6329793279992927,0.5319002667873093,0.5045178974841036,0.12048415978289259,0.10929563658710925,2.2
8,nathaniel wood,0.27590822518661906,1.8285714285714287,0.22617110359174197,0.08040143071536052,1.2857142857142856,2024-07-27,1.0,1,0.8403122238897249,0.5319002667873093,0.5045178974841036,0.12048415978289259,0.22617110359174197,1.2857142857142856
7,rolando bedoya,0.21971773834106004,-1.0,0.09915088314986666,0.3365448516978523,2.2,2024-08-03,1.0,0,0.6075203871353874,0.45209019870970985,0.5180712988252361,0.1209794713259433,-0.09915088314986666,2.2
6,viktoriia dudakova,0.21971773834106004,-1.0,0.13607683865465658,0.13581769956824524,1.526315789473684,2024-08-03,0.0,1,0.7441564238550573,0.45209019870970985,0.5180712988252361,0.1209794713259433,-0.13607683865465658,1.526315789473684
0,yana santos,0.12330751018014731,1.7091177556293835,0.08895425106463818,0.1095124881096613,1.9523809523809523,2024-08-10,1.0,1,0.568286884153729,0.4469156250353021,0.21074705505134061,0.06092372417587277,0.08895425106463818,1.9523809523809523
4,youssef zalal,0.12330751018014731,1.7091177556293835,0.14771509959347576,0.09124238620707953,1.3875968992248062,2024-08-10,1.0,1,0.7864260772106886,0.4469156250353021,0.21074705505134061,0.06092372417587277,0.14771509959347576,1.3875968992248062
