,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
0,ian machado garry,0.020305343776144374,0.11436797574692686,1.4651162790697674,-1,1,0.7606003643986962,0.4098830379667324,0.11379666309743586,2024-06-29,1.0,-0.020305343776144374,1.4651162790697674,top_ev
5,mayra bueno silva,0.020305343776144374,-0.0005126786321261734,1.8547008547008548,-1,1,0.5388940857144757,0.4098830379667324,0.11379666309743586,2024-06-29,0.0,-0.020305343776144374,1.8547008547008548,top_ev
8,montel jackson,0.01765073511166092,0.07328604520837262,1.8333333333333333,-1,1,0.5854287519318396,0.3879602267745345,0.08560800299189908,2024-07-13,1.0,-0.01765073511166092,1.8333333333333333,top_ev
0,santiago ponzinibbio,0.01765073511166092,0.01148059069484525,1.526315789473684,-1,1,0.6626941801104159,0.3879602267745345,0.08560800299189908,2024-07-13,0.0,-0.01765073511166092,1.526315789473684,top_ev
6,cody durden,0.01713991350768202,0.17122565680951318,2.1,-1,1,0.5577265032426253,0.3785419695651484,0.21332662876408093,2024-07-20,0.0,-0.01713991350768202,2.1,top_ev
2,steve garcia,0.01713991350768202,0.03594608068034738,1.526315789473684,-1,1,0.6787232942388484,0.3785419695651484,0.21332662876408093,2024-07-20,1.0,-0.01713991350768202,1.526315789473684,top_ev
7,muhammad mokaev,0.022904948803623235,0.059636477987738634,1.4545454545454546,-1,1,0.7285000786165703,0.5428550195730205,0.06569377014716293,2024-07-27,1.0,-0.022904948803623235,1.4545454545454546,top_ev
1,leon edwards,0.022904948803623235,0.005716386973509291,1.3496503496503496,-1,1,0.7451681001928074,0.5428550195730205,0.06569377014716293,2024-07-27,0.0,-0.022904948803623235,1.3496503496503496,top_ev
0,rolando bedoya,0.018540632243057863,0.10603008971894934,1.9090909090909087,-1,0,0.5793490946146879,0.43003358248124873,0.1493624840862462,2024-08-03,1.0,-0.018540632243057863,1.9090909090909087,top_ev
2,sedriques dumas,0.018540632243057863,0.039178314197860664,1.4,-1,1,0.7422702244270434,0.43003358248124873,0.1493624840862462,2024-08-03,1.0,-0.018540632243057863,1.4,top_ev
0,yana santos,0.01771446158033495,0.05211383465999686,1.6369426751592355,1.2215650591446767,1,0.6427310196171966,0.46391563302984473,0.03061876073008718,2024-08-10,1.0,0.01771446158033495,1.6369426751592355,top_ev
3,karol rosa,0.01771446158033495,-0.020430369054937836,1.3571428571428572,1.2215650591446767,1,0.7217881491174142,0.46391563302984473,0.03061876073008718,2024-08-10,1.0,0.01771446158033495,1.3571428571428572,top_ev
1,valter walker,0.018390561668112346,0.15426267146512612,1.6896551724137931,2.0977011494252875,0,0.6831350504589522,0.41981409996834496,0.30045862001688484,2024-08-17,0.0,0.018390561668112346,1.6896551724137931,top_ev
9,dricus du plessis,0.018390561668112346,0.12665743436560184,1.8333333333333333,2.0977011494252875,1,0.6145404187448738,0.41981409996834496,0.30045862001688484,2024-08-17,1.0,0.018390561668112346,1.8333333333333333,top_ev
0,francis marshall,0.0,-0.01070411738993049,1.4545454545454546,0.0,0,0.6801409192944228,0.5199606550744157,-0.027606047653040866,2024-08-24,0.0,0.0,1.4545454545454546,top_ev
