,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds
4,gabriel bonfim,0.11204415124478924,0.11561209999999994,1.2857142857142856,1.510204081632653,1,0.8676983,0.511881049871408,0.28492590069761614,2024-07-13,1.0,0.11204415124478924,1.2857142857142856
3,thomas petersen,0.06751816747449232,0.23888416400000012,2.1,-1.0,0,0.58994484,0.317797267870632,0.5082658333140193,2024-07-20,0.0,-0.06751816747449232,2.1
4,cody durden,0.06751816747449232,0.21743894799999985,2.26,-1.0,1,0.5386898,0.317797267870632,0.5082658333140193,2024-07-20,0.0,-0.06751816747449232,2.26
6,muhammad mokaev,0.12189648245400395,0.06911345000000008,1.5,-1.0,1,0.7127423,0.54004491198423,0.13409431516688275,2024-07-27,1.0,-0.12189648245400395,1.5
1,leon edwards,0.12189648245400395,0.06078013999999993,1.4,-1.0,1,0.7577001,0.54004491198423,0.13409431516688275,2024-07-27,0.0,-0.12189648245400395,1.4
6,viktoriia dudakova,0.08994245472731795,0.21212652000000004,1.5714285714285714,-1.0,1,0.77135324,0.450796343174548,0.45220821979800796,2024-08-03,0.0,-0.08994245472731795,1.5714285714285714
7,rolando bedoya,0.08994245472731795,0.19806653499999982,2.05,-1.0,0,0.5844227,0.450796343174548,0.45220821979800796,2024-08-03,1.0,-0.08994245472731795,2.05
0,yana santos,0.09548357506313332,0.11976901931034478,1.6896551724137931,1.3936781609195403,1,0.66272044,0.473364178376692,0.13308149594190932,2024-08-10,1.0,0.09548357506313332,1.6896551724137931
2,karol rosa,0.09548357506313332,0.011888591666666781,1.4166666666666667,1.3936781609195403,1,0.7142743,0.473364178376692,0.13308149594190932,2024-08-10,1.0,0.09548357506313332,1.4166666666666667
0,valter walker,0.07604927847540918,0.33738600943396224,1.9433962264150944,2.8867924528301887,0,0.6881695,0.43315019291715,0.683564900772319,2024-08-17,0.0,0.07604927847540918,1.9433962264150944
9,dricus du plessis,0.07604927847540918,0.25884740000000006,2.0,2.8867924528301887,1,0.6294237,0.43315019291715,0.683564900772319,2024-08-17,1.0,0.07604927847540918,2.0
2,francis marshall,0.12982453052385498,0.1239132614285714,1.5714285714285714,1.153439153439153,0,0.71521753,0.579396362139693,0.2476948115918256,2024-08-24,0.0,0.12982453052385498,1.5714285714285714
3,caio borralho,0.12982453052385498,0.11013443333333328,1.3703703703703702,1.153439153439153,0,0.8100981,0.579396362139693,0.2476948115918256,2024-08-24,0.0,0.12982453052385498,1.3703703703703702
1,jaqueline amorim,0.13392739139253657,0.14979462217054268,1.3875968992248062,1.0813953488372094,1,0.82862294,0.5841150041395264,0.21577425280203766,2024-09-07,1.0,0.13392739139253657,1.3875968992248062
3,steve garcia,0.13392739139253657,0.057383839999999964,1.5,1.0813953488372094,1,0.70492256,0.5841150041395264,0.21577425280203766,2024-09-07,1.0,0.13392739139253657,1.5
8,norma dumont,0.07590072154738753,0.14933120272727252,1.9090909090909087,3.1999999999999993,0,0.60203063,0.31393549435043,0.3185290762718058,2024-09-14,0.0,0.07590072154738753,1.9090909090909087
