,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
2,robert whittaker,0.02898621309172318,0.0787961150774702,1.9090909090909087,-1.0,1,0.565083679326294,0.33796147620848593,0.16135852733461498,2024-06-22,1.0,top_ev,-0.02898621309172318,1.9090909090909087
3,johnny walker,0.02898621309172318,0.0765319888561296,1.8,-1.0,1,0.5980733271422942,0.33796147620848593,0.16135852733461498,2024-06-22,0.0,top_ev,-0.02898621309172318,1.8
0,ian machado garry,0.08221335957111532,0.17985849385913338,1.5494505494505495,-1.0,1,0.7614689570296534,0.4187674149666226,0.29771880242403936,2024-06-29,1.0,top_ev,-0.08221335957111532,1.5494505494505495
5,mayra bueno silva,0.08221335957111532,0.09989359671379172,2.0,-1.0,1,0.5499467983568959,0.4187674149666226,0.29771880242403936,2024-06-29,0.0,top_ev,-0.08221335957111532,2.0
8,montel jackson,0.06784346186352759,0.15100190313150708,1.9523809523809523,-1.0,1,0.589537560140528,0.3911064504544396,0.19992523234661408,2024-07-13,1.0,top_ev,-0.06784346186352759,1.9523809523809523
0,santiago ponzinibbio,0.06784346186352759,0.042504994198534485,1.5714285714285714,-1.0,1,0.663412269035431,0.3911064504544396,0.19992523234661408,2024-07-13,0.0,top_ev,-0.06784346186352759,1.5714285714285714
6,cody durden,0.05949094807705493,0.29111534338576817,2.26,-1.0,1,0.571289974949455,0.3162451714239553,0.5008995835780918,2024-07-20,0.0,top_ev,-0.05949094807705493,2.26
5,thomas petersen,0.05949094807705493,0.16248295806182123,2.1,-1.0,0,0.553563313362772,0.3162451714239553,0.5008995835780918,2024-07-20,0.0,top_ev,-0.05949094807705493,2.1
7,muhammad mokaev,0.11372787650403085,0.09563901137464476,1.5,0.875,1,0.7304260075830965,0.6110981639604945,0.1458090574259272,2024-07-27,1.0,top_ev,0.11372787650403085,1.5
4,nathaniel wood,0.11372787650403085,0.045790671498942614,1.25,0.875,1,0.8366325371991541,0.6110981639604945,0.1458090574259272,2024-07-27,1.0,top_ev,0.11372787650403085,1.25
0,rolando bedoya,0.078155890190083,0.21680669498702687,2.05,-1.0,0,0.5935642414570863,0.44450595615465516,0.31623152572461755,2024-08-03,1.0,top_ev,-0.078155890190083,2.05
5,azamat murzakanov,0.078155890190083,0.08170963485588878,1.4444444444444444,-1.0,1,0.7488759010540769,0.44450595615465516,0.31623152572461755,2024-08-03,1.0,top_ev,-0.078155890190083,1.4444444444444444
0,yana santos,0.057499772861546034,0.10547301693631922,1.6896551724137931,-1.0,1,0.6542595406357807,0.4272946516639748,0.17321850478427558,2024-08-10,1.0,top_ev,-0.057499772861546034,1.6896551724137931
1,karl williams,0.057499772861546034,0.06128190087868862,1.625,-1.0,0,0.6530965543868853,0.4272946516639748,0.17321850478427558,2024-08-10,1.0,top_ev,-0.057499772861546034,1.625
1,valter walker,0.0736624830290232,0.33142466364391465,1.9433962264150944,2.8867924528301887,0,0.6851020113895872,0.4233363245386136,0.6454204312255547,2024-08-17,0.0,top_ev,0.0736624830290232,1.9433962264150944
9,dricus du plessis,0.0736624830290232,0.2358344231976892,2.0,2.8867924528301887,1,0.6179172115988446,0.4233363245386136,0.6454204312255547,2024-08-17,1.0,top_ev,0.0736624830290232,2.0
0,francis marshall,0.02607371473494315,0.06677852455060701,1.5714285714285714,1.153439153439153,0,0.678859061077659,0.49993058585967093,0.07657009759198963,2024-08-24,0.0,top_ev,0.02607371473494315,1.5714285714285714
2,caio borralho,0.02607371473494315,0.009178637192295724,1.3703703703703702,1.153439153439153,0,0.736427654167351,0.49993058585967093,0.07657009759198963,2024-08-24,0.0,top_ev,0.02607371473494315,1.3703703703703702
1,jaqueline amorim,0.09781907747191082,0.18805065972334128,1.3875968992248062,-1.0,1,0.856192933543637,0.46881551533047106,0.3335802585311345,2024-09-07,1.0,top_ev,-0.09781907747191082,1.3875968992248062
0,trevor peek,0.09781907747191082,0.12249443878233468,2.05,-1.0,1,0.5475582628206511,0.46881551533047106,0.3335802585311345,2024-09-07,0.0,top_ev,-0.09781907747191082,2.05
