,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
6,christian rodriguez,0.06030632616202745,0.0501592630416669,1.5882352941176472,-1,0,0.6612113878410495,0.43999740858321235,0.16469902272026782,2024-07-13,1.0,-0.06030632616202745,1.5882352941176472,top_ev
6,cody durden,0.04633908688638858,0.1814316265148364,1.6666666666666663,-1,1,0.708858975908902,0.3896803383831039,0.3314078228089379,2024-07-20,0.0,-0.04633908688638858,1.6666666666666663,top_ev
1,luana carolina,0.04633908688638858,0.12694445698607515,2.05,-1,1,0.5497290034078416,0.3896803383831039,0.3314078228089379,2024-07-20,1.0,-0.04633908688638858,2.05,top_ev
7,muhammad mokaev,0.05626032838424056,0.3687884661288805,2.2,1.8285714285714287,1,0.6221765755131274,0.5158150956620492,0.4590198420155107,2024-07-27,1.0,0.05626032838424056,2.2,top_ev
4,nathaniel wood,0.05626032838424056,0.06592061382707043,1.2857142857142856,1.8285714285714287,1,0.8290493663099437,0.5158150956620492,0.4590198420155107,2024-07-27,1.0,0.05626032838424056,1.2857142857142856,top_ev
0,rolando bedoya,0.03781324863610158,0.29231498076730367,2.2,-1,0,0.5874159003487743,0.42378140837524064,0.42301336075475526,2024-08-03,1.0,-0.03781324863610158,2.2,top_ev
8,viktoriia dudakova,0.03781324863610158,0.10113508079110128,1.526315789473684,-1,1,0.7214333287941699,0.42378140837524064,0.42301336075475526,2024-08-03,0.0,-0.03781324863610158,1.526315789473684,top_ev
0,yana santos,0.05909228951307695,0.0964525242607388,1.9523809523809523,1.7091177556293835,1,0.5615976343774516,0.4342682846972203,0.17648392077995556,2024-08-10,1.0,0.05909228951307695,1.9523809523809523,top_ev
2,youssef zalal,0.05909228951307695,0.07299121006007658,1.3875968992248062,1.7091177556293835,1,0.7732729949594965,0.4342682846972203,0.17648392077995556,2024-08-10,1.0,0.05909228951307695,1.3875968992248062,top_ev
9,dricus du plessis,0.03640657505579407,0.42506735530000406,2.44,3.5617391304347814,1,0.5840439980737722,0.39889327010210873,0.81964703909188,2024-08-17,1.0,0.03640657505579407,2.44,top_ev
1,valter walker,0.03640657505579407,0.276884936227319,1.869565217391304,3.5617391304347814,0,0.6829849658890312,0.39889327010210873,0.81964703909188,2024-08-17,0.0,0.03640657505579407,1.869565217391304,top_ev
1,edmen shahbazyan,0.05655738364260623,0.1315080168631384,1.6756756756756757,-1,1,0.6752547842570342,0.4429973349817951,0.2542645886996213,2024-08-24,0.0,-0.05655738364260623,1.6756756756756757,top_ev
