iter	Passed	Remaining
604	12518	18519
605	12537	18495
606	12556	18472
607	12575	18448
608	12594	18426
609	12613	18403
610	12632	18380
611	12651	18356
612	12670	18334
613	12691	18313
614	12710	18290
615	12728	18266
616	12747	18242
617	12765	18219
618	12784	18196
619	12804	18173
620	12824	18152
621	12843	18129
622	12862	18106
623	12882	18084
624	12901	18062
625	12922	18041
626	12941	18018
627	12959	17995
628	12979	17972
629	12999	17951
630	13019	17929
631	13038	17907
632	13056	17883
633	13076	17862
634	13095	17838
635	13114	17816
636	13132	17792
637	13152	17769
638	13172	17748
639	13192	17727
640	13211	17704
641	13230	17682
642	13249	17658
643	13267	17634
644	13287	17613
645	13306	17591
646	13325	17567
647	13342	17543
648	13362	17520
649	13382	17500
650	13401	17478
651	13420	17454
652	13439	17432
653	13459	17410
654	13479	17389
655	13500	17369
656	13519	17347
657	13538	17324
658	13557	17301
659	13578	17281
660	13597	17259
661	13616	17236
662	13635	17214
663	13656	17194
664	13678	17175
665	13697	17152
666	13717	17131
667	13738	17111
668	13757	17088
669	13776	17066
670	13795	17043
671	13814	17021
672	13833	16999
673	13854	16978
674	13873	16956
675	13905	16950
676	13924	16927
677	13944	16905
678	13963	16883
679	13982	16861
680	14000	16838
681	14019	16815
682	14038	16792
683	14057	16769
684	14075	16746
685	14094	16724
686	14117	16707
687	14136	16684
688	14157	16663
689	14175	16640
690	14194	16618
691	14213	16595
692	14232	16573
693	14251	16550
694	14270	16529
695	14289	16506
696	14307	16483
697	14326	16461
698	14344	16438
699	14364	16416
700	14384	16394
701	14402	16372
702	14421	16349
703	14440	16327
704	14459	16304
705	14477	16282
706	14497	16260
707	14514	16237
708	14535	16216
709	14556	16196
710	14574	16173
711	14595	16153
712	14614	16130
713	14633	16108
714	14653	16087
715	14672	16065
716	14691	16043
717	14709	16021
718	14730	16000
719	14749	15978
720	14769	15957
721	14789	15936
722	14807	15913
723	14827	15892
724	14846	15869
725	14866	15849
726	14886	15828
727	14907	15808
728	14926	15786
729	14946	15765
730	14966	15744
731	14985	15722
732	15005	15701
733	15024	15679
734	15043	15657
735	15062	15635
736	15081	15614
737	15100	15591
738	15118	15568
739	15139	15548
740	15158	15527
741	15179	15507
742	15199	15485
743	15218	15464
744	15247	15451
745	15266	15430
746	15285	15407
747	15304	15386
748	15323	15364
749	15342	15342
750	15361	15320
751	15382	15300
752	15401	15278
753	15421	15257
754	15439	15235
755	15460	15215
756	15480	15193
757	15499	15172
758	15518	15150
759	15536	15127
760	15555	15105
761	15574	15084
762	15594	15062
763	15613	15041
764	15633	15020
765	15652	14998
766	15671	14976
767	15691	14955
768	15709	14933
769	15728	14911
770	15747	14889
771	15767	14868
772	15786	14846
773	15804	14824
774	15822	14802
775	15840	14779
776	15861	14758
777	15881	14737
778	15900	14716
779	15920	14695
780	15939	14674
781	15959	14653
782	15980	14633
783	15999	14611
784	16018	14589
785	16036	14567
786	16055	14545
787	16075	14524
788	16094	14503
789	16112	14481
790	16132	14459
791	16151	14438
792	16170	14417
793	16190	14396
794	16209	14374
795	16227	14351
796	16245	14329
797	16263	14307
798	16283	14286
799	16303	14265
800	16321	14243
801	16341	14222
802	16361	14201
803	16380	14180
804	16399	14158
805	16418	14136
806	16437	14115
807	16457	14094
808	16483	14079
809	16503	14058
810	16521	14036
811	16540	14014
812	16561	13994
813	16580	13972
814	16598	13951
815	16617	13929
816	16635	13907
817	16655	13886
818	16675	13865
819	16694	13843
820	16713	13822
821	16731	13800
822	16751	13779
823	16770	13758
824	16791	13738
825	16810	13717
826	16831	13697
827	16855	13679
828	16875	13659
829	16894	13637
830	16913	13616
831	16933	13595
832	16953	13574
833	16973	13554
834	16993	13533
835	17013	13512
836	17032	13491
837	17051	13469
838	17071	13449
839	17090	13428
840	17109	13407
841	17129	13386
842	17148	13364
843	17167	13343
844	17187	13322
845	17207	13302
846	17225	13280
847	17244	13258
848	17263	13237
849	17283	13216
850	17304	13196
851	17323	13175
852	17342	13154
853	17362	13133
854	17381	13112
855	17399	13090
856	17420	13070
857	17439	13048
858	17459	13028
859	17478	13006
860	17496	12985
861	17516	12964
862	17534	12942
863	17556	12923
864	17576	12902
865	17596	12882
866	17615	12861
867	17634	12840
868	17654	12819
869	17673	12797
870	17691	12776
871	17710	12754
872	17729	12733
873	17748	12712
874	17767	12690
875	17786	12669
876	17805	12648
877	17823	12626
878	17841	12604
879	17861	12584
880	17880	12562
881	17898	12541
882	17916	12519
883	17934	12497
884	17955	12477
885	17974	12456
886	17992	12434
887	18010	12412
888	18030	12391
889	18050	12371
890	18069	12350
891	18088	12329
892	18107	12307
893	18125	12286
894	18143	12264
895	18163	12244
896	18182	12222
897	18200	12201
898	18220	12180
899	18239	12159
900	18260	12139
901	18279	12118
902	18297	12097
903	18316	12075
904	18334	12054
905	18354	12033
906	18374	12013
907	18393	11992
908	18411	11970
909	18429	11948
910	18448	11927
911	18468	11907
912	18487	11886
913	18506	11865
914	18525	11844
915	18543	11822
916	18562	11801
917	18581	11780
918	18599	11758
919	18617	11737
920	18635	11715
921	18654	11694
922	18673	11673
923	18692	11652
924	18711	11631
925	18730	11610
926	18748	11588
927	18767	11568
928	18786	11546
929	18805	11525
930	18824	11504
931	18842	11483
932	18861	11462
933	18881	11441
934	18899	11420
935	18917	11398
936	18935	11377
937	18954	11356
938	18974	11336
939	18993	11315
940	19011	11293
941	19030	11272
942	19048	11251
943	19067	11230
944	19086	11209
945	19105	11188
946	19124	11167
947	19143	11146
948	19162	11126
949	19181	11105
950	19200	11084
951	19218	11062
952	19237	11041
953	19255	11020
954	19274	10999
955	19293	10978
956	19312	10958
957	19332	10937
958	19351	10916
959	19369	10895
960	19390	10875
961	19409	10854
962	19428	10834
963	19448	10813
964	19467	10792
965	19486	10772
966	19507	10752
967	19526	10731
968	19545	10710
969	19563	10689
970	19582	10668
971	19601	10647
972	19621	10627
973	19641	10607
974	19660	10586
975	19680	10565
976	19698	10544
977	19720	10525
978	19739	10504
979	19759	10484
980	19777	10463
981	19797	10443
982	19816	10422
983	19837	10402
984	19856	10381
985	19875	10360
986	19894	10340
987	19914	10319
988	19932	10298
989	19951	10277
990	19970	10257
991	19989	10236
992	20008	10215
993	20026	10194
994	20045	10173
995	20064	10153
996	20083	10132
997	20103	10111
998	20121	10090
999	20141	10070
1000	20162	10051
1001	20182	10030
1002	20201	10010
1003	20219	9988
1004	20239	9968
1005	20257	9947
1006	20277	9927
1007	20295	9906
1008	20315	9885
1009	20333	9864
1010	20352	9844
1011	20371	9823
1012	20390	9802
1013	20410	9782
1014	20428	9761
1015	20449	9741
1016	20469	9721
1017	20488	9700
1018	20508	9680
1019	20527	9659
1020	20547	9639
1021	20566	9619
1022	20585	9598
1023	20604	9577
1024	20622	9556
1025	20642	9536
1026	20662	9516
1027	20682	9496
1028	20700	9474
1029	20718	9454
1030	20737	9433
1031	20756	9412
1032	20777	9392
1033	20797	9372
1034	20816	9352
1035	20836	9332
1036	20855	9311
1037	20873	9290
1038	20892	9269
1039	20913	9250
1040	20933	9229
1041	20952	9209
1042	20971	9188
1043	20989	9167
1044	21007	9147
1045	21030	9128
1046	21051	9108
1047	21070	9087
1048	21088	9066
1049	21107	9045
1050	21125	9024
1051	21144	9004
1052	21163	8983
1053	21182	8963
1054	21201	8942
1055	21220	8922
1056	21240	8901
1057	21260	8881
1058	21278	8861
1059	21296	8840
1060	21315	8819
1061	21334	8798
1062	21353	8778
1063	21373	8758
1064	21391	8737
1065	21411	8717
1066	21429	8696
1067	21449	8676
1068	21469	8655
1069	21487	8635
1070	21506	8614
1071	21524	8593
1072	21543	8573
1073	21562	8552
1074	21581	8532
1075	21601	8512
1076	21620	8491
1077	21639	8470
1078	21659	8450
1079	21678	8430
1080	21696	8409
1081	21714	8388
1082	21733	8368
1083	21752	8347
1084	21772	8327
1085	21791	8307
1086	21809	8286
1087	21828	8265
1088	21847	8245
1089	21865	8224
1090	21884	8204
1091	21903	8183
1092	21922	8163
1093	21941	8142
1094	21961	8122
1095	21980	8102
1096	22000	8082
1097	22019	8061
1098	22039	8041
1099	22059	8021
1100	22078	8001
1101	22097	7980
1102	22115	7960
1103	22135	7939
1104	22154	7919
1105	22185	7903
1106	22204	7882
1107	22223	7862
1108	22243	7842
1109	22262	7822
1110	22281	7801
1111	22300	7781
1112	22322	7761
1113	22342	7741
1114	22362	7721
1115	22379	7700
1116	22397	7679
1117	22415	7658
1118	22434	7638
1119	22452	7617
1120	22472	7597
1121	22492	7577
1122	22511	7557
1123	22530	7536
1124	22549	7516
1125	22568	7495
1126	22586	7475
1127	22604	7454
1128	22622	7433
1129	22642	7413
1130	22661	7393
1131	22679	7372
1132	22697	7352
1133	22718	7332
1134	22738	7312
1135	22756	7291
1136	22775	7271
1137	22794	7250
1138	22812	7230
1139	22831	7210
1140	22852	7190
1141	22871	7169
1142	22890	7149
1143	22910	7129
1144	22931	7109
1145	22953	7090
1146	22972	7069
1147	22990	7049
1148	23008	7028
1149	23027	7008
1150	23046	6988
1151	23065	6967
1152	23085	6947
1153	23104	6927
1154	23123	6906
1155	23147	6888
1156	23166	6867
1157	23185	6847
1158	23203	6826
1159	23222	6806
1160	23241	6786
1161	23259	6765
1162	23278	6745
1163	23297	6725
1164	23316	6704
1165	23335	6684
1166	23353	6663
1167	23371	6643
1168	23391	6623
1169	23410	6602
1170	23429	6582
1171	23448	6562
1172	23466	6541
1173	23486	6521
1174	23504	6501
1175	23523	6481
1176	23543	6460
1177	23561	6440
1178	23579	6419
1179	23597	6399
1180	23618	6379
1181	23637	6359
1182	23656	6338
1183	23674	6318
1184	23693	6298
1185	23714	6278
1186	23734	6258
1187	23753	6238
1188	23771	6217
1189	23790	6197
1190	23808	6177
1191	23827	6156
1192	23846	6136
1193	23865	6116
1194	23883	6095
1195	23903	6075
1196	23921	6055
1197	23940	6035
1198	23959	6014
1199	23977	5994
