pred_winner,proba_red,choice_probability,choice_decimal,choice_fair_decimal,ev,fstar_full,fstar,expected_bankroll_return_pct,date,fighter_red,fighter_blue,decimal_red,decimal_blue,fair_probability_red,fair_probability_blue,n_bets,shift_pct,mean_absolute_decimal_change
1,0.6717466330213685,0.6717466330213685,1.6896551724137931,1.8161540125050284,0.13502017303610536,0.26955126064168655,0.21570352650592972,2.9124327473328773,2024-05-18,themba gorimbo,ramiz brahimaj,1.6896551724137931,2.02,0.5506140961144017,0.44938590388559835,1,0.0,0.0
0,0.22604812117768092,0.7739518788223191,1.238095238095238,1.2731924450199432,-0.04177386431522412,0.0,0.0,-0.0,2024-05-18,vanessa demopoulos,emily ducote,3.9,1.238095238095238,0.21457278205547625,0.7854272179445237,0,0.0,0.0
0,0.14599143826473182,0.8540085617352682,1.1666666666666667,1.2010433168936516,-0.0036566779755203838,0.12783949269847583,0.0,-0.0,2024-05-18,victor martinez,tom nolan,4.5,1.1666666666666667,0.16739056290960835,0.8326094370903916,0,0.0,0.0
1,0.722643547810749,0.722643547810749,1.425531914893617,1.4884514864411338,0.03015144049617402,0.15481550369919353,0.1548060545107353,0.46676255410279077,2024-06-01,ailin perez,joselyne edwards,1.425531914893617,2.7,0.6718391624512974,0.3281608375487025,1,0.0,0.0
1,0.8290276391504787,0.8290276391504787,1.1666666666666667,1.2010433168936516,-0.032801087657774786,0.0,0.0,-0.0,2024-06-01,grant dawson,joe solecki,1.1666666666666667,4.5,0.8326094370903916,0.16739056290960835,0,0.0,0.0
1,0.8654226692740664,0.8654226692740664,1.2,1.2406973129962662,0.038507203128879564,0.30630828178598835,0.30628958621214886,1.1794355312531686,2024-06-01,islam makhachev,dustin poirier,1.2,4.0,0.8059983603776931,0.19400163962230696,1,0.0,0.0
1,0.8343224965406488,0.8343224965406488,1.21978021978022,1.2752537732330946,0.017690078197934556,0.23241429556187568,0.23240011011903133,0.41111761212142656,2024-06-01,jailton almeida,alexandr romanov,1.21978021978022,3.5,0.7841576484535655,0.21584235154643444,1,0.0,0.0
1,0.7102697203347156,0.7102697203347156,1.303030303030303,1.3628660776671344,-0.07449703107900696,0.0,0.0,-0.0,2024-06-01,kevin holland,michal oleksiejczuk,1.303030303030303,3.1,0.733747810138275,0.2662521898617251,0,0.0,0.0
0,0.24107647091284562,0.7589235290871543,1.2222222222222223,1.2668045221265223,-0.07242679778236683,0.0,0.0,-0.0,2024-06-01,mickey gall,bassil hafez,3.75,1.2222222222222223,0.21061222743241448,0.7893877725675855,0,0.0,0.0
0,0.3434601225014628,0.6565398774985371,1.3333333333333333,1.384849799695206,-0.12461349666861721,0.0,0.0,-0.0,2024-06-01,niko price,alex morono,3.1,1.3333333333333333,0.2779000291438886,0.7220999708561114,0,0.0,0.0
0,0.444723792466508,0.555276207533492,1.5714285714285714,1.6542766747881525,-0.12742310244736965,0.0,0.0,-0.0,2024-06-01,phil rowe,jake matthews,2.3,1.5714285714285714,0.3955061960067469,0.6044938039932531,0,0.0,0.0
