event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
43,2025-05-10,50,782.2220724762271,915.3653741029825,939.9961062464722,1079.6153489238677,908.10877666959,0.0
44,2025-05-17,50,782.2220724762271,915.3653741029825,939.9961062464722,1079.6153489238677,908.10877666959,0.0
45,2025-05-31,50,756.670349751345,885.3609768719299,909.4375765825525,1044.0146042976623,878.2842066066243,0.0
46,2025-06-07,50,675.7168291677491,790.3954753617791,812.0992828469301,930.877644959577,784.1389069622644,0.0
47,2025-06-14,50,675.7168291677491,790.3954753617791,812.0992828469301,930.877644959577,784.1389069622644,0.0
48,2025-06-21,50,627.4554190470666,734.1776901296043,754.3202185490426,864.4823137641748,728.3877266001252,0.0
49,2025-06-28,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
50,2025-07-12,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
51,2025-07-19,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
52,2025-07-26,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
53,2025-08-02,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
54,2025-08-09,50,704.463531828468,823.9090176535906,848.8202037316271,970.8790642899525,817.7426997976223,0.0
55,2025-08-16,50,635.3995101078928,743.383472825328,765.9088570679277,876.9426555177645,737.9820370128907,0.0
56,2025-08-23,50,635.3995101078928,743.383472825328,765.9088570679277,876.9426555177645,737.9820370128907,0.0
57,2025-09-06,50,635.3995101078928,743.383472825328,765.9088570679277,876.9426555177645,737.9820370128907,0.0
58,2025-09-13,50,635.3995101078928,743.383472825328,765.9088570679277,876.9426555177645,737.9820370128907,0.0
59,2025-09-27,50,680.8208463992084,800.7291413773262,825.6419151361248,933.7356401268463,792.3435022080762,0.0
60,2025-10-04,50,680.8208463992084,800.7291413773262,825.6419151361248,933.7356401268463,792.3435022080762,0.0
61,2025-10-11,50,579.324981603506,681.2954419830922,702.5827931708374,793.3098543700081,674.3010868927465,0.0
62,2025-10-18,50,579.324981603506,681.2954419830922,702.5827931708374,793.3098543700081,674.3010868927465,0.0
63,2025-10-25,50,545.8035598193826,641.6285754857756,661.7818269961094,747.742476114281,635.0432418719188,0.0
64,2025-11-01,50,545.8035598193826,641.6285754857756,661.7818269961094,747.742476114281,635.0432418719188,0.0
65,2025-11-08,50,545.8035598193826,641.6285754857756,661.7818269961094,747.742476114281,635.0432418719188,0.0
66,2025-11-15,50,607.2884729476929,714.2458011090946,739.4748348755464,832.8770087155831,707.0545138004873,0.0
67,2025-11-22,50,607.2884729476929,714.2458011090946,739.4748348755464,832.8770087155831,707.0545138004873,0.0
68,2025-12-06,50,607.2884729476929,714.2458011090946,739.4748348755464,832.8770087155831,707.0545138004873,0.0
69,2025-12-13,50,551.1256434671803,648.5105702473096,671.0634591477931,756.4516018069178,641.9116368959021,0.0
70,2026-01-24,50,495.172315492121,582.1617750441799,603.4564064140396,685.3207373616124,576.7352205755775,0.0
71,2026-01-31,50,524.1894275947369,616.6362340076803,640.7890405766943,727.0368175484317,611.4117357248901,0.0
72,2026-02-07,50,524.1894275947369,616.6362340076803,640.7890405766943,727.0368175484317,611.4117357248901,0.0
73,2026-02-21,50,524.1894275947369,616.6362340076803,640.7890405766943,727.0368175484317,611.4117357248901,0.0
0,start,60,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,60,550.9822255341714,552.4307513346374,554.2501408800937,554.6154149802785,552.5120547702016,0.0
2,2024-05-18,60,550.9822255341714,552.4307513346374,554.2501408800937,554.6154149802785,552.5120547702016,0.0
