choice_fighter_name_open,choice_fighter_bool_open,parlay_fstar_open,parlay_odds_open,stake_open,parlay_ev_open,parlay_prob_open,fight_index_open,choice_fighter_name_close1,choice_fighter_bool_close1,parlay_fstar_close1,parlay_odds_close1,stake_close1,parlay_ev_close1,parlay_prob_close1,fight_index_close1,choice_fighter_name_close2,choice_fighter_bool_close2,parlay_fstar_close2,parlay_odds_close2,stake_close2,parlay_ev_close2,parlay_prob_close2,fight_index_close2,date,winner_bool_open,winner_name_open,win_parlay_open,net_stake_open,net_odds_open,winner_bool_close1,winner_name_close1,win_parlay_close1,net_stake_close1,net_odds_close1,winner_bool_close2,winner_name_close2,win_parlay_close2,net_stake_close2,net_odds_close2
alice pereira,1.0,0.10066838818657485,2.1407624633431084,352.33935865301197,0.2155202609878768,0.3870143874854024,4,virna jandiroba,1.0,0.05930161998261497,1.666666666666667,207.55566993915238,0.09884206614530955,0.412065774804491,8,alice pereira,1.0,0.12828119352473888,2.1333333333333333,448.9841773365861,0.273683250486066,0.4064946544104466,4,2026-04-04,1,Alice Pereira,True,0.10066838818657485,2.1407624633431084,1,Virna Jandiroba,True,0.05930161998261497,1.666666666666667,1,Alice Pereira,True,0.12828119352473888,2.1333333333333333
virna jandiroba,1.0,0.10066838818657485,2.1407624633431084,352.33935865301197,0.2155202609878768,0.3870143874854024,8,alice pereira,1.0,0.05930161998261497,1.666666666666667,207.55566993915238,0.09884206614530955,0.412065774804491,4,virna jandiroba,1.0,0.12828119352473888,2.1333333333333333,448.9841773365861,0.273683250486066,0.4064946544104466,8,2026-04-04,1,Virna Jandiroba,True,0.10066838818657485,2.1407624633431084,1,Alice Pereira,True,0.05930161998261497,1.666666666666667,1,Virna Jandiroba,True,0.12828119352473888,2.1333333333333333
curtis blaydes,1.0,0.17914591759973403,1.708333333333333,627.010711599069,0.3060596229631216,0.48223739924792186,7,curtis blaydes,1.0,0.11587423563824477,1.8285714285714287,405.55982473385666,0.21916802944699998,0.43101900030954543,7,curtis blaydes,1.0,0.10073356110050993,4.224499999999999,352.5674638517848,0.6246300920031886,0.3109637461964186,7,2026-04-11,,,,,,,,,,,0,Josh Hokit,False,-0.10073356110050993,-1.0
chris padilla,1.0,0.17914591759973403,1.708333333333333,627.010711599069,0.3060596229631216,0.48223739924792186,2,chris padilla,1.0,0.11587423563824477,1.8285714285714287,405.55982473385666,0.21916802944699998,0.43101900030954543,2,francisco prado,0.0,0.10073356110050993,4.224499999999999,352.5674638517848,0.6246300920031886,0.3109637461964186,3,2026-04-11,,,,,,,,,,,1,Charles Radtke,False,-0.10073356110050993,-1.0
gauge young,0.0,0.10713285100025845,2.2199999999999998,374.9649785009046,0.23784944639869865,0.38442529391263935,3,gauge young,0.0,0.023915594755985627,0.9961389961389959,83.70458164594969,0.023824710697234464,0.5129025146432955,3,gauge young,0.0,0.13415224381689278,1.2995169082125604,469.5328533591247,0.17434375021274162,0.5106915048194065,3,2026-04-18,0,Gauge Young,True,0.10713285100025845,2.2199999999999998,0,Gauge Young,True,0.023915594755985627,0.9961389961389959,0,Gauge Young,True,0.13415224381689278,1.2995169082125604
jasmine jasudavicius,1.0,0.10713285100025845,2.2199999999999998,374.9649785009046,0.23784944639869865,0.38442529391263935,11,jasmine jasudavicius,1.0,0.023915594755985627,0.9961389961389959,83.70458164594969,0.023824710697234464,0.5129025146432955,11,jasmine jasudavicius,1.0,0.13415224381689278,1.2995169082125604,469.5328533591247,0.17434375021274162,0.5106915048194065,11,2026-04-18,1,Jasmine Jasudavicius,True,0.10713285100025845,2.2199999999999998,1,Jasmine Jasudavicius,True,0.023915594755985627,0.9961389961389959,1,Jasmine Jasudavicius,True,0.13415224381689278,1.2995169082125604
marcus buchecha,1.0,0.12900432438452114,3.4863636363636363,451.515135345824,0.4523234955438775,0.3237195228162645,7,marcus buchecha,1.0,0.11560682708888585,1.7642938446720957,404.6238948111005,0.21664497602835264,0.44012867097082176,7,marcus buchecha,1.0,0.1486802354811388,2.104347826086957,520.3808241839857,0.36297869572122576,0.43905476192700543,7,2026-04-25,0,Ryan Spann,False,-0.12900432438452114,-1.0,0,Ryan Spann,False,-0.11560682708888585,-1.0,0,Ryan Spann,False,-0.1486802354811388,-1.0
youssef zalal,0.0,0.12900432438452114,3.4863636363636363,451.515135345824,0.4523234955438775,0.3237195228162645,10,youssef zalal,0.0,0.11560682708888585,1.7642938446720957,404.6238948111005,0.21664497602835264,0.44012867097082176,10,youssef zalal,0.0,0.1486802354811388,2.104347826086957,520.3808241839857,0.36297869572122576,0.43905476192700543,10,2026-04-25,1,Aljamain Sterling,False,-0.12900432438452114,-1.0,1,Aljamain Sterling,False,-0.11560682708888585,-1.0,1,Aljamain Sterling,False,-0.1486802354811388,-1.0
colby thicknesse,1.0,0.2191561300107619,1.2272727272727275,767.0464550376666,0.32457183244591703,0.5947057206900035,12,colby thicknesse,1.0,0.13063227642058586,1.0651340996168583,457.21296747205054,0.13914938513060493,0.5516103701652836,12,colby thicknesse,1.0,0.1722096254657683,2.2592638036809816,602.733689130189,0.5105705481115774,0.46346986285846314,12,2026-05-02,1,Colby Thicknesse,True,0.2191561300107619,1.2272727272727275,1,Colby Thicknesse,True,0.13063227642058586,1.0651340996168583,1,Colby Thicknesse,True,0.1722096254657683,2.2592638036809816
jacob malkoun,1.0,0.2191561300107619,1.2272727272727275,767.0464550376666,0.32457183244591703,0.5947057206900035,5,quillan salkilld,0.0,0.13063227642058586,1.0651340996168583,457.21296747205054,0.13914938513060493,0.5516103701652836,10,cam rowston,1.0,0.1722096254657683,2.2592638036809816,602.733689130189,0.5105705481115774,0.46346986285846314,2,2026-05-02,1,Jacob Malkoun,True,0.2191561300107619,1.2272727272727275,0,Quillan Salkilld,True,0.13063227642058586,1.0651340996168583,1,Cam Rowston,True,0.1722096254657683,2.2592638036809816
