date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,winner_bool,winner_name,win_bet_open,chosen_odds_open,net_odds_open,net_stake_open,win_bet_close1,chosen_odds_close1,net_odds_close1,net_stake_close1,win_bet_close2,chosen_odds_close2,net_odds_close2,net_stake_close2
2026-05-16,daniel barez,luis gurule,-130.0,110.0,136.0,155.0,-188.0,-162.0,daniel barez,1,0.5172076549980533,0.0,0.0,-0.028195080446380416,-0.08494030269575187,luis gurule,0,0.62679580193684,0.0,0.0,0.007681910705626516,-0.03980217575633016,luis gurule,0,0.6221990402813268,0.022194059548311846,77.67920841909147,0.00857579206191006,0.006272521936466824,0,Luis Gurule,,-130.0,,,,-188.0,,,True,-162.0,0.617283950617284,0.022194059548311846
2026-05-16,tommy gantt,artur minev,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tommy Gantt,,,,,,,,,,,,
2026-05-16,ketlen vieira,jacqueline cavalcanti,140.0,-160.0,120.0,135.0,-159.0,-150.0,jacqueline cavalcanti,0,0.671292030272892,0.1641371350037769,574.4799725132192,0.07041458204906947,0.09084954919344945,jacqueline cavalcanti,0,0.6566282964601524,0.1776077849283533,621.6272472492366,0.07416171143974115,0.06960206781873873,jacqueline cavalcanti,0,0.6612923175736451,0.17732457308483554,620.6360057969243,0.07301257525823801,0.10215386262274184,1,Ketlen Vieira,False,-160.0,-1.0,-0.1641371350037769,False,-159.0,-1.0,-0.1776077849283533,False,-150.0,-1.0,-0.17732457308483554
2026-05-16,malcolm wellmaker,juan diaz,-300.0,250.0,-265.0,-225.0,188.0,205.0,,,,,,,,,,,,,,,,,,,,,,0,Juan Diaz,,,,,,,,,,,,
2026-05-16,tuco tokkos,ivan erslan,250.0,-300.0,135.0,145.0,-182.0,-167.0,ivan erslan,0,0.6313005418165687,0.0,0.0,-0.10500983588892776,-0.15826594424457513,ivan erslan,0,0.5252276200469002,0.0,0.0,-0.08873465320918295,-0.1861857755317261,ivan erslan,0,0.5220584902545616,0.0,0.0,-0.08834514084643552,-0.16533163534150935,0,Ivan Erslan,,-300.0,,,,-182.0,,,,-167.0,,
2026-05-16,arnold allen,melquizael costa,-150.0,130.0,-132.0,-115.0,-105.0,106.0,melquizael costa,0,0.5554718910753152,0.11305936267715504,395.7077693700426,0.13945452611162545,0.277585349473225,melquizael costa,0,0.6027674378327961,0.18267999706505553,639.3799897276944,0.13235360733050738,0.1768316643402209,melquizael costa,0,0.6067191864902739,0.18446358241659058,645.6225384580671,0.13167459374468277,0.2498415241699643,1,Arnold Allen,False,130.0,-1.0,-0.11305936267715504,False,-105.0,-1.0,-0.18267999706505553,False,106.0,-1.0,-0.18446358241659058
2026-05-16,nikolay veretennikov,khaos williams,130.0,-150.0,-110.0,105.0,-127.0,-110.0,khaos williams,0,0.5271270984728607,0.0,0.0,-0.05685553656344944,-0.12145483587856565,nikolay veretennikov,1,0.5311556664852087,0.09595008198949607,335.82528696323624,0.04976350162517179,0.01402445419903492,nikolay veretennikov,1,0.5316096796816643,0.09593528081952972,335.773482868354,0.0497068294156256,0.08979984334741165,0,Khaos Williams,,-150.0,,,False,-110.0,-1.0,-0.09595008198949607,False,105.0,-1.0,-0.09593528081952972
2026-05-16,modestas bukauskas,christian edwards,-250.0,210.0,-350.0,-290.0,215.0,275.0,,,,,,,,,,,,,,,,,,,,,,1,Modestas Bukauskas,,,,,,,,,,,,
2026-05-16,alice ardelean,polyana viana,-270.0,230.0,-200.0,-168.0,142.0,165.0,alice ardelean,1,0.7294707933052713,0.0,0.0,0.01266370852181331,-0.0003548388038875361,alice ardelean,1,0.6658438382567062,0.0,0.0,0.033764436533340936,-0.0012342426149406505,alice ardelean,1,0.6601903151064765,0.09385514555381913,328.493009438367,0.0351986060862145,0.053160740765093584,1,Alice Ardelean,,-270.0,,,,-200.0,,,True,-168.0,0.5952380952380953,0.09385514555381913
2026-05-16,dooho choi,daniel santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dooho Choi,,,,,,,,,,,,
