strategy,scenario_pct,date,realized_return,stake
always_open,20,2025-03-01,0.31532839181232336,0.4450578214322064
always_open,20,2025-03-08,0.008042055085474661,0.5718859481487777
always_open,20,2025-03-15,0.0856435231731679,1.0
always_open,20,2025-03-22,0.023267727723973966,0.5457479570859864
always_open,20,2025-03-29,0.41184353610431174,1.0
always_open,20,2025-04-05,0.10455937503017208,0.321924804553024
always_open,20,2025-04-12,-0.23914465444390487,0.9999999999999999
always_open,20,2025-04-26,0.5433173335693862,0.8084960514160333
always_open,20,2025-05-03,0.5115312684852513,1.0
always_open,20,2025-05-10,0.39822645695442926,0.9429561982101354
always_open,20,2025-05-17,0.2976803883163106,0.5427772524487182
always_open,20,2025-05-31,-0.09682165121750322,0.5500857278960102
always_open,20,2025-06-07,0.04683119705057848,0.8622570669630276
always_open,20,2025-06-14,0.19426090557190248,1.0
always_open,20,2025-06-21,-0.2580783494769691,0.8675921841118537
always_open,20,2025-06-28,0.31512357214983155,1.0
always_open,20,2025-07-12,0.19329053481350544,1.0
always_open,20,2025-07-19,-0.09592066392005656,0.09592066392005656
always_open,20,2025-07-26,-0.16428388115024234,0.7224625465216479
always_open,20,2025-08-02,0.48930150152372714,1.0
always_open,20,2025-08-09,0.1370918803491738,0.909107431550968
always_open,20,2025-08-16,-0.17346960338103432,0.5933851257134743
always_open,20,2025-08-23,0.08561319251221478,0.6175872907936883
always_open,20,2025-09-06,-0.028371117892642406,0.550838983302411
always_open,20,2025-09-13,0.27971168865676244,0.909516739515938
always_open,20,2025-09-27,0.30359844561540933,0.8769923843773171
always_open,20,2025-10-04,0.218717283989993,1.0
always_open,20,2025-10-11,0.0641599572039591,1.0
always_open,20,2025-10-18,-0.2559232535465439,0.5553213886787423
always_open,20,2025-10-25,-0.13224971192969465,1.0
always_open,20,2025-11-01,0.31314734581602005,0.9459690803569554
always_open,20,2025-11-08,0.10264533407720058,0.9943589639034909
always_open,20,2025-11-15,0.3399798826967082,0.9098442394030476
always_open,20,2025-11-22,0.22022149967945528,1.0
always_open,20,2025-12-06,-0.15394277160780898,1.0
always_open,20,2025-12-13,0.08016762089569718,0.2966812050210516
always_open,20,2026-01-24,0.016702987536813194,0.8585125419033419
always_open,20,2026-01-31,0.27569851663583866,0.9619009540239573
always_open,20,2026-02-07,-0.30026002297084975,1.0
