strategy,scenario_pct,events,fights,log_loss,brier,accuracy,roi_on_stakes_pct,compounded_return_pct,max_drawdown_pct,bets,open_selection_pct
switch_prediction,50,49,440,0.5755943456137101,0.19544170792733515,0.6977272727272728,12.41678799379055,3288.096687143757,43.60304767523149,224,99.54545454545455
switch_prediction,60,49,440,0.5740507084035682,0.19484960099687657,0.7,12.022672944297511,2602.5015323682696,44.13760622652877,214,98.63636363636363
switch_prediction,70,49,440,0.5730804940673315,0.19452433822616325,0.7,10.787975149019786,1560.6953329426788,44.75771452251816,212,97.72727272727273
switch_prediction,80,49,440,0.5717961534327921,0.19402034597896944,0.7045454545454546,10.854204639408284,1276.6441069099865,46.536848049906475,199,95.68181818181817
switch_prediction,90,49,440,0.5721998887100933,0.19437854233332325,0.7022727272727273,8.984596482357134,533.1773186756235,54.16115843694818,189,92.95454545454545
switch_prediction,100,49,440,0.5731402222245192,0.19483880775270235,0.6977272727272728,6.75119363732099,162.81291706482799,58.05612670288126,174,87.95454545454545
switch_return,0,49,440,0.5823128763668507,0.1979995002472316,0.7113636363636363,17.914804222884694,30039.489221514144,27.892962359290642,236,100.0
switch_return,10,49,440,0.580507459355122,0.19726365017821013,0.7068181818181818,16.44457074347781,16041.380388925989,34.481343341913615,234,100.0
switch_return,20,49,440,0.5792413878632557,0.19679176237701645,0.7045454545454546,15.891177362872135,12755.981782389568,35.432718891859786,230,99.77272727272727
switch_return,30,49,440,0.577909981707321,0.19628501935463777,0.7045454545454546,14.705499549037617,7591.128402029145,43.63117954136343,232,99.77272727272727
switch_return,40,49,440,0.5767406745449621,0.1958573363235363,0.6977272727272728,13.269321377160004,4569.290184455677,46.28439005228934,229,99.77272727272727
switch_return,50,49,440,0.5755943456137101,0.19544170792733515,0.6977272727272728,12.41678799379055,3288.096687143757,43.60304767523149,224,99.54545454545455
switch_return,60,49,440,0.5740507084035682,0.19484960099687657,0.7,12.022672944297511,2602.5015323682696,44.13760622652877,214,98.63636363636363
switch_return,70,49,440,0.5730804940673315,0.19452433822616325,0.7,10.787975149019786,1560.6953329426788,44.75771452251816,212,97.72727272727273
switch_return,80,49,440,0.5717961534327921,0.19402034597896944,0.7045454545454546,10.854204639408284,1276.6441069099865,46.536848049906475,199,95.68181818181817
switch_return,90,49,440,0.5721998887100933,0.19437854233332325,0.7022727272727273,8.984596482357134,533.1773186756235,54.16115843694818,189,92.95454545454545
switch_return,100,49,440,0.5731402222245192,0.19483880775270235,0.6977272727272728,6.75119363732099,162.81291706482799,58.05612670288126,174,87.95454545454545
