shift_pct,policy,switches,mean_expected_return_pct,events,mean_event_return_pct,compounded_return_pct,profitable_events,max_drawdown_pct
3.5,keep_opening,0,5.566280815876887,39,10.648498663369645,1909.5662152177695,22,35.8675743655261
3.5,always_close1,39,3.683482696282442,39,1.665952233504482,0.28745905550611184,17,48.94473544526511
3.5,positive_expected_gain,6,5.739346274295249,39,10.940553581334997,2201.712009992906,23,31.487163882982028
3.5,two_point_expected_gain,1,5.652116502270561,39,11.465778507570114,2618.4909718710683,23,29.79979921014926
4.0,keep_opening,0,5.562398093641853,39,10.622679800741084,1892.3394726738645,22,35.934362938815
4.0,always_close1,39,3.6995203958548752,39,1.6872875389542255,0.8610330659358789,17,49.048520819440085
4.0,positive_expected_gain,6,5.736292465769809,39,10.915082857156936,2182.0274909139375,23,31.518065329480073
4.0,two_point_expected_gain,1,5.648423498099152,39,11.44006033185444,2595.22309319069,23,29.836551632330853
4.5,keep_opening,0,5.558380572818013,39,10.596611244655344,1875.1281247177023,22,36.00164502280091
4.5,always_close1,39,3.715664262071465,39,1.708590884683851,1.4349015494679485,17,49.15123940394251
4.5,positive_expected_gain,6,5.733118684765123,39,10.889304123499171,2162.3072041759015,23,31.549818658298012
4.5,two_point_expected_gain,1,5.644593229676904,39,11.414081751732912,2571.9653594444117,23,29.87323967588248
5.0,keep_opening,0,5.554220510132845,39,10.57048822072979,1858.0618510224458,22,36.06736154113223
5.0,always_close1,39,3.7318998869284434,39,1.7301103909482543,2.0173029033825784,17,49.25290296262938
5.0,positive_expected_gain,6,5.7297763636745085,39,10.863477196857787,2142.7670931441444,23,31.580223272722442
5.0,two_point_expected_gain,1,5.640617962740977,39,11.3880380276877,2548.893498660886,23,29.90986234604146
5.5,keep_opening,0,5.550079686368166,39,10.544566306975852,1841.2234375221947,22,36.13356843420533
5.5,always_close1,39,3.748211491575094,39,1.7515005421286707,2.5973319387300853,17,49.35352306650906
5.5,positive_expected_gain,6,5.7264477848785615,39,10.837825584391467,2123.4690283235295,23,31.611479856157743
5.5,two_point_expected_gain,1,5.636659486912944,39,11.362184771938288,2526.1197996118385,23,29.94641864971047
6.0,keep_opening,0,5.545751513454636,39,10.518407198669262,1824.4032709295134,22,36.19821226770843
6.0,always_close1,39,3.7645748278965177,39,1.7732222682353131,3.191867326754183,17,49.4531110972744
6.0,positive_expected_gain,6,5.722861502335188,39,10.812099821243946,2104.3716963550983,23,31.63423777516958
6.0,two_point_expected_gain,1,5.632511222793134,39,11.336083713317716,2503.36098239492,23,29.982907595317887
6.5,keep_opening,0,5.541355700314401,39,10.492369851115257,1807.8123818363529,22,36.26334321606828
6.5,always_close1,39,3.7808807211985256,39,1.7953862749372769,3.807318897355927,17,49.55167825098873
6.5,positive_expected_gain,6,5.719074378039998,39,10.786779728628037,2085.8349359936315,23,31.648878825972005
6.5,two_point_expected_gain,1,5.628292887809041,39,11.31009384005464,2480.902814904397,23,30.019328192568473
7.0,keep_opening,0,5.536883127966858,39,10.466295633696001,1791.3188893689842,22,36.32691343171794
7.0,always_close1,39,3.7972678859520923,39,1.817356142806325,4.417657342572734,17,49.64923554188717
7.0,positive_expected_gain,6,5.715216315226066,39,10.761239037751775,2067.267164805541,23,31.663037203894973
7.0,two_point_expected_gain,1,5.623995371323428,39,11.28405655382821,2458.5671636526126,23,30.05567945272024
7.5,keep_opening,0,5.532246206921727,39,10.440220147538835,1775.015591283371,22,36.39096737730944
7.5,always_close1,39,3.8137127638355244,39,1.8394585761534736,5.033938859779519,17,49.745793805425755
7.5,positive_expected_gain,6,5.711207329871662,39,10.735772758933242,2048.952370973695,23,31.678013855804764
7.5,two_point_expected_gain,1,5.619531092026167,39,11.258007487438327,2436.479836179286,23,30.09196038823616
8.0,keep_opening,0,5.527570416621129,39,10.414050263957996,1758.7539680277619,22,36.453462736818885
8.0,always_close1,39,3.8302424518645384,39,1.861570176270135,5.651359731098804,17,49.84136370212329
8.0,positive_expected_gain,6,5.707133059589179,39,10.710220464964102,2030.6941611339414,23,31.691617835688835
8.0,two_point_expected_gain,1,5.6150255373840725,39,11.231853543268508,2414.440184042233,23,30.128170012795607
8.5,keep_opening,0,5.522705948559707,39,10.38749590008257,1742.4547606253568,22,36.51643831508446
8.5,always_close1,39,3.846801638884646,39,1.883728550735108,6.272779497678438,17,49.93595572073648
8.5,positive_expected_gain,7,5.7053039529687855,39,10.665467323500586,1998.5715168771283,23,31.70694099876974
8.5,two_point_expected_gain,1,5.6103289067583075,39,11.205304668909417,2392.341258617817,23,30.16430734109832
9.0,keep_opening,0,5.517833515509322,39,10.36145554718027,1726.5598272723973,22,36.57887341415517
9.0,always_close1,39,3.8634300893950653,39,1.9057660249488924,6.890628656537534,17,50.02958018126349
9.0,positive_expected_gain,7,5.7050010318919515,39,10.655652886384736,1992.1761176538466,23,31.721991556745955
9.0,two_point_expected_gain,1,5.605621920635082,39,11.17925938550217,2370.7810322189616,23,30.200371388937775
9.5,keep_opening,0,5.512803963235866,39,10.335120861358572,1710.659137949462,22,36.64076758360567
9.5,always_close1,39,3.8800343374257555,39,1.9280354536626316,7.519674368419227,17,50.122247238577145
9.5,positive_expected_gain,8,5.704886769380011,39,10.653650799515454,1993.106450043248,23,31.73677088350152
9.5,two_point_expected_gain,1,5.600755432344117,39,11.152909378442462,2349.205096795849,23,30.236361172903802
10.0,keep_opening,0,5.50776297985778,39,10.308945264543109,1694.970338074447,22,36.70212033385612
10.0,always_close1,39,3.8967318787491245,39,1.950253709086743,8.147020950542338,17,50.21396688517841
10.0,positive_expected_gain,8,5.7054751078780495,39,10.64172103171956,1984.7306156214306,23,31.75218252151374
10.0,two_point_expected_gain,1,5.595875137418501,39,11.126708098368614,2327.9081046249435,23,30.272275710618622
10.5,keep_opening,0,5.502566228841496,39,10.282495880756635,1679.2593256039615,22,36.76293113616287
10.5,always_close1,39,3.9134583472968707,39,1.9724164268437605,8.774238369195198,17,50.30474895437818
10.5,positive_expected_gain,8,5.705974413137415,39,10.629514502222563,1976.1547408719725,23,31.773353969722496
10.5,two_point_expected_gain,1,5.590836706591011,39,11.10022269744449,2306.5736457459657,23,30.308114020235855
11.0,keep_opening,0,5.497243286133466,39,10.256169797561771,1663.7990769689502,22,36.82319942218586
