date,shift_pct,ticket,fighter,decimal_odds,probability
2024-10-26,0.5,opening,ismail naurdiev,2.2365472527472527,0.6125916407806816
2024-10-26,0.5,opening,lerone murphy,1.5867226890756303,0.7700670484709953
2024-10-26,0.5,close1,ismail naurdiev,1.5529032967032967,0.7483169734133173
2024-10-26,0.5,close1,ilia topuria,1.3288890826648063,0.8178541360505351
2024-11-16,0.5,opening,mickey gall,2.1965000000000003,0.5160002992893951
2024-11-16,0.5,opening,jonathan martinez,2.238345454545455,0.5058957710657459
2024-11-16,0.5,close1,charles oliveira,1.3643434343434344,0.7847159870513841
2024-11-16,0.5,close1,jonathan martinez,1.910745454545454,0.5477226145782036
2024-12-07,0.5,opening,chris weidman,1.9993478260869566,0.606892287896832
2024-12-07,0.5,opening,michael chiesa,2.1973783783783785,0.5338553297139094
2024-12-07,0.5,close1,chris weidman,1.8702173913043474,0.6306945105648772
2024-12-07,0.5,close1,movsar evloev,1.4001739130434783,0.8001698670437424
2025-01-11,0.5,opening,roman kopylov,1.444074074074074,0.7185679920131935
2025-01-11,0.5,opening,nurullo aliev,1.2345176470588235,0.8398536572001862
2025-01-11,0.5,close1,cesar almeida,1.363818181818182,0.7438029514735546
2025-01-11,0.5,close1,jose johnson,1.5551587301587302,0.6498779613068019
2025-02-01,0.5,opening,nassourdine imavov,2.6383,0.5377248153080816
2025-02-01,0.5,opening,jasmine jasudavicius,1.9968181818181818,0.621789672746674
2025-02-01,0.5,close1,nassourdine imavov,2.3017,0.5793284514374459
2025-02-01,0.5,close1,fares ziam,2.1045000000000003,0.5505915734196161
2025-02-15,0.5,opening,ketlen souza,2.238264285714286,0.5580954488070794
2025-02-15,0.5,opening,gregory rodrigues,2.096437984496124,0.5833508871939257
2025-02-15,0.5,close1,ketlen souza,1.8945928571428572,0.6154149714288505
2025-02-15,0.5,close1,youssef zalal,1.2011008403361345,0.8900103882205714
2025-03-15,0.5,opening,chidi njokuani,2.74925,0.5415599910715813
2025-03-15,0.5,opening,alexander hernandez,1.5707936507936509,0.7030107874623737
2025-03-15,0.5,close1,chidi njokuani,2.60075,0.5570722781920703
2025-03-15,0.5,close1,josiane nunes,1.5707936507936509,0.7175571185250293
