date,target_pct_opening_ev,opening_expected_return_pct,starting_pct_opening_ev,required_movement_pct,achieved_pct_opening_ev,mean_absolute_decimal_change,status,stake_multiplier_to_hold_target,held_event_expected_return_pct,bankroll_after_event,bankroll_before_event,cumulative_return_pct
2025-10-18,80,2.2157487868399337,99.4950694077716,0.0,99.4950694077716,0.0,already_met,0.8040599446403438,1.772599029471947,30047.302973336256,29523.961518006403,5909.460594667252
2025-10-25,80,12.02920962472454,59.21199982165952,34.0,80.00020003696535,0.1691854612183339,reached_on_grid,0.9999974995441855,9.623367699779633,32938.865422327224,30047.302973336256,6487.773084465445
2025-11-01,80,12.482408936102376,56.02034435746217,48.0,80.08945169268841,0.1354383211261675,reached_on_grid,0.9988831026958251,9.9859271488819,36228.11652706907,32938.865422327224,7145.623305413814
2025-11-08,80,7.429032781887843,119.86527466551188,0.0,119.86527466551188,0.0,already_met,0.6674159820118271,5.943226225510274,38381.23544951426,36228.11652706907,7576.247089902851
2025-11-15,80,4.939053155505739,42.16713791320991,42.0,80.61195316151152,0.1636177855336939,reached_on_grid,0.9924086548270896,3.9512425244045914,39897.77114598731,38381.23544951426,7879.554229197462
2025-11-22,80,9.382049131150383,56.87891445098064,63.0,80.48280287274123,0.2221273383210071,reached_on_grid,0.9940011672617237,7.505639304920306,42892.35393890769,39897.77114598731,8478.470787781538
2025-12-06,80,12.958540623932388,57.24785283081802,56.0,80.08119526138339,0.1988334528096444,reached_on_grid,0.9989860882930334,10.366832499145909,47338.932426695064,42892.35393890769,9367.786485339013
2025-12-13,80,3.6770514123552873,64.46537913426366,16.0,80.78652885972973,0.0681681620021018,reached_on_grid,0.9902641087464547,2.9416411298842298,48731.47393340682,47338.932426695064,9646.294786681365
2026-01-24,80,6.559098600334434,30.63265018017384,64.0,80.05840218018606,0.3106485836982166,reached_on_grid,0.9992705052986867,5.247278880267547,51288.55027315757,48731.47393340682,10157.710054631514
2026-01-31,80,3.6479663114402263,38.45834166560806,71.0,80.55349604335099,0.1539413969260898,reached_on_grid,0.993128838963698,2.9183730491521813,52785.34150163027,51288.55027315757,10457.068300326055
2026-02-07,80,13.967505029608024,115.7030214975769,0.0,115.7030214975769,0.0,already_met,0.6914253315474167,11.174004023686418,58683.57768493906,52785.34150163027,11636.715536987813
2026-02-21,80,22.56566992039512,59.09334732987696,37.0,80.36530802346749,0.1806100694715172,reached_on_grid,0.9954544064789645,18.052535936316097,69277.45163522866,58683.57768493906,13755.490327045733
2024-05-11,90,5.705265828780047,18.6872900404499,76.0,90.22169520430208,0.1162928275131868,reached_on_grid,0.997542772790956,5.1347392459020424,525.6736962295103,500.0,5.1347392459020424
2024-05-18,90,13.626687598196105,81.91660733316647,18.0,90.43446786873668,0.0639487745104447,reached_on_grid,0.9951957712697851,12.264018838376494,590.1424173634874,525.6736962295103,18.028483472697477
2024-06-01,90,10.7761528215541,72.31940897507026,72.0,90.7026669524068,0.1699847026603055,reached_on_grid,0.9922530728586461,9.69853753939869,647.3776012474001,590.1424173634874,29.475520249480013
2024-06-08,90,11.071862001659134,81.8931890550814,33.0,90.03535909244712,0.0742786899277166,reached_on_grid,0.9996072754881689,9.964675801493222,711.886680423187,647.3776012474001,42.377336084637406
2024-06-15,90,9.19193707690762,24.864177854451604,96.0,98.34083262714104,0.2707415333814637,reached_on_grid,0.9151844416574623,8.272743369216858,770.7792385742342,711.886680423187,54.15584771484685
2024-06-22,90,1.931597109907606,12.543537865771029,88.0,90.41744224477983,0.1661901446169163,reached_on_grid,0.9953831668490495,1.7384373989168451,784.1787531206952,770.7792385742342,56.83575062413904
2024-06-29,90,10.275852726663912,56.07128313012417,52.0,90.1424317427916,0.3053584753703421,reached_on_grid,0.9984199256661058,9.24826745399752,856.70170152672,784.1787531206952,71.340340305344
2024-07-13,90,5.625121343186826,66.88624852770012,68.0,90.02518283106322,0.2039115669523132,reached_on_grid,0.9997202690372705,5.0626092088681425,900.0731607607418,856.70170152672,80.01463215214835
2024-07-20,90,10.5711947050124,75.34115696827945,37.0,90.21764113726373,0.0804845756095126,reached_on_grid,0.9975875988939614,9.51407523451116,985.7067984411613,900.0731607607418,97.14135968823226
2024-07-27,90,10.536022782390198,48.19498771341576,70.0,90.06314118039865,0.3098392656706332,reached_on_grid,0.999298923182435,9.482420504151177,1079.1756620073581,985.7067984411613,115.83513240147161
2024-08-03,90,13.211115852895784,71.65583459894553,70.0,90.13969398793137,0.1409326107987616,reached_on_grid,0.998450250031356,11.890004267606205,1207.4896942750004,1079.1756620073581,141.4979388550001
2024-08-10,90,4.381667461340961,15.618253316615318,88.0,90.20265442335122,0.3927858188538019,reached_on_grid,0.9977533430180435,3.943500715206865,1255.107059004784,1207.4896942750004,151.02141180095683
2024-08-17,90,16.850838688982776,63.17733034269378,60.0,90.1862259967094,0.1439806975603618,reached_on_grid,0.9979350949144252,15.165754820084498,1445.4535183030227,1255.107059004784,189.09070366060456
2024-08-24,90,6.789274305739957,9.489138127807074,82.0,90.4212119004612,0.6582833939462647,reached_on_grid,0.9953416693759328,6.110346875165962,1533.7757421906279,1445.4535183030227,206.7551484381256
2024-09-07,90,6.86283099326305,91.99612767919972,0.0,91.99612767919972,0.0,already_met,0.9783020467322231,6.176547893936745,1628.5101354926157,1533.7757421906279,225.70202709852313
2024-09-14,90,8.716906137673444,49.36561510823119,76.0,90.25634421608032,0.3023570301570467,reached_on_grid,0.9971598205277779,7.845215523906099,1756.2702654506666,1628.5101354926157,251.2540530901333
2024-09-28,90,3.52470461705422,90.52490696767606,0.0,90.52490696767606,0.0,already_met,0.9942015188387491,3.172234155348798,1811.9832706715276,1756.2702654506666,262.3966541343055
2024-10-05,90,15.9392768207599,91.2067735974078,0.0,91.2067735974078,0.0,already_met,0.9867688160669449,14.34534913868391,2071.918597183902,1811.9832706715276,314.3837194367804
2024-10-12,90,14.36590688499854,68.40136610172254,63.0,90.05222790489427,0.1317931375840951,reached_on_grid,0.9994200265100668,12.929316196498684,2339.8035039478686,2071.918597183902,367.9607007895737
2024-10-19,90,9.876661039357652,54.030468304059134,69.0,90.3748232006752,0.21917927438657,reached_on_grid,0.9958525705788336,8.888994935421886,2547.788518912618,2339.8035039478686,409.5577037825237
2024-10-26,90,17.751268498717696,49.784987395308185,74.0,90.3080216814543,0.3194489074862174,reached_on_grid,0.9965892101751403,15.976141648845926,2954.8268216071324,2547.788518912618,490.9653643214265
2024-11-02,90,8.413238258603887,39.45687622169271,73.0,90.08653532852657,0.2499719386772387,reached_on_grid,0.9990394199509285,7.571914432743498,3178.563780174979,2954.8268216071324,535.7127560349958
2024-11-09,90,6.349512227556263,58.51115248010806,79.0,90.40785739325612,0.2253025289122139,reached_on_grid,0.9954886952858308,5.714561004800637,3360.204746469575,3178.563780174979,572.040949293915
2024-11-16,90,9.01980868102216,25.462369586921323,83.0,90.00906099744587,0.3839797881897236,reached_on_grid,0.9998993323855901,8.117827812919945,3632.9803819495382,3360.204746469575,626.5960763899076
2024-11-23,90,0.0,,,,,undefined_zero_opening_ev,0.0,0.0,3632.9803819495382,3632.9803819495382,626.5960763899076
2024-12-07,90,8.864516765507226,102.14459439311688,0.0,102.14459439311688,0.0,already_met,0.8811038952646204,7.978065088956503,3922.821921490493,3632.9803819495382,684.5643842980986
2024-12-14,90,10.940364077935952,51.26764540379028,60.0,90.63730269442236,0.2679699156194702,reached_on_grid,0.9929686489394881,9.846327670142356,4309.075821796622,3922.821921490493,761.8151643593244
2025-01-11,90,1.1242118300633528,19.543637829639717,94.0,90.00414925016696,0.3803718115609242,reached_on_grid,0.9999538993457354,1.0117906470570175,4352.6746479361545,4309.075821796622,770.534929587231
2025-01-18,90,7.727210327986464,51.74010209967734,80.0,90.31946713293031,0.4726114877379498,reached_on_grid,0.9964629205300766,6.954489295187818,4655.380940381229,4352.6746479361545,831.0761880762458
2025-02-01,90,13.873719480625208,69.21868223367944,23.0,90.31291612806584,0.0996571199835017,reached_on_grid,0.9965352007057096,12.486347532562688,5236.667983561913,4655.380940381229,947.3335967123827
