,y_pred,y_true,choice_netodds_close1,choice_netodds_close2,p_red,p_blue,p_red_model,p_blue_model,pred_conf,confidence,uncertainty,agreement,set_size,gap,prob_conf_red,prob_conf_blue,ev_conf,ev_raw,conf_bin,bin
20,0,1.0,0.7246376811594204,0.8333333333333333,0.3525691699604743,0.3393939393939394,0.49153704931652326,0.5084629506834768,1,0.3525691699604743,0.3393939393939394,0,2,0.013175230566534912,0.4946121089625821,0.5053878910374179,-0.1283889995151778,-0.12308563577777182,0,"(0.346, 0.367]"
21,0,0.0,0.5,0.5555555555555556,0.05480895915678524,0.7905138339920948,0.275406074791181,0.7245939252088189,0,0.7905138339920948,0.05480895915678524,1,1,0.7357048748353097,9.10309996319917e-11,0.999999999908969,0.49999999986345356,0.0868908878132284,13,"(0.786, 0.796]"
22,0,0.0,0.7692307692307692,0.9523809523809523,0.22028985507246376,0.4766798418972332,0.4127178659246234,0.5872821340753767,0,0.4766798418972332,0.22028985507246376,1,2,0.25638998682476943,0.05211323027208638,0.9478867697279135,0.6770304387493854,0.039037621825666335,3,"(0.472, 0.493]"
23,1,1.0,0.6944444444444444,0.7692307692307692,0.4706192358366271,0.2329380764163373,0.5553494535354406,0.44465054646455937,1,0.4706192358366271,0.2329380764163373,1,2,0.23768115942028983,0.9028735933045943,0.09712640669540573,0.5298691442105625,-0.05899120373161448,3,"(0.457, 0.472]"
24,1,1.0,0.5714285714285714,0.625,0.7032938076416337,0.10197628458498023,0.6837153649900298,0.31628463500997017,1,0.7032938076416337,0.10197628458498023,1,2,0.6013175230566535,0.9999784997608241,2.150023917589145e-05,0.5713947853384378,0.07440985927004684,9,"(0.681, 0.711]"
25,1,1.0,0.625,0.7407407407407407,0.7683794466403162,0.06719367588932806,0.7149844332843437,0.2850155667156563,1,0.7683794466403162,0.06719367588932806,1,1,0.7011857707509881,0.999999988065998,1.193400209615694e-08,0.6249999806072467,0.1618497040870585,12,"(0.758, 0.769]"
26,0,0.0,0.42553191489361697,0.4761904761904765,0.14492753623188406,0.5963109354413703,0.3604252496367575,0.6395747503632425,0,0.5963109354413703,0.14492753623188406,1,2,0.4513833992094862,0.001848150988568272,0.9981518490114317,0.4228973166758707,-0.08826578139707986,6,"(0.591, 0.603]"
27,0,0.0,0.6289308176100628,0.7352941176470589,0.16258234519104084,0.5625823451910409,0.39114988725067473,0.6088501127493253,0,0.5625823451910409,0.16258234519104084,1,2,0.4,0.007454191474759175,0.9925458085252409,0.6167884553964614,-0.008225288037262635,5,"(0.548, 0.575]"
28,0,0.0,0.4545454545454546,0.5208333333333337,0.12911725955204217,0.6274044795783926,0.35285531963060035,0.6471446803693996,0,0.6274044795783926,0.12911725955204217,1,2,0.49828722002635045,0.0006268287678652126,0.9993731712321349,0.453633703610378,-0.05869864673541869,7,"(0.621, 0.634]"
29,1,1.0,0.08333333333333326,0.11111111111111116,0.9828722002635046,0.001844532279314888,0.8673865518900093,0.13261344810999065,1,0.9828722002635046,0.001844532279314888,1,1,0.9810276679841897,1.0,0.0,0.08333333333333326,-0.06033123545248993,19,"(0.982, 0.987]"
30,1,1.0,0.41666666666666674,0.5,0.5233201581027668,0.19130434782608696,0.6341620268262055,0.3658379731737945,1,0.5233201581027668,0.19130434782608696,1,2,0.3320158102766798,0.9877032960174676,0.012296703982532376,0.3992463360247459,-0.10160379532954217,4,"(0.517, 0.53]"
31,0,1.0,0.6134969325153374,0.7633587786259539,0.3312252964426877,0.36152832674571805,0.469133283098998,0.530866716901002,0,0.36152832674571805,0.3312252964426877,1,2,0.03030303030303033,0.36970555921849874,0.6302944407815013,0.016978146782422376,-0.14344818070574533,0,"(0.346, 0.367]"
32,1,1.0,0.6666666666666663,0.869565217391304,0.5019762845849802,0.2018445322793149,0.625398928168129,0.37460107183187097,1,0.5019762845849802,0.2018445322793149,1,2,0.30013175230566536,0.980726608028091,0.019273391971909082,0.6345443467134846,0.04233154694688146,4,"(0.493, 0.517]"
33,0,0.0,0.6756756756756757,0.9345794392523368,0.0927536231884058,0.7201581027667984,0.3231727832363148,0.6768272167636852,0,0.7201581027667984,0.0927536231884058,1,1,0.6274044795783926,8.84067970305506e-06,0.999991159320297,0.6756608615637409,0.13414290376617516,10,"(0.72, 0.732]"
34,1,0.0,0.7518796992481205,1.2000000000000002,0.508300395256917,0.1992094861660079,0.5802772562767629,0.41972274372323715,1,0.508300395256917,0.1992094861660079,1,2,0.3090909090909091,0.9639907673665642,0.03600923263343578,0.6887958556121013,0.016575945206659837,4,"(0.493, 0.517]"
35,1,1.0,0.4545454545454546,0.5882352941176472,0.7678524374176549,0.06587615283267458,0.7244475203449091,0.2755524796550909,1,0.7678524374176549,0.06587615283267458,1,1,0.7019762845849803,0.9999999951625186,4.837481334260395e-09,0.45454544750911796,0.053741847774413265,12,"(0.758, 0.769]"
36,1,0.0,0.9523809523809523,1.15,0.3976284584980237,0.29881422924901185,0.5181605416486512,0.4818394583513488,1,0.3976284584980237,0.29881422924901185,1,2,0.09881422924901184,0.687829973116941,0.31217002688305895,0.3429061379902182,0.011646771790223776,1,"(0.385, 0.409]"
37,1,1.0,1.0,1.2999999999999998,0.3868247694334651,0.30645586297760213,0.5129856273558906,0.4870143726441094,1,0.3868247694334651,0.30645586297760213,1,2,0.08036890645586298,0.6506909157692468,0.34930908423075313,0.3013818315384935,0.02597125471178119,1,"(0.385, 0.409]"
38,1,0.0,0.36363636363636376,0.42553191489361697,0.8853754940711462,0.02266139657444005,0.789508661268406,0.21049133873159398,1,0.8853754940711462,0.02266139657444005,1,1,0.8627140974967062,1.0,1.7851502885286768e-30,0.36363636363636376,0.07660271991146284,16,"(0.884, 0.904]"
39,0,1.0,0.3389830508474576,0.5,0.2,0.5146245059288538,0.4020537674395066,0.5979462325604934,0,0.5146245059288538,0.2,1,2,0.31462450592885377,0.027744895553148654,0.9722551044468514,0.3018331059542586,-0.19936012928340716,4,"(0.493, 0.517]"
40,1,1.0,0.5988023952095809,0.7246376811594204,0.7296442687747036,0.08063241106719368,0.702738408723655,0.297261591276345,1,0.7296442687747036,0.08063241106719368,1,1,0.6490118577075099,0.999999525908893,4.740911071276562e-07,0.5988016372315834,0.12353985107314908,10,"(0.72, 0.732]"
41,1,1.0,0.3496503496503496,0.4347826086956521,0.7944664031620553,0.05349143610013175,0.738249911126758,0.261750088873242,1,0.7944664031620553,0.05349143610013175,1,1,0.7409749670619236,0.9999999999807898,1.9210178636442492e-11,0.34965034962442254,-0.003620749318431593,13,"(0.786, 0.796]"
42,1,1.0,0.4347826086956521,0.4926108374384237,0.5404479578392621,0.17891963109354414,0.600220810501118,0.399779189498882,1,0.5404479578392621,0.17891963109354414,1,2,0.361528326745718,0.9849293345234789,0.015070665476521191,0.4131594799684696,-0.13881361971578732,5,"(0.53, 0.548]"
43,1,1.0,0.23529411764705888,0.33333333333333326,0.9818181818181818,0.001844532279314888,0.8548663388098131,0.1451336611901869,1,0.9818181818181818,0.001844532279314888,1,1,0.9799736495388669,1.0,0.0,0.23529411764705888,0.05601135970623977,19,"(0.982, 0.987]"
44,0,1.0,0.606060606060606,0.7246376811594204,0.23478260869565218,0.4613965744400527,0.42146362930050935,0.5785363706994906,0,0.4613965744400527,0.23478260869565218,1,2,0.22661396574440054,0.07627906431291454,0.9237209356870855,0.4835518058004705,-0.07083552584627273,3,"(0.457, 0.472]"
45,0,0.0,0.303030303030303,0.36363636363636376,0.031093544137022398,0.8455862977602108,0.23177062486885433,0.7682293751311456,0,0.8455862977602108,0.031093544137022398,1,1,0.8144927536231884,5.188620757752832e-21,1.0,0.303030303030303,0.0010261554739170176,15,"(0.84, 0.857]"
46,0,0.0,0.4761904761904765,0.5263157894736841,0.19104084321475626,0.51699604743083,0.4017774500300783,0.5982225499699216,0,0.51699604743083,0.19104084321475626,1,2,0.3259552042160738,0.02232880044700937,0.9776711995529906,0.44322891362584366,-0.11690956909202027,4,"(0.517, 0.53]"
47,1,0.0,0.7142857142857144,0.8064516129032255,0.7857707509881423,0.05981554677206851,0.7175956498253648,0.28240435017463517,1,0.7857707509881423,0.05981554677206851,1,1,0.7259552042160738,0.9999999989929607,1.0070393340526039e-09,0.7142857125593612,0.23016397112919695,13,"(0.786, 0.796]"
48,1,1.0,0.4761904761904765,0.5405405405405406,0.6216073781291173,0.13175230566534915,0.6583705810045882,0.34162941899541177,1,0.6216073781291173,0.13175230566534915,1,2,0.48985507246376814,0.9994357496141907,0.0005642503858092486,0.475357535144758,-0.028119618517036205,7,"(0.621, 0.634]"
49,1,1.0,0.05998800239952007,0.10000000000000009,0.9994729907773386,0.00026350461133069827,0.9322124078094151,0.06778759219058494,1,0.9994729907773386,0.00026350461133069827,1,1,0.9992094861660079,1.0,0.0,0.05998800239952007,-0.011866032034051371,19,"(0.987, 0.999]"
50,1,1.0,0.5,0.5555555555555556,0.7899868247694335,0.05401844532279315,0.7368438485364669,0.2631561514635331,1,0.7899868247694335,0.05401844532279315,1,1,0.7359683794466403,0.999999999972788,2.7212073389356567e-11,0.499999999959182,0.10526577280470034,13,"(0.786, 0.796]"
51,0,1.0,0.5263157894736841,0.6451612903225803,0.18787878787878787,0.5280632411067193,0.3986637018170515,0.6013362981829484,0,0.5280632411067193,0.18787878787878787,1,2,0.34018445322793145,0.019233167586759914,0.9807668324132401,0.496959902104419,-0.08217091329971038,4,"(0.517, 0.53]"
52,1,1.0,0.4347826086956521,0.5263157894736841,0.7280632411067194,0.08326745718050066,0.7049290547213544,0.29507094527864564,1,0.7280632411067194,0.08326745718050066,1,1,0.6447957839262187,0.9999993039217254,6.960782746678988e-07,0.43478160997464943,0.011419948078464914,10,"(0.72, 0.732]"
53,1,1.0,0.36363636363636376,0.41666666666666674,0.583399209486166,0.15177865612648223,0.6387758250305304,0.36122417496946957,1,0.583399209486166,0.15177865612648223,1,2,0.43162055335968375,0.9973763626859261,0.0026236373140739243,0.36005867638989936,-0.12894205677654932,6,"(0.575, 0.591]"
54,1,0.0,0.4761904761904765,0.5263157894736841,0.7567852437417655,0.06798418972332015,0.7186384071265761,0.2813615928734239,1,0.7567852437417655,0.06798418972332015,1,1,0.6888010540184453,0.9999999877348256,1.2265174468360277e-08,0.4761904580847428,0.06084717242494592,11,"(0.745, 0.758]"
55,1,1.0,0.7142857142857144,0.8064516129032255,0.449802371541502,0.24347826086956523,0.5681513996128882,0.4318486003871118,1,0.449802371541502,0.24347826086956523,1,2,0.20632411067193676,0.8995073562166296,0.10049264378337033,0.5420126106570794,-0.026026172092191602,2,"(0.438, 0.457]"
56,0,1.0,0.42553191489361697,0.4761904761904765,0.05375494071146245,0.7915678524374177,0.26981439767760496,0.730185602322395,0,0.7915678524374177,0.05375494071146245,1,1,0.7378129117259552,3.878508854753104e-11,0.9999999999612149,0.4255319148383276,0.04090287990639291,13,"(0.786, 0.796]"
57,1,0.0,0.4761904761904765,0.5263157894736841,0.6516469038208169,0.11409749670619236,0.6761188867680307,0.32388111323196933,1,0.6516469038208169,0.11409749670619236,1,2,0.5375494071146245,0.9999067586390809,9.32413609190841e-05,0.47605283418150063,-0.0019197385805259648,8,"(0.647, 0.665]"
58,0,0.0,0.25,0.33333333333333326,0.0047430830039525695,0.9644268774703557,0.14872328859821554,0.8512767114017845,0,0.9644268774703557,0.0047430830039525695,1,1,0.9596837944664032,3.8230522824261886e-175,1.0,0.25,0.06409588925223064,18,"(0.954, 0.967]"
59,1,0.0,0.5714285714285714,0.7142857142857144,0.45006587615283267,0.24848484848484848,0.5492144756957134,0.45078552430428664,1,0.45006587615283267,0.24848484848484848,1,2,0.2015810276679842,0.8670334358041742,0.1329665641958258,0.36248111340655953,-0.1369486810495933,2,"(0.438, 0.457]"
60,1,1.0,0.6666666666666663,0.7518796992481205,0.7106719367588933,0.091699604743083,0.6842915652317492,0.31570843476825083,1,0.7106719367588933,0.091699604743083,1,1,0.6189723320158103,0.9999940917044441,5.908295555793731e-06,0.6666568195074064,0.14048594205291504,9,"(0.681, 0.711]"
61,0,0.0,0.5,0.5714285714285714,0.20316205533596837,0.5032938076416338,0.4158117284840987,0.5841882715159012,0,0.5032938076416338,0.20316205533596837,1,2,0.3001317523056654,0.037280359374529615,0.9627196406254703,0.4440794609382055,-0.12371759272614813,4,"(0.493, 0.517]"
62,0,0.0,0.4545454545454546,0.4761904761904765,0.29828722002635044,0.4079051383399209,0.4656026286137567,0.5343973713862433,0,0.4079051383399209,0.29828722002635044,1,2,0.10961791831357048,0.2637579112813734,0.7362420887186266,0.07089758359072967,-0.2226947325291006,1,"(0.385, 0.409]"
63,0,0.0,0.37037037037037024,0.3999999999999999,0.0453227931488801,0.8118577075098814,0.25737052098759106,0.7426294790124089,0,0.8118577075098814,0.0453227931488801,1,1,0.7665349143610013,1.424860231313642e-13,0.9999999999998574,0.3703703703701749,0.017677434202189923,13,"(0.796, 0.814]"
64,1,0.0,0.3448275862068966,0.36363636363636376,0.7314888010540185,0.077733860342556,0.7073448774723917,0.2926551225276083,1,0.7314888010540185,0.077733860342556,1,1,0.6537549407114625,0.9999997809448399,2.1905516006894562e-07,0.3448272916154743,-0.04874309581299044,10,"(0.72, 0.732]"
65,1,0.0,0.7142857142857144,0.8620689655172411,0.3725955204216074,0.3238471673254282,0.5116843279686193,0.4883156720313807,1,0.3725955204216074,0.3238471673254282,1,2,0.0487483530961792,0.6022969546919912,0.39770304530800893,0.03250906518627067,-0.12282686633950973,0,"(0.367, 0.385]"
66,1,1.0,0.36363636363636376,0.42553191489361697,0.8563899868247694,0.02924901185770751,0.7688204688763992,0.2311795311236008,1,0.8563899868247694,0.02924901185770751,1,1,0.8271409749670618,1.0,2.4393061584550835e-22,0.36363636363636376,0.04839154846781718,15,"(0.84, 0.857]"
67,0,0.0,0.5555555555555556,0.6666666666666663,0.15731225296442689,0.57733860342556,0.381396100318665,0.618603899681335,0,0.57733860342556,0.15731225296442689,1,2,0.4200263504611331,0.00498905516549299,0.995010944834507,0.5477948030758999,-0.03772726716236774,6,"(0.575, 0.591]"
