td_defense_pct_red,td_total_attempted_against_red,td_total_landed_against_red,td_defense_pct_blue,td_total_attempted_against_blue,td_total_landed_against_blue,sig_str_defense_pct_red,sig_str_total_attempted_against_red,sig_str_total_landed_against_red,sig_str_defense_pct_blue,sig_str_total_attempted_against_blue,sig_str_total_landed_against_blue,td_accuracy_pct_red,td_accuracy_pct_blue,sig_str_accuracy_pct_red,sig_str_accuracy_pct_blue,kd_pm_red,kd_total_red,kd_pm_blue,kd_total_blue,sig_str_landed_pm_red,sig_str_landed_total_red,sig_str_landed_pm_blue,sig_str_landed_total_blue,sig_str_absorbed_pm_red,sig_str_absorbed_total_red,sig_str_absorbed_pm_blue,sig_str_absorbed_total_blue,sig_str_attempted_pm_red,sig_str_attempted_total_red,sig_str_attempted_pm_blue,sig_str_attempted_total_blue,leg_str_pm_red,leg_str_total_red,leg_str_pm_blue,leg_str_total_blue,head_str_pm_red,head_str_total_red,head_str_pm_blue,head_str_total_blue,body_str_pm_red,body_str_total_red,body_str_pm_blue,body_str_total_blue,clinch_str_pm_red,clinch_str_total_red,clinch_str_pm_blue,clinch_str_total_blue,td_landed_pm_red,td_landed_total_red,td_landed_pm_blue,td_landed_total_blue,td_attempted_pm_red,td_attempted_total_red,td_attempted_pm_blue,td_attempted_total_blue,td_defended_pm_red,td_defended_total_red,td_defended_pm_blue,td_defended_total_blue,control_pm_red,control_total_red,control_pm_blue,control_total_blue,sub_att_pm_red,sub_att_total_red,sub_att_pm_blue,sub_att_total_blue,reverse_pm_red,reverse_total_red,reverse_pm_blue,reverse_total_blue,total_fight_time_red,total_fight_time_blue,age_red,age_blue,height_red,height_blue,reach_red,reach_blue,date,event_location,weight_class,title_fight,performance_bonus_winner,fight_otn_bonus,method,winner,winner_name,fighter_red,fighter_blue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28.0,37.0,70.0,71.0,73.0,,2005-04-09, USA,Middleweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Josh Koscheck,Josh Koscheck,Chris Sanford
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33.0,32.0,72.0,69.0,72.0,,2005-04-09, USA,Middleweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Nate Quarry,Nate Quarry,Lodune Sincaid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,29.0,73.0,75.0,77.0,,2005-04-09, USA,Middleweight,0.0,0.0,0.0,"KO/TKO, Punch",1.0,Mike Swick,Mike Swick,Alex Schoenauer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28.0,24.0,68.0,72.0,66.0,,2005-04-09, USA,Welterweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Alex Karalexis,Alex Karalexis,Josh Rafferty
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,27.0,73.0,75.0,75.0,,2005-04-16, USA,Light Heavyweight,0.0,0.0,0.0,"SUB, Armbar",1.0,Renato Sobral,Renato Sobral,Travis Wiuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,36.0,42.0,74.0,73.0,76.0,75.0,2005-04-16, USA,Light Heavyweight,1.0,0.0,0.0,"KO/TKO, Punch",1.0,Chuck Liddell,Chuck Liddell,Randy Couture
0.7142857142857143,7.0,2.0,0.0,1.0,1.0,0.7142857142857143,14.0,4.0,0.44067796610169496,59.0,33.0,0.2857142857142857,1.0,0.2857142857142857,0.559322033898305,0.0,0.0,0.0,0.0,0.802675585284281,4.0,15.114503816793894,33.0,1.2040133779264215,6.0,1.8320610687022902,4.0,2.809364548494983,14.0,27.02290076335878,59.0,0.0,0.0,0.45801526717557256,1.0,0.6020066889632107,3.0,11.908396946564887,26.0,0.20066889632107024,1.0,2.7480916030534353,6.0,0.20066889632107024,1.0,4.122137404580153,9.0,0.4013377926421405,2.0,0.45801526717557256,1.0,1.4046822742474916,7.0,0.45801526717557256,1.0,0.0,0.0,0.45801526717557256,1.0,0.4682274247491639,2.3333333333333335,2.2977099236641223,5.016666666666667,0.4013377926421405,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983333333333333,2.183333333333333,32.0,33.0,69.0,69.0,73.0,71.0,2005-04-16, USA,Welterweight,1.0,0.0,0.0,"SUB, Rear Naked Choke",1.0,Matt Hughes,Matt Hughes,Frank Trigg
,,,1.0,1.0,0.0,,,,0.9090909090909091,11.0,1.0,,0.0,,0.09090909090909091,,,1.8181818181818181,1.0,,,1.8181818181818181,1.0,,,18.18181818181818,10.0,,,20.0,11.0,,,0.0,0.0,,,1.8181818181818181,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,1.8181818181818181,1.0,,,1.0,0.55,,,0.0606060606060606,0.03333333333333333,,,0.0,0.0,,,0.0,0.0,0.0,0.55,35.0,32.0,72.0,71.0,74.0,75.0,2005-04-16, USA,Middleweight,0.0,0.0,0.0,"SUB, Guillotine Choke",1.0,Matt Lindland,Matt Lindland,Travis Lutter
1.0,2.0,0.0,,,,0.4,15.0,9.0,,,,0.0,,0.6,,0.625,1.0,,,5.625,9.0,,,2.5,4.0,,,9.375,15.0,,,0.625,1.0,,,3.75,6.0,,,1.25,2.0,,,3.75,6.0,,,0.0,0.0,,,1.25,2.0,,,0.625,1.0,,,0.625,1.0,,,0.625,1.0,,,0.0,0.0,,,1.6,0.0,34.0,23.0,72.0,72.0,,70.0,2005-04-16, USA,Middleweight,0.0,0.0,0.0,"SUB, Triangle Choke",1.0,Ivan Salaverry,Ivan Salaverry,Joe Riggs
,,,0.33333333333333337,3.0,2.0,,,,0.4,75.0,45.0,,0.0,,0.4074074074074074,,,0.0,0.0,,,2.2,11.0,,,9.0,45.0,,,5.4,27.0,,,0.0,0.0,,,2.2,11.0,,,0.0,0.0,,,0.4,2.0,,,0.0,0.0,,,0.2,1.0,,,0.06799999999999999,0.33999999999999997,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,5.0,28.0,25.0,72.0,71.0,75.0,75.0,2005-04-16, USA,Middleweight,0.0,0.0,0.0,"SUB, Rear Naked Choke",1.0,Joe Doerksen,Joe Doerksen,Patrick Cote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,40.0,35.0,74.0,72.0,,,2005-04-16, USA,Heavyweight,0.0,0.0,0.0,U-DEC,1.0,Mike van Arsdale,Mike van Arsdale,John Marsh
0.7142857142857143,7.0,2.0,,,,0.7142857142857143,14.0,4.0,,,,1.0,,0.35294117647058826,,0.0,0.0,,,1.2040133779264215,6.0,,,0.802675585284281,4.0,,,3.411371237458194,17.0,,,0.0,0.0,,,0.802675585284281,4.0,,,0.4013377926421405,2.0,,,0.20066889632107024,1.0,,,0.20066889632107024,1.0,,,0.20066889632107024,1.0,,,0.14448160535117055,0.72,,,0.056856187290969896,0.2833333333333333,,,0.0,0.0,,,0.0,0.0,,,4.983333333333333,0.0,24.0,25.0,71.0,73.0,76.0,,2005-04-16, USA,Welterweight,0.0,0.0,0.0,U-DEC,1.0,Georges St-Pierre,Georges St-Pierre,Jason Miller
1.0,0.0,0.0,1.0,0.0,0.0,0.5,10.0,5.0,0.56,50.0,22.0,0.0,0.0,0.5,0.25,1.2765957446808511,1.0,0.0,0.0,6.382978723404255,5.0,1.9626168224299068,7.0,2.5531914893617023,2.0,6.168224299065421,22.0,12.76595744680851,10.0,7.850467289719627,28.0,5.1063829787234045,4.0,1.1214953271028039,4.0,1.2765957446808511,1.0,0.8411214953271029,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6822429906542058,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021276595744681,0.55,0.15420560747663553,0.55,0.1702127659574468,0.13333333333333333,0.36915887850467294,1.3166666666666667,2.5531914893617023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,3.5666666666666664,26.0,27.0,75.0,73.0,77.0,,2005-06-04, USA,Heavyweight,1.0,0.0,0.0,"KO/TKO, Punches",1.0,Andrei Arlovski,Andrei Arlovski,Justin Eilers
0.2222222222222222,9.0,7.0,,,,0.5606060606060606,66.0,29.0,,,,0.7777777777777778,,0.4393939393939394,,0.0,0.0,,,5.8,29.0,,,1.4,7.0,,,13.2,66.0,,,0.0,0.0,,,5.8,29.0,,,0.0,0.0,,,0.2,1.0,,,1.4,7.0,,,1.8,9.0,,,0.11000000000000001,0.55,,,2.58,12.9,,,0.4,2.0,,,0.0,0.0,,,5.0,0.0,23.0,31.0,70.0,66.0,72.0,68.0,2005-06-04, USA,Welterweight,0.0,0.0,0.0,U-DEC,1.0,Karo Parisyan,Karo Parisyan,Matt Serra
0.0,3.0,3.0,1.0,0.0,0.0,0.4128440366972477,109.0,64.0,0.4444444444444444,45.0,25.0,1.0,0.0,0.5871559633027523,0.5555555555555556,0.13953488372093023,1.0,0.0,0.0,8.930232558139535,64.0,3.5971223021582737,25.0,3.069767441860465,22.0,1.0071942446043167,7.0,15.209302325581394,109.0,6.474820143884893,45.0,0.41860465116279066,3.0,0.43165467625899284,3.0,6.558139534883721,47.0,2.877697841726619,20.0,1.9534883720930232,14.0,0.2877697841726619,2.0,3.627906976744186,26.0,0.14388489208633096,1.0,0.41860465116279066,3.0,0.0,0.0,0.41860465116279066,3.0,0.0,0.0,0.13953488372093023,1.0,0.0,0.0,1.3813953488372093,9.9,0.45323741007194246,3.15,0.13953488372093023,1.0,0.14388489208633096,1.0,0.0,0.0,0.0,0.0,7.166666666666667,6.949999999999999,31.0,34.0,73.0,72.0,76.0,74.0,2005-06-04, USA,Middleweight,1.0,0.0,0.0,KO/TKO,1.0,Rich Franklin,Rich Franklin,Evan Tanner
1.0,0.0,0.0,,,,0.56,50.0,22.0,,,,0.0,,0.44,,0.28037383177570097,1.0,,,6.168224299065421,22.0,,,1.9626168224299068,7.0,,,14.018691588785048,50.0,,,1.9626168224299068,7.0,,,3.3644859813084116,12.0,,,0.8411214953271029,3.0,,,0.8411214953271029,3.0,,,0.0,0.0,,,0.0,0.0,,,0.15420560747663553,0.55,,,0.014018691588785048,0.05,,,0.0,0.0,,,0.0,0.0,,,3.5666666666666664,0.0,31.0,35.0,74.0,75.0,77.0,,2005-06-04, USA,Heavyweight,0.0,0.0,0.0,"SUB, Neck Crank",1.0,Paul Buentello,Paul Buentello,Kevin Jordan
1.0,1.0,0.0,,,,0.5357142857142857,28.0,13.0,,,,0.0,,0.4642857142857143,,0.0,0.0,,,2.7857142857142856,13.0,,,0.6428571428571428,3.0,,,6.0,28.0,,,0.21428571428571427,1.0,,,2.142857142857143,10.0,,,0.42857142857142855,2.0,,,0.6428571428571428,3.0,,,0.0,0.0,,,0.21428571428571427,1.0,,,0.11785714285714285,0.55,,,0.5214285714285715,2.4333333333333336,,,0.21428571428571427,1.0,,,0.0,0.0,,,4.666666666666667,0.0,22.0,28.0,73.0,68.0,76.0,,2005-06-04, USA,Welterweight,0.0,0.0,0.0,"KO/TKO, Punch",1.0,Nick Diaz,Nick Diaz,Koji Oishi
1.0,0.0,0.0,,,,0.5609756097560976,82.0,36.0,,,,0.0,,0.43902439024390244,,0.0,0.0,,,10.964467005076143,36.0,,,3.0456852791878175,10.0,,,24.9746192893401,82.0,,,0.6091370558375635,2.0,,,7.9187817258883255,26.0,,,2.436548223350254,8.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.16751269035532998,0.55,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,3.283333333333333,0.0,33.0,33.0,72.0,70.0,72.0,,2005-06-04, USA,Middleweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Nate Quarry,Nate Quarry,Shonie Carter
