,blue_probs,red_probs,pred_winner,winner,correct_pred,event_dates,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,fighter_red,fighter_blue
91,0.485654,0.514346,1,0,0,2018-02-24,-135.0,-105.0,-165.0,143.0,-163.0,145.0,ovince st preux,ilir latifi
92,0.10017222,0.8998278,1,1,1,2018-02-24,,,,,,,jessica andrade,tecia pennington
93,0.4718449,0.5281551,1,0,0,2018-02-24,-110.0,-130.0,110.0,-130.0,110.0,-130.0,josh emmett,jeremy stephens
94,0.40027344,0.59972656,1,0,0,2018-02-24,-195.0,160.0,-190.0,165.0,-190.0,165.0,sara mcmann,marion reneau
95,0.21233171,0.7876683,1,1,1,2018-03-03,-180.0,140.0,-163.0,140.0,-160.0,143.0,john dodson,pedro munhoz
96,0.41132057,0.58867943,1,0,0,2018-03-03,325.0,-475.0,385.0,-500.0,390.0,-490.0,ashley yoder,mackenzie dern
97,0.3816868,0.6183132,1,0,0,2018-03-03,-120.0,-120.0,-105.0,-122.0,102.0,-115.0,bryan caraway,cody stamann
98,0.18019485,0.81980515,1,0,0,2018-03-03,175.0,-245.0,270.0,-345.0,285.0,-330.0,mike pyle,zak ottow
99,0.16287893,0.83712107,1,1,1,2018-03-03,-275.0,195.0,-255.0,205.0,-240.0,215.0,jordan johnson,adam milstead
100,0.096454084,0.9035459,1,0,0,2018-03-03,-350.0,250.0,-430.0,335.0,-420.0,360.0,beneil dariush,alexander hernandez
101,0.3401664,0.6598336,1,1,1,2018-03-03,,,,,,,cristiane justino,yana santos
102,0.6578995,0.3421005,0,0,1,2018-03-03,140.0,-180.0,170.0,-210.0,175.0,-200.0,cat zingano,ketlen vieira
103,0.5075928,0.49240717,0,1,0,2018-03-03,-260.0,180.0,-146.0,125.0,-145.0,126.0,sean omalley,andre soukhamthath
104,0.21830952,0.7816905,1,0,0,2018-03-03,-155.0,115.0,-155.0,125.0,-145.0,135.0,frankie edgar,brian ortega
105,0.27881873,0.7211813,1,1,1,2018-03-03,-120.0,-120.0,-110.0,-117.0,-103.0,-110.0,cb dollaway,hector lombard
106,0.056563556,0.94343644,1,0,0,2018-03-03,-380.0,290.0,-185.0,148.0,-173.0,160.0,stefan struve,andrei arlovski
107,0.35030735,0.64969265,1,0,0,2018-03-17,-160.0,120.0,-115.0,-106.0,-114.0,-105.0,john phillips,charles byrd
108,0.6059696,0.3940304,0,0,1,2018-03-17,180.0,-260.0,220.0,-270.0,230.0,-260.0,mark godbeer,dmitry sosnovskiy
109,0.3479532,0.6520468,1,0,0,2018-03-17,-175.0,135.0,-210.0,175.0,-210.0,180.0,stevie ray,kajan johnson
110,0.39346296,0.60653704,1,1,1,2018-03-17,290.0,-410.0,550.0,-800.0,575.0,-800.0,paul craig,magomed ankalaev
111,0.35001373,0.64998627,1,1,1,2018-03-17,200.0,-280.0,205.0,-260.0,240.0,-240.0,danny henry,hakeem dawodu
112,0.50418615,0.49581385,0,1,0,2018-03-17,-230.0,170.0,-130.0,110.0,-130.0,110.0,danny roberts,oliver enkamp
113,0.67989624,0.32010373,0,1,0,2018-03-17,-300.0,220.0,-190.0,165.0,-190.0,165.0,leon edwards,peter sobotta
114,0.5112908,0.48870924,0,1,0,2018-03-17,-350.0,250.0,-430.0,320.0,-385.0,345.0,tom duquesnoy,terrion ware
115,0.8179609,0.1820391,0,0,1,2018-03-17,-210.0,160.0,-163.0,130.0,-150.0,143.0,jimi manuwa,jan blachowicz
116,0.48914266,0.51085734,1,0,0,2018-03-17,-245.0,175.0,-210.0,175.0,-210.0,180.0,fabricio werdum,alexander volkov
117,0.43769872,0.5623013,1,0,0,2018-04-07,-245.0,175.0,-158.0,125.0,-145.0,138.0,joe lauzon,chris gruetzemacher
118,0.6656282,0.3343718,0,0,1,2018-04-07,170.0,-230.0,165.0,-200.0,170.0,-190.0,bec rawlings,ashlee evans smith
119,0.70305204,0.296948,0,0,1,2018-04-07,-180.0,140.0,-145.0,120.0,-140.0,125.0,evan dunham,olivier aubin mercier
120,0.70868945,0.29131058,0,1,0,2018-04-07,-270.0,190.0,-190.0,162.0,-187.0,165.0,karolina kowalkiewicz,felice herrig
121,0.3306216,0.6693784,1,1,1,2018-04-07,140.0,-180.0,-115.0,-125.0,105.0,-105.0,renato moicano,calvin kattar
122,0.49973488,0.5002651,1,1,1,2018-04-07,-530.0,350.0,-800.0,500.0,-700.0,575.0,zabit magomedsharipov,kyle bochniak
123,0.21968538,0.7803146,1,1,1,2018-04-07,160.0,-210.0,-110.0,-123.0,103.0,-110.0,rose namajunas,joanna jedrzejczyk
124,0.6175312,0.3824688,0,1,0,2018-04-07,-1050.0,550.0,-640.0,470.0,-640.0,470.0,khabib nurmagomedov,al iaquinta
125,0.4418015,0.5581985,1,1,1,2018-04-07,-120.0,-120.0,-105.0,-115.0,-105.0,-115.0,devin clark,mike rodriguez
126,0.256155,0.743845,1,1,1,2018-04-14,-475.0,325.0,-640.0,420.0,-550.0,470.0,gilbert burns,dan moret
127,0.7122046,0.28779542,0,0,1,2018-04-14,-170.0,145.0,-120.0,100.0,-120.0,100.0,wilson reis,john moraga
128,0.21724439,0.7827556,1,0,0,2018-04-14,110.0,-150.0,-110.0,-115.0,-105.0,-110.0,matthew lopez,alejandro perez
129,0.30529606,0.69470394,1,0,0,2018-04-14,-150.0,110.0,-335.0,265.0,-325.0,275.0,arjan bhullar,adam wieczorek
130,0.56302613,0.43697387,0,1,0,2018-04-14,-310.0,230.0,-450.0,345.0,-430.0,350.0,luke sanders,patrick williams
131,0.85905236,0.14094764,0,0,1,2018-04-14,150.0,-190.0,140.0,-160.0,140.0,-160.0,shana dobson,lauren mueller
132,0.35209942,0.6479006,1,0,0,2018-04-14,165.0,-190.0,-130.0,107.0,-127.0,110.0,krzysztof jotko,brad tavares
133,0.31643617,0.6835638,1,1,1,2018-04-14,-260.0,180.0,-245.0,202.0,-237.0,205.0,israel adesanya,marvin vettori
