favorites_chosen,favorites_correct,favorites_wrong,favorites_units,dogs_chosen,dogs_correct,dogs_wrong,dogs_units,accuracy,total_units
392,302,90,68.18683669567463,89,49,40,19.903194919820123,0.7297297297297297,88.09003161549468
392,297,95,58.37697934622187,89,49,40,19.345848347509015,0.7193347193347194,77.72282769373088
392,276,116,27.582677340100105,89,52,37,25.51055365444947,0.681912681912682,53.09323099454953
392,282,110,34.41537373823032,89,52,37,22.445695182204723,0.6943866943866944,56.86106892043499
392,295,97,54.46697658749192,89,55,34,27.768968845773475,0.7276507276507277,82.23594543326537
392,297,95,61.06947813470915,89,55,34,32.59596479018223,0.7318087318087318,93.66544292489141
392,285,107,39.89572697253813,89,51,38,23.61740490689167,0.6985446985446986,63.51313187942975
392,289,103,45.02077854790339,89,54,35,30.50525124346364,0.7130977130977131,75.52602979136702
392,291,101,47.40251616482487,89,57,32,36.12315682198592,0.7234927234927235,83.52567298681079
392,273,119,22.124735181388807,89,52,37,27.317322091156676,0.6756756756756757,49.44205727254539
392,300,92,64.2836221255299,89,54,35,30.907418389756998,0.735966735966736,95.19104051528687
392,302,90,66.22585185838543,89,55,34,32.85219833766738,0.7422037422037422,99.07805019605276
392,280,112,30.78262810647655,89,51,38,20.691925895672266,0.6881496881496881,51.4745540021488
392,276,116,26.078543631437064,89,51,38,20.877598754342152,0.6798336798336798,46.95614238577918
392,284,108,37.395257826251786,89,48,41,14.282616784216213,0.6902286902286903,51.67787461046798
392,288,104,44.00074412040865,89,60,29,41.108982521504274,0.7234927234927235,85.10972664191284
392,281,111,35.685987936890506,89,57,32,40.864805956758275,0.7027027027027027,76.5507938936488
392,280,112,31.709223776623965,89,55,34,32.206027005005566,0.6964656964656964,63.91525078162951
392,282,110,37.36642046204769,89,56,33,33.19037119928851,0.7027027027027027,70.55679166133613
392,284,108,36.182096665754514,89,52,37,27.75350502450804,0.6985446985446986,63.93560169026256
392,283,109,33.147097336573225,89,51,38,24.646785568032964,0.6943866943866944,57.79388290460615
392,287,105,43.64601729488577,89,50,39,19.995132411641958,0.7006237006237006,63.641149706527656
392,280,112,28.459570278650144,89,47,42,19.27769465894205,0.6798336798336798,47.737264937592165
392,289,103,48.516998617082635,89,52,37,27.61299730801804,0.7089397089397089,76.12999592510069
392,282,110,34.854870497420954,89,42,47,2.7089760693623743,0.6735966735966736,37.56384656678331
392,287,105,46.52882193727604,89,52,37,25.384367210226262,0.7047817047817048,71.91318914750224
