favorites_chosen,favorites_correct,favorites_wrong,favorites_units,dogs_chosen,dogs_correct,dogs_wrong,dogs_units,accuracy,total_units
502,382,120,62.204200368443885,88,51,37,37.533076923076905,0.7338983050847457,99.73727729152085
502,386,116,71.88603852052626,88,38,50,8.242412247946229,0.7186440677966102,80.12845076847258
502,375,127,53.634639468132036,88,48,40,27.33193061840121,0.7169491525423729,80.9665700865333
502,383,119,64.86862527772078,88,53,35,45.471265943270524,0.7389830508474576,110.33989122099143
502,381,121,60.68084621890217,88,50,38,41.01087378640776,0.7305084745762712,101.69172000530999
502,366,136,36.660574331726096,88,49,39,29.24280440480898,0.7033898305084746,65.90337873653509
502,378,124,57.98807115369643,88,52,36,41.55174757281553,0.7288135593220338,99.53981872651202
502,377,125,55.40796003719155,88,44,44,21.11346907993966,0.7135593220338983,76.5214291171313
502,377,125,51.82443018017753,88,51,37,42.783286034354,0.7254237288135593,94.60771621453165
502,380,122,57.69969779172386,88,48,40,28.281538461538467,0.7254237288135593,85.98123625326238
502,377,125,51.427562314353175,88,51,37,41.06482449589246,0.7254237288135593,92.49238681024569
502,390,112,76.08866970019781,88,51,37,38.162804404808966,0.747457627118644,114.25147410500688
502,370,132,46.02032789589738,88,53,35,39.98241224794622,0.7169491525423729,86.00274014384365
502,358,144,25.448167116539267,88,53,35,46.494342866347424,0.6966101694915254,71.9425099828867
502,378,124,54.68159469929366,88,40,48,11.213678191216742,0.7084745762711865,65.89527289051041
502,378,124,57.32322860677501,88,54,34,44.45087378640777,0.7322033898305085,101.77410239318287
502,364,138,33.86059058200064,88,49,39,33.63482449589246,0.7,67.49541507789311
502,382,120,64.28162575537027,88,52,36,37.64241224794623,0.735593220338983,101.92403800331662
502,384,118,65.33483431604817,88,56,32,47.353950709484685,0.7457627118644068,112.68878502553295
502,362,140,28.213168233006137,88,55,33,48.07241224794623,0.7067796610169491,76.2855804809524
502,379,123,56.76568633207207,88,50,38,39.94280440480897,0.7271186440677966,96.70849073688106
502,387,115,69.1687083081114,88,57,31,54.35328603435399,0.752542372881356,123.52199434246546
502,364,138,37.18951287336531,88,43,45,17.454824495892453,0.6898305084745763,54.64433736925777
502,372,130,47.0983580000056,88,53,35,45.993678191216745,0.7203389830508474,93.0920361912225
502,375,127,54.01899681595554,88,50,38,36.443286034354,0.7203389830508474,90.46228285030958
502,348,154,12.144449608169761,88,48,40,31.563469079939672,0.6711864406779661,43.7079186881094
502,376,126,52.22889985132555,88,51,37,36.463076923076926,0.7237288135593221,88.69197677440252
502,389,113,75.90579959779681,88,45,43,22.723678191216745,0.735593220338983,98.62947778901354
502,382,120,64.4327229358743,88,52,36,39.203678191216746,0.735593220338983,103.63640112709109
502,368,134,37.25913360079643,88,48,40,27.953678191216746,0.7050847457627119,65.21281179201324
502,370,132,44.229932078964396,88,46,42,24.29434286634744,0.7050847457627119,68.52427494531184
502,384,118,62.98343267960942,88,53,35,45.4339507094847,0.7406779661016949,108.41738338909421
