date,fighter_red,fighter_blue,winner
2024-10-26,lerone murphy,dan ige,1.0
2024-10-26,mateusz rebecki,myktybek orolbai,1.0
2024-10-26,robert whittaker,khamzat chimaev,0.0
2024-10-26,shara magomedov,armen petrosyan,1.0
2024-11-02,aiemann zahabi,pedro munhoz,1.0
2024-11-02,alexandr romanov,rodrigo nascimento,1.0
2024-11-02,ariane da silva,jasmine jasudavicius,0.0
2024-11-02,brandon moreno,amir albazi,1.0
2024-11-02,chad anheliger,cody gibson,0.0
2024-11-02,charles jourdain,victor henry,1.0
2024-11-02,erin blanchfield,rose namajunas,1.0
2024-11-02,jack shore,youssef zalal,0.0
2024-11-02,marc andre barriault,dustin stoltzfus,0.0
2024-11-02,mike malott,trevin giles,1.0
2024-11-09,cody stamann,damon blackshear,0.0
2024-11-09,karolina kowalkiewicz,denise gomes,0.0
2024-11-09,luana pinheiro,gillian robertson,0.0
2024-11-09,matthew semelsberger,charles radtke,0.0
2024-11-09,neil magny,carlos prates,0.0
2024-11-09,tresean gore,antonio trocoli,1.0
2024-11-16,bassil hafez,oban elliott,0.0
2024-11-16,bo nickal,paul craig,1.0
2024-11-16,charles oliveira,michael chandler,1.0
2024-11-16,jim miller,damon jackson,1.0
2024-11-16,jon jones,stipe miocic,1.0
2024-11-16,jonathan martinez,marcus mcghee,0.0
2024-11-16,marcin tybura,jhonata diniz,1.0
2024-11-16,mauricio ruffy,james llontop,1.0
2024-11-16,mickey gall,ramiz brahimaj,0.0
2024-11-16,veronica hardy,eduarda moura,0.0
2024-11-16,viviane araujo,karine silva,1.0
2024-11-23,petr yan,deiveson figueiredo,1.0
2024-11-23,volkan oezdemir,carlos ulberg,0.0
2024-11-23,wang cong,gabriella fernandes,0.0
2024-12-07,bryce mitchell,kron gracie,1.0
2024-12-07,chris weidman,eryk anders,0.0
2024-12-07,ciryl gane,alexander volkov,1.0
2024-12-07,clay guida,chase hooper,0.0
2024-12-07,cody durden,joshua van,0.0
2024-12-07,dominick reyes,anthony smith,1.0
2024-12-07,kennedy nzechukwu,lukasz brzeski,1.0
2024-12-07,michael chiesa,max griffin,1.0
2024-12-07,movsar evloev,aljamain sterling,1.0
2024-12-07,nate landwehr,dooho choi,0.0
2024-12-07,randy brown,bryan battle,0.0
2024-12-07,shavkat rakhmonov,ian machado garry,1.0
2024-12-07,vicente luque,themba gorimbo,1.0
2024-12-14,adrian yanez,daniel marcos,0.0
2024-12-14,colby covington,joaquin buckley,0.0
2024-12-14,cub swanson,billy quarantillo,1.0
2024-12-14,joel alvarez,drakkar klose,1.0
2024-12-14,manel kape,bruno silva,1.0
2024-12-14,michael johnson,ottman azaitar,1.0
2024-12-14,miles johns,felipe lima,0.0
2024-12-14,miranda maverick,jamey lyn horth,1.0
2024-12-14,sean woodson,fernando padilla,1.0
2024-12-14,vitor petrino,dustin jacoby,0.0
2025-01-11,cesar almeida,abdul razak alhassan,1.0
2025-01-11,chris curtis,roman kopylov,0.0
2025-01-11,fatima kline,viktoriia dudakova,1.0
2025-01-11,jose johnson,felipe bunes,0.0
2025-01-11,mackenzie dern,amanda ribas,1.0
2025-01-11,nurullo aliev,joe solecki,1.0
2025-01-11,punahele soriano,uros medic,1.0
2025-01-11,santiago ponzinibbio,carlston harris,1.0
2025-01-11,thiago moises,trey ogden,1.0
2025-01-18,grant dawson,diego ferreira,1.0
2025-01-18,islam makhachev,renato moicano,1.0
2025-01-18,jailton almeida,serghei spivac,1.0
2025-01-18,jiri prochazka,jamahal hill,1.0
2025-01-18,karol rosa,ailin perez,0.0
2025-01-18,kevin holland,reinier de ridder,0.0
2025-01-18,merab dvalishvili,umar nurmagomedov,1.0
2025-01-18,payton talbott,raoni barcelos,0.0
2025-01-18,rinya nakamura,muin gafurov,0.0
2025-01-18,tagir ulanbekov,clayton carpenter,1.0
2025-02-01,fares ziam,mike davis,1.0
2025-02-01,hamdy abdelwahab,jamal pogues,1.0
2025-02-01,israel adesanya,nassourdine imavov,0.0
2025-02-01,jasmine jasudavicius,mayra bueno silva,1.0
2025-02-01,said nurmagomedov,vinicius oliveira,0.0
2025-02-01,sergei pavlovich,jairzinho rozenstruik,1.0
2025-02-01,shamil gaziev,thomas petersen,1.0
2025-02-01,shara magomedov,michael page,0.0
2025-02-01,terrance mckinney,damir hadzovic,1.0
2025-02-08,dricus du plessis,sean strickland,1.0
2025-02-08,jack jenkins,gabriel santos,0.0
2025-02-08,jake matthews,francisco prado,1.0
2025-02-08,tom nolan,viacheslav borshchev,1.0
2025-02-08,zhang weili,tatiana suarez,1.0
2025-02-15,angela hill,ketlen souza,1.0
2025-02-15,calvin kattar,youssef zalal,0.0
2025-02-15,dontale mayes,valter walker,0.0
2025-02-15,edmen shahbazyan,dylan budka,1.0
2025-02-15,gabriel bonfim,khaos williams,1.0
2025-02-15,ismael bonfim,nazim sadykhov,0.0
2025-02-15,jared cannonier,gregory rodrigues,1.0
2025-02-15,julia avila,jacqueline cavalcanti,0.0
2025-02-15,rafael estevam,jesus aguilar,1.0
2025-02-15,rodolfo vieira,andre petroski,0.0
2025-02-22,andre fili,melquizael costa,0.0
2025-02-22,brendan allen,anthony hernandez,0.0
2025-02-22,henry cejudo,song yadong,0.0
2025-02-22,ion cutelaba,ibo aslan,1.0
2025-02-22,jean silva,melsik baghdasaryan,1.0
2025-02-22,modestas bukauskas,rafael cerqueira,1.0
2025-02-22,ricky simon,javid basharat,1.0
2025-02-22,rob font,jean matsumoto,1.0
2025-03-01,andrea lee,jj aldrich,0.0
2025-03-01,cody brundage,julian marquez,1.0
2025-03-01,danny barlow,sam patterson,0.0
2025-03-01,danny silva,lucas almeida,1.0
2025-03-01,hyder amil,william gomis,1.0
2025-03-01,nasrat haqparast,esteban ribovics,1.0
2025-03-01,ricardo ramos,chepe mariscal,0.0
2025-03-08,alex morono,carlos leal,0.0
2025-03-08,alex pereira,magomed ankalaev,0.0
2025-03-08,amanda lemos,iasmin lucindo,1.0
2025-03-08,brunno ferreira,armen petrosyan,1.0
2025-03-08,jalin turner,ignacio bahamondes,0.0
2025-03-08,joshua van,rei tsuruya,1.0
2025-03-08,justin gaethje,rafael fiziev,1.0
2025-03-08,king green,mauricio ruffy,0.0
2025-03-15,alexander hernandez,kurt holobaugh,1.0
2025-03-15,chidi njokuani,elizeu zaleski dos santos,1.0
2025-03-15,damon blackshear,cody gibson,1.0
2025-03-15,daniel barez,andre lima,0.0
2025-03-15,josiane nunes,priscila cachoeira,0.0
2025-03-15,marvin vettori,roman dolidze,0.0
2025-03-15,stephanie luciano,sam hughes,0.0
2025-03-15,waldo cortes acosta,ryan spann,1.0
2025-03-22,gunnar nelson,kevin holland,0.0
2025-03-22,jai herbert,chris padilla,0.0
2025-03-22,jan blachowicz,carlos ulberg,0.0
2025-03-22,jordan vucenic,chris duncan,0.0
2025-03-22,leon edwards,sean brady,0.0
2025-03-22,marcin tybura,mick parkin,1.0
2025-03-22,nathaniel wood,morgan charriere,1.0
2025-03-22,shauna bannon,puja tomar,1.0
2025-03-29,brandon moreno,steve erceg,1.0
2025-03-29,christian rodriguez,melquizael costa,0.0
2025-03-29,edgar chairez,cj vergara,1.0
2025-03-29,jamall emmers,gabriel miranda,1.0
2025-03-29,loopy godinez,julia polastri,1.0
2025-03-29,manuel torres,drew dober,1.0
2025-03-29,marquel mederos,austin hubbard,1.0
2025-03-29,rafa garcia,vinc pichel,1.0
2025-03-29,raul rosas jr,vince morales,1.0
2025-03-29,ronaldo rodriguez,kevin borjas,0.0
2025-04-05,brad tavares,gerald meerschaert,1.0
2025-04-05,diana belbita,dione barbosa,0.0
2025-04-05,josh emmett,lerone murphy,0.0
2025-04-05,loma lookboonmee,istela nunes,1.0
2025-04-05,pat sabatini,joanderson brito,1.0
2025-04-12,alexander volkanovski,diego lopes,1.0
2025-04-12,bryce mitchell,jean silva,0.0
2025-04-12,dan ige,sean woodson,1.0
2025-04-12,darren elkins,julian erosa,0.0
2025-04-12,jim miller,chase hooper,0.0
2025-04-12,michael chandler,paddy pimblett,0.0
2025-04-12,nikita krylov,dominick reyes,0.0
2025-04-12,sedriques dumas,michal oleksiejczuk,0.0
2025-04-12,sumudaerji,mitch raposo,1.0
2025-04-12,tresean gore,marco tulio,0.0
2025-04-12,yan xiaonan,virna jandiroba,0.0
2025-04-26,chelsea chandler,joselyne edwards,0.0
2025-04-26,chris gutierrez,john castaneda,1.0
2025-04-26,damon blackshear,alatengheili,1.0
2025-04-26,giga chikadze,david onama,0.0
2025-04-26,ian machado garry,carlos prates,1.0
2025-04-26,ikram aliskerov,andre muniz,1.0
2025-04-26,jaqueline amorim,polyana viana,1.0
2025-04-26,matt schnell,jimmy flick,1.0
2025-04-26,michel pereira,abus magomedov,0.0
2025-04-26,randy brown,nicolas dalby,1.0
2025-05-03,cameron smotherman,serhiy sidey,0.0
2025-05-03,cory sandhagen,deiveson figueiredo,1.0
2025-05-03,gaston bolanos,quang le,0.0
