event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
14,2024-08-24,60,1511.3750238346493,1728.1393710412572,2032.531047578815,2082.8797994246183,1749.5143717298365,0.0
15,2024-09-07,60,1648.286392930807,1902.7584955181837,2238.2172814296478,2303.876060181807,1924.4149399888358,0.0
16,2024-09-14,60,2184.2747009262334,2532.5990124486525,2994.6028192387703,3068.7299335283356,2561.3028500548794,0.0
17,2024-09-28,60,2447.1831444613535,2851.262819197218,3370.447554546682,3450.460846147863,2882.5409101816385,0.0
18,2024-10-05,60,2487.7228409239656,2914.7891730790716,3459.5172049916996,3559.1942595937926,2948.907561392574,0.0
19,2024-10-12,60,2135.84110655619,2537.3955458134865,3018.210970759501,3124.587692185011,2561.2624383729617,0.0
20,2024-10-19,60,2335.1233425380506,2798.0443058898672,3390.6053034745296,3501.5057250134437,2835.998424155549,0.0
21,2024-10-26,60,3063.6322800830685,3683.2029912979415,4478.587416372425,4632.911387489348,3732.8012004629245,0.0
22,2024-11-02,60,4131.097013959939,4970.632503708012,6055.966490834748,6254.835872606984,5042.469677281954,0.0
23,2024-11-09,60,4124.68419825232,4963.5415169078,6053.99666327273,6268.859742022067,5035.843111026643,0.0
24,2024-11-16,60,3814.906911380909,4674.518321562658,5709.957532978633,5931.878803465919,4730.292478750206,0.0
25,2024-11-23,60,3814.906911380909,4674.518321562658,5709.957532978633,5931.878803465919,4730.292478750206,0.0
26,2024-12-07,60,3852.3911984407036,4757.723903776401,5827.241734623353,6082.140809988657,4810.3932531703485,0.0
27,2024-12-14,60,3254.1779432730623,4383.556546074837,5545.118943645786,5797.959753364023,4422.281467522496,0.0
28,2025-01-11,60,3322.846819756228,4481.178862916455,5673.392966104836,5932.05233798471,4521.064372913615,0.0
29,2025-01-18,60,4024.4021786188027,5427.1922937988165,6885.453546216088,7190.2877303223095,5478.529400201048,0.0
30,2025-02-01,60,5167.141552174685,7014.998236445835,8942.278354262302,9341.546029795774,7084.227099345246,0.0
31,2025-02-08,60,6467.265120237546,8777.276701560862,11197.775993995354,11702.346925550532,8870.832719244992,0.0
32,2025-02-15,60,5513.796052009452,7773.175654448816,10080.109444092494,10634.985681345726,7854.048724113992,0.0
33,2025-02-22,60,6201.385529676492,8743.673274847675,11423.132719545923,11954.353799158856,8842.468113171035,0.0
34,2025-03-01,60,7362.602147993823,10372.261938282554,13550.95428706179,14184.697809298126,10485.716522965487,0.0
35,2025-03-08,60,6899.433246264332,9763.176558632866,12860.24685738659,13502.251832382255,9887.409182098267,0.0
36,2025-03-15,60,7471.615942427553,10568.359785505338,13860.220606620183,14528.621990082247,10683.16461619628,0.0
37,2025-03-22,60,7432.129633447241,10540.943430299896,13899.983887290326,14582.00996730055,10670.953518609593,0.0
38,2025-03-29,60,9377.462692085553,13319.520195627914,17540.81205209484,18431.678995495367,13465.764610307773,0.0
39,2025-04-05,60,9970.996724854047,14146.011967684659,18638.12768148992,19522.7311125624,14298.910613524824,0.0
40,2025-04-12,60,7904.707486418437,11542.960612934683,15521.198055397783,16408.993556141275,11705.083633726945,0.0
41,2025-04-26,60,8476.896228993863,12291.7097543721,16549.55878284906,17501.308764913167,12481.462273879984,0.0
42,2025-05-03,60,11828.707091807908,17145.94880086078,23087.202283235147,24429.84654255892,17406.35319659896,0.0
43,2025-05-10,60,13987.266389407903,20337.17612148246,27440.753273496826,29020.658766186298,20646.263286833077,0.0
44,2025-05-17,60,16546.637384035697,24148.418617633644,32686.78137762235,34526.292644522415,24553.02378771013,0.0
45,2025-05-31,60,15736.191381575345,22978.1495275973,31135.73146136835,33024.61247577061,23399.386737915538,0.0
46,2025-06-07,60,16151.081983795806,23565.019291354532,31963.389234715232,33864.70537303498,23989.974320462996,0.0
