date,bin_low_pct,bin_high_pct,units,n_scenarios,sample_min,p05,median,p95,sample_max
2024-06-08,10,15,percent_of_opening_ev,254,37.34721270439727,38.453222451457776,39.715839306443236,41.10929743001282,43.91225673950183
2024-06-08,15,20,percent_of_opening_ev,212,37.823658726735175,38.48282601904956,40.60332052097695,42.364117350948305,44.897226283230694
2024-06-08,20,25,percent_of_opening_ev,267,37.721155225232664,39.662450020377726,41.48694550881743,43.37308816585435,45.11844502352436
2024-06-08,25,30,percent_of_opening_ev,236,38.901029055537684,40.41140398144314,42.49164999795049,44.47536357582558,47.55824372539038
2024-06-08,30,35,percent_of_opening_ev,240,38.52530143070684,40.40564862145793,43.35690593983503,45.34255692756883,48.08515165505878
2024-06-08,35,40,percent_of_opening_ev,290,39.24570112280104,41.533179274055676,44.16563936479503,46.44925495053917,49.59728047483623
2024-06-08,40,45,percent_of_opening_ev,249,39.79385094892315,41.55635729185116,45.04896230390608,47.988997302152214,50.33730069271885
2024-06-08,45,50,percent_of_opening_ev,246,38.81356470492665,43.10796343967567,45.87921284669109,48.47683670699398,50.21626230312634
2024-06-08,50,55,percent_of_opening_ev,251,41.36411966559793,43.373336958439424,46.72603569197404,48.4746990830578,50.81248846984647
2024-06-08,55,60,percent_of_opening_ev,263,41.02692297471435,44.255986884476236,47.3010997358075,49.52128461587898,50.717796271110046
2024-06-08,60,65,percent_of_opening_ev,249,41.38790801591698,44.93800259166033,48.10588847353478,50.197285105658594,52.27042729943314
2024-06-08,65,70,percent_of_opening_ev,248,44.11341901153891,45.79263882587886,48.804581308474276,50.79322337497578,52.31565420418461
2024-06-08,70,75,percent_of_opening_ev,264,45.0994015681012,46.716454996433484,49.341474244939356,50.97447462366232,52.458960059734004
2024-06-08,75,80,percent_of_opening_ev,268,45.79580322448971,47.59882841606144,49.925670917067265,51.475115788946965,52.38332817797471
2024-06-08,80,85,percent_of_opening_ev,248,43.788864677469725,48.03419897888319,50.5356905180078,51.64503383403161,52.655501095500135
2024-06-08,85,90,percent_of_opening_ev,229,45.18116590074629,48.65994071121041,51.03437271857969,52.13922615249656,52.66287976531084
2024-06-08,90,95,percent_of_opening_ev,257,48.19938904008628,49.72326873671441,51.28853131409398,52.068552305276235,52.80011778738284
2024-06-08,95,100,percent_of_opening_ev,242,48.99265190027203,50.92164061080162,51.61199602446564,52.019172194770505,52.652859242364904
2024-06-15,0,5,percent_of_opening_ev,235,7.947524644214301,7.947524644214301,8.291503834118805,9.630784640416596,11.54191396308049
2024-06-15,5,10,percent_of_opening_ev,274,7.947524644214301,7.947524644214301,9.313554723452338,11.216663885990302,13.805260331293413
2024-06-15,10,15,percent_of_opening_ev,241,7.947524644214301,8.242663106325352,10.37632778682373,13.333683751181756,18.664171009297455
2024-06-15,15,20,percent_of_opening_ev,276,7.947524644214301,8.801630809237825,11.60546266442793,16.330326765677274,20.20091531215341
2024-06-15,20,25,percent_of_opening_ev,231,8.012916371361236,9.878546484845359,12.773577117831175,17.371944688792325,21.990856335094392
2024-06-15,25,30,percent_of_opening_ev,246,7.947524644214301,10.248287812737939,13.888863014453454,20.15021129946858,24.82612180895426
2024-06-15,30,35,percent_of_opening_ev,259,8.09494172722656,10.8457518688673,15.03654287780475,20.015603712561873,25.297335463862
2024-06-15,35,40,percent_of_opening_ev,239,9.546343156679646,12.353433707611895,16.3043337921975,21.219299543053282,24.522859347104088
2024-06-15,40,45,percent_of_opening_ev,224,9.91195832995841,12.6091684205141,17.275701663445517,23.651659150691646,28.642120604988342
2024-06-15,45,50,percent_of_opening_ev,254,9.594960501811398,13.66929900471672,18.63637114186612,23.58301541770085,26.809287455198174
2024-06-15,50,55,percent_of_opening_ev,263,8.519075813187927,15.96438900738413,19.998682824871672,24.525138236530598,27.108358999200732
2024-06-15,55,60,percent_of_opening_ev,243,13.631229820046551,17.073361075511716,21.367481687924553,26.211589086780915,28.797526818440105
2024-06-15,60,65,percent_of_opening_ev,277,14.890970579030327,17.718172022706167,22.67935779168272,27.859883332563058,30.888586999869034
2024-06-15,65,70,percent_of_opening_ev,235,16.09246043655998,19.914057532242317,24.068770297393023,27.491395529347738,32.17273777992225
2024-06-15,70,75,percent_of_opening_ev,264,15.788714771003816,21.11500829306492,25.288221663977936,28.970150518204733,32.089884011930785
2024-06-15,75,80,percent_of_opening_ev,252,17.764371935686658,22.77510770697529,26.74522708323292,29.883067016330326,32.1532825546094
2024-06-15,80,85,percent_of_opening_ev,240,20.377707015067443,24.538387345408072,28.094279548864655,31.092025804748186,32.62326003132578
2024-06-15,85,90,percent_of_opening_ev,228,20.586138515055136,25.840831247232522,29.382971702759058,31.664375376813783,32.62326003132578
