,y_pred,y_true,test_open_odds,p_red,p_blue,p_red_model,p_blue_model,pred_conf,confidence,uncertainty,agreement,set_size,gap
577,1,1.0,0.5050505050505052,0.7481781376518218,0.07827260458839407,0.6992190039054043,0.30078099609459574,1,0.7481781376518218,0.07827260458839407,1,1,0.6699055330634278
578,1,0.0,0.6024096385542168,0.6690958164642375,0.1106612685560054,0.6625951112107503,0.3374048887892497,1,0.6690958164642375,0.1106612685560054,1,2,0.5584345479082321
579,1,1.0,0.3225806451612905,0.9535762483130904,0.00863697705802969,0.8219315146440387,0.17806848535596131,1,0.9535762483130904,0.00863697705802969,1,1,0.9449392712550607
580,0,1.0,1.2400000000000002,0.16572199730094467,0.6207827260458839,0.3695489423748841,0.6304510576251159,0,0.6207827260458839,0.16572199730094467,1,2,0.45506072874493925
581,0,1.0,1.1,0.19163292847503374,0.5516869095816465,0.3953889251273734,0.6046110748726266,0,0.5516869095816465,0.19163292847503374,1,2,0.3600539811066127
582,0,0.0,0.4201680672268908,0.004318488529014845,0.9724696356275304,0.15984276478011286,0.8401572352198872,0,0.9724696356275304,0.004318488529014845,1,1,0.9681511470985156
583,0,0.0,0.5555555555555556,0.10310391363022942,0.6939271255060728,0.3248058708960937,0.6751941291039063,0,0.6939271255060728,0.10310391363022942,1,2,0.5908232118758434
584,1,1.0,0.3225806451612905,0.5211875843454791,0.21133603238866397,0.5984063127486643,0.4015936872513357,1,0.5211875843454791,0.21133603238866397,1,2,0.30985155195681513
585,0,0.0,0.26315789473684204,0.02941970310391363,0.8717948717948718,0.2386344957967844,0.7613655042032156,0,0.8717948717948718,0.02941970310391363,1,1,0.8423751686909582
586,1,1.0,1.2999999999999998,0.4153846153846154,0.3049932523616734,0.5245840359879425,0.47541596401205755,1,0.4153846153846154,0.3049932523616734,1,2,0.110391363022942
587,0,1.0,0.45871559633027514,0.23265856950067476,0.49554655870445347,0.41519662268950347,0.5848033773104966,0,0.49554655870445347,0.23265856950067476,1,2,0.2628879892037787
588,0,0.0,0.4651162790697674,0.09284750337381917,0.7152496626180836,0.3149041516533159,0.685095848346684,0,0.7152496626180836,0.09284750337381917,1,1,0.6224021592442645
589,0,0.0,0.9090909090909087,0.17921727395411605,0.5740890688259109,0.3870169261927875,0.6129830738072125,0,0.5740890688259109,0.17921727395411605,1,2,0.3948717948717949
590,1,1.0,0.26315789473684204,0.9411605937921728,0.009176788124156544,0.811229456996965,0.18877054300303497,1,0.9411605937921728,0.009176788124156544,1,1,0.9319838056680162
591,0,1.0,0.5714285714285714,0.07854251012145749,0.7527665317139002,0.2991940342477604,0.7008059657522396,0,0.7527665317139002,0.07854251012145749,1,1,0.6742240215924427
592,0,0.0,0.5050505050505052,0.029959514170040485,0.8750337381916329,0.24395564001187311,0.7560443599881269,0,0.8750337381916329,0.029959514170040485,1,1,0.8450742240215924
593,1,1.0,0.5263157894736841,0.8842105263157894,0.022672064777327937,0.769537816274187,0.23046218372581295,1,0.8842105263157894,0.022672064777327937,1,1,0.8615384615384615
594,1,1.0,1.1600000000000001,0.5357624831309041,0.20836707152496625,0.5962581116481827,0.40374188835181735,1,0.5357624831309041,0.20836707152496625,1,2,0.3273954116059379
595,0,1.0,0.5376344086021505,0.1020242914979757,0.7036437246963563,0.3274816399989887,0.6725183600010113,0,0.7036437246963563,0.1020242914979757,1,2,0.6016194331983806
596,0,0.0,0.5263157894736841,0.37112010796221323,0.35276653171390016,0.49293475218799343,0.5070652478120066,1,0.37112010796221323,0.35276653171390016,0,2,0.018353576248313075
597,0,0.0,0.23809523809523792,0.10499325236167341,0.6923076923076923,0.32616949968722153,0.6738305003127785,0,0.6923076923076923,0.10499325236167341,1,2,0.5873144399460188
598,1,0.0,0.28985507246376807,0.7762483130904183,0.06720647773279352,0.7148909609280018,0.28510903907199825,1,0.7762483130904183,0.06720647773279352,1,1,0.7090418353576248
599,1,0.0,0.5882352941176472,0.4178137651821862,0.29851551956815114,0.541101218777938,0.45889878122206196,1,0.4178137651821862,0.29851551956815114,1,2,0.11929824561403507
600,1,1.0,0.606060606060606,0.3997300944669366,0.31605937921727395,0.5248578760307251,0.4751421239692749,1,0.3997300944669366,0.31605937921727395,1,2,0.08367071524966263
601,1,0.0,0.8333333333333333,0.37031039136302296,0.3357624831309042,0.5105957737591138,0.4894042262408862,1,0.37031039136302296,0.3357624831309042,1,2,0.034547908232118785
602,0,1.0,1.0499999999999998,0.09095816464237517,0.719838056680162,0.317768111208383,0.682231888791617,0,0.719838056680162,0.09095816464237517,1,1,0.6288798920377868
603,0,1.0,0.7194244604316546,0.1408906882591093,0.6291497975708502,0.3628209556984955,0.6371790443015045,0,0.6291497975708502,0.1408906882591093,1,2,0.4882591093117409
604,0,0.0,0.16666666666666674,0.0008097165991902834,0.9959514170040485,0.11133309011058251,0.8886669098894175,0,0.9959514170040485,0.0008097165991902834,1,1,0.9951417004048583
605,1,1.0,1.0499999999999998,0.4950067476383266,0.22941970310391363,0.5783885294046857,0.42161147059531434,1,0.4950067476383266,0.22941970310391363,1,2,0.26558704453441295
606,1,1.0,0.2702702702702702,0.7865047233468286,0.06261808367071525,0.7209943654472408,0.2790056345527592,1,0.7865047233468286,0.06261808367071525,1,1,0.7238866396761134
607,0,0.0,0.16666666666666674,0.002968960863697706,0.977327935222672,0.15244751604926451,0.8475524839507355,0,0.977327935222672,0.002968960863697706,1,1,0.9743589743589743
608,1,0.0,0.4444444444444444,0.9095816464237517,0.015384615384615385,0.7876415318159083,0.21235846818409165,1,0.9095816464237517,0.015384615384615385,1,1,0.8941970310391363
609,1,0.0,0.37735849056603765,0.8960863697705803,0.01970310391363023,0.7807762296364992,0.21922377036350083,1,0.8960863697705803,0.01970310391363023,1,1,0.87638326585695
610,0,0.0,0.3225806451612905,0.03859649122807018,0.8423751686909582,0.25416220347320767,0.7458377965267924,0,0.8423751686909582,0.03859649122807018,1,1,0.803778677462888
611,1,1.0,0.4761904761904765,0.7257759784075574,0.08556005398110661,0.6888047997443142,0.3111952002556858,1,0.7257759784075574,0.08556005398110661,1,1,0.6402159244264507
612,1,1.0,0.2777777777777777,0.9398110661268556,0.009176788124156544,0.809046079713066,0.19095392028693403,1,0.9398110661268556,0.009176788124156544,1,1,0.930634278002699
613,1,1.0,0.5714285714285714,0.7292847503373819,0.08556005398110661,0.6904173121377295,0.3095826878622705,1,0.7292847503373819,0.08556005398110661,1,1,0.6437246963562753
614,1,1.0,1.75,0.36761133603238866,0.3492577597840756,0.5048273779351047,0.4951726220648953,1,0.36761133603238866,0.3492577597840756,1,2,0.018353576248313075
615,1,0.0,0.7246376811594204,0.5168690958164642,0.22213225371120107,0.5887554910839662,0.4112445089160338,1,0.5168690958164642,0.22213225371120107,1,2,0.2947368421052632
616,1,1.0,0.1428571428571428,0.9171390013495276,0.015114709851551956,0.795962256507691,0.20403774349230897,1,0.9171390013495276,0.015114709851551956,1,1,0.9020242914979757
617,1,0.0,0.36363636363636376,0.8758434547908233,0.02834008097165992,0.7583626814139033,0.24163731858609672,1,0.8758434547908233,0.02834008097165992,1,1,0.8475033738191633
618,0,1.0,0.5319148936170213,0.16950067476383265,0.581646423751687,0.3797814307150128,0.6202185692849872,0,0.581646423751687,0.16950067476383265,1,2,0.4121457489878543
619,1,1.0,0.6134969325153374,0.8534412955465587,0.03535762483130904,0.7440337186958107,0.2559662813041893,1,0.8534412955465587,0.03535762483130904,1,1,0.8180836707152497
620,0,1.0,1.2200000000000002,0.28663967611336033,0.42483130904183536,0.4623301734345851,0.537669826565415,0,0.42483130904183536,0.28663967611336033,1,2,0.13819163292847503
621,0,0.0,0.5050505050505052,0.08717948717948718,0.7387314439946019,0.3094653750018153,0.6905346249981847,0,0.7387314439946019,0.08717948717948718,1,1,0.6515519568151147
622,1,0.0,0.7246376811594204,0.47530364372469636,0.24615384615384617,0.5637023905010616,0.43629760949893837,1,0.47530364372469636,0.24615384615384617,1,2,0.2291497975708502
623,1,0.0,0.5882352941176472,0.7735492577597841,0.07125506072874493,0.713416386589024,0.28658361341097605,1,0.7735492577597841,0.07125506072874493,1,1,0.7022941970310392
624,1,0.0,0.6134969325153374,0.512280701754386,0.2272604588394062,0.5875175619052205,0.41248243809477947,1,0.512280701754386,0.2272604588394062,1,2,0.2850202429149798
625,0,0.0,0.7575757575757576,0.2264507422402159,0.5112010796221322,0.41748464320669015,0.5825153567933099,0,0.5112010796221322,0.2264507422402159,1,2,0.28475033738191635
626,1,1.0,0.2777777777777777,0.7192982456140351,0.0912280701754386,0.6905757828574103,0.3094242171425897,1,0.7192982456140351,0.0912280701754386,1,1,0.6280701754385964
627,1,1.0,0.25,0.9889338731443995,0.0016194331983805667,0.8658374077002452,0.1341625922997548,1,0.9889338731443995,0.0016194331983805667,1,1,0.987314439946019
628,1,1.0,0.3999999999999999,0.9225371120107962,0.012145748987854251,0.7945887806159582,0.20541121938404183,1,0.9225371120107962,0.012145748987854251,1,1,0.910391363022942
629,1,0.0,0.5714285714285714,0.5074224021592443,0.21781376518218623,0.5875202440819589,0.4124797559180411,1,0.5074224021592443,0.21781376518218623,1,2,0.2896086369770581
630,1,1.0,0.5319148936170213,0.5470985155195681,0.19190283400809716,0.6010340340221575,0.3989659659778425,1,0.5470985155195681,0.19190283400809716,1,2,0.35519568151147096
631,1,1.0,0.45871559633027514,0.6256410256410256,0.149527665317139,0.6342612839992249,0.3657387160007751,1,0.6256410256410256,0.149527665317139,1,2,0.4761133603238866
632,1,1.0,0.5319148936170213,0.5597840755735493,0.18866396761133603,0.6100681824676082,0.3899318175323918,1,0.5597840755735493,0.18866396761133603,1,2,0.37112010796221323
633,1,1.0,0.3003003003003002,0.9937921727395411,0.001349527665317139,0.8812956976539896,0.11870430234601037,1,0.9937921727395411,0.001349527665317139,1,1,0.992442645074224
634,1,1.0,0.9090909090909087,0.7387314439946019,0.0825910931174089,0.6940479196244572,0.3059520803755428,1,0.7387314439946019,0.0825910931174089,1,1,0.656140350877193
635,1,0.0,0.6666666666666663,0.4194331983805668,0.29392712550607286,0.5416963575949295,0.4583036424050705,1,0.4194331983805668,0.29392712550607286,1,2,0.12550607287449395
636,0,0.0,0.3355704697986577,0.009176788124156544,0.9454790823211876,0.1904540395489721,0.8095459604510279,0,0.9454790823211876,0.009176788124156544,1,1,0.936302294197031
637,0,1.0,0.37735849056603765,0.11605937921727395,0.6663967611336032,0.34100421596212876,0.6589957840378713,0,0.6663967611336032,0.11605937921727395,1,2,0.5503373819163293
638,1,1.0,0.4761904761904765,0.5821862348178137,0.17165991902834007,0.6196729010461804,0.38032709895381955,1,0.5821862348178137,0.17165991902834007,1,2,0.41052631578947363
639,0,0.0,0.22222222222222232,0.07017543859649122,0.7716599190283401,0.2870971965734547,0.7129028034265452,0,0.7716599190283401,0.07017543859649122,1,1,0.7014844804318489
640,0,1.0,1.1,0.19973009446693657,0.5441295546558704,0.4037719396967742,0.5962280603032257,0,0.5441295546558704,0.19973009446693657,1,2,0.34439946018893386
641,1,0.0,0.6666666666666663,0.40836707152496626,0.3004048582995951,0.530687661506556,0.469312338493444,1,0.40836707152496626,0.3004048582995951,1,2,0.10796221322537114
642,0,1.0,1.1,0.22699055330634277,0.5093117408906883,0.4212757003876208,0.5787242996123791,0,0.5093117408906883,0.22699055330634277,1,2,0.28232118758434555
643,0,0.0,0.25,0.12280701754385964,0.6572199730094467,0.34458997676633946,0.6554100232336606,0,0.6572199730094467,0.12280701754385964,1,2,0.534412955465587
644,1,0.0,0.5319148936170213,0.8304993252361673,0.04291497975708502,0.7358074274535509,0.2641925725464491,1,0.8304993252361673,0.04291497975708502,1,1,0.7875843454790823
645,0,0.0,0.5319148936170213,0.10850202429149798,0.6844804318488529,0.3372113820868075,0.6627886179131925,0,0.6844804318488529,0.10850202429149798,1,2,0.5759784075573549
646,1,1.0,0.6134969325153374,0.396221322537112,0.31390013495276653,0.5249905829485406,0.4750094170514594,1,0.396221322537112,0.31390013495276653,1,2,0.08232118758434548
647,0,0.0,0.22222222222222232,0.0002699055330634278,0.9975708502024292,0.09994801224447801,0.900051987755522,0,0.9975708502024292,0.0002699055330634278,1,1,0.9973009446693658
648,0,0.0,0.36363636363636376,0.1767881241565452,0.6067476383265857,0.37378496624424934,0.6262150337557506,0,0.6067476383265857,0.1767881241565452,1,2,0.4299595141700405
649,0,0.0,1.1400000000000001,0.27638326585695006,0.4631578947368421,0.44972427680672356,0.5502757231932764,0,0.4631578947368421,0.27638326585695006,1,2,0.18677462887989205
650,1,1.0,0.2857142857142856,0.9295546558704454,0.010796221322537112,0.8035570476212506,0.19644295237874942,1,0.9295546558704454,0.010796221322537112,1,1,0.9187584345479083
651,0,0.0,0.18214936247723124,0.0018893387314439945,0.9840755735492578,0.14204160378988837,0.8579583962101116,0,0.9840755735492578,0.0018893387314439945,1,1,0.9821862348178138
652,0,0.0,0.5319148936170213,0.17705802968960863,0.5711201079622132,0.3815204714469546,0.6184795285530453,0,0.5711201079622132,0.17705802968960863,1,2,0.39406207827260464
653,0,1.0,0.36363636363636376,0.2690958164642375,0.444804318488529,0.447691518758222,0.552308481241778,0,0.444804318488529,0.2690958164642375,1,2,0.1757085020242915
