shift_pct,ending_bankroll,cumulative_return_pct,growth_multiple,geometric_mean_event_return_pct,increase_over_unshifted_pct,ending_bankroll_change_per_shift_point,pct_of_opening_ev
77.0,164431.242055692,4598.035487305487,46.98035487305486,5.415133457041166,358.760694566957,2257.615379587689,51.59395731525246
78.0,166582.75173971395,4659.507192563256,47.59507192563255,5.43390724183288,364.76337425647216,2151.509684021934,51.77309574079266
79.0,168779.80814259444,4722.280232645556,48.22280232645556,5.452833260174583,370.89312860721077,2197.0564028804947,51.953485833411456
80.0,170962.73928476314,4784.649693850375,48.846496938503755,5.471398462604071,376.9834736928118,2182.9311421687016,52.130442458438715
81.0,173123.4131020068,4846.383231485908,49.46383231485908,5.489545549619201,383.0117211763138,2160.67381724366,52.303420150162005
82.0,175260.58169621564,4907.445191320447,50.07445191320447,5.507276788891313,388.9743894407417,2137.168594208837,52.47243253522327
83.0,177372.41485793056,4967.783281655158,50.677832816551586,5.524589577587324,394.8663722292055,2111.8331617149233,52.63745648039936
84.0,172349.07169441791,4824.259191269083,49.242591912690834,5.483067817717546,380.85132028451056,-5023.343163512647,52.22374677385387
85.0,174276.91816508927,4879.340519002551,49.7934051900255,5.499142365966692,386.22998296957445,1927.8464706713567,52.37671606902239
86.0,176180.16404813068,4933.718972803734,50.33718972803734,5.5148406687754115,391.54001038480277,1903.2458830414107,52.526064474403235
87.0,172274.81553197093,4822.137586627741,49.22137586627741,5.48244512220375,380.64414670706765,-3905.348516159749,52.21932459070301
88.0,174036.08507762846,4872.459573646527,49.724595736465275,5.497143892043099,385.55806227435266,1761.2695456575311,52.35919412819914
89.0,175761.5751985209,4921.759291386312,50.217592913863115,5.511402472294691,390.3721537841701,1725.490120892442,52.494891041915054
90.0,167504.8645782899,4685.853273665426,47.85853273665426,5.441880368268248,367.33605522029376,-8256.710620230995,51.84879518365169
91.0,159333.7212840857,4452.392036688163,45.52392036688163,5.369668009471562,344.5386882102846,-8171.143294204201,51.13856578195738
92.0,161109.65583560287,4503.133023874368,46.03133023874368,5.385668593044568,349.4935189235594,1775.934551517159,51.29087117665835
93.0,162871.17320519072,4553.462091576877,46.53462091576878,5.401368350214608,354.40812591588616,1761.5173695878475,51.440320619783016
94.0,163305.9311790683,4565.88374797338,46.658837479733805,5.405217418843411,355.62109413026644,434.75797387759667,51.47640058317542
95.0,163466.79317973612,4570.479805135318,46.70479805135318,5.406639026895155,356.06989669499313,160.8620006678102,51.49493169534784
96.0,165150.52366473913,4618.586390421118,47.18586390421118,5.421436634752563,360.7674794481655,1683.730485003005,51.635660561163476
97.0,166813.47690262436,4666.099340074981,47.66099340074982,5.435906302166349,365.4070939940814,1662.953237885231,51.773260023987376
98.0,166057.47169038412,4644.499191153832,47.44499191153832,5.429345879775704,363.29785081177846,-756.0052122402412,51.71035321810491
99.0,167328.1428383189,4680.804081094826,47.808040810948256,5.440355687601683,366.84300422122186,1270.6711479347723,51.81519705491472
