date,shift_pct,event_return_pct,bankroll_before_event,expected_event_profit,bankroll_after_event,cumulative_return_pct,pct_of_opening_ev_test_set,pct_of_opening_ev_event
2025-10-25,9.0,5.880058203632979,26711.622515146424,1570.6589510253398,28282.281466171764,708.0651847477646,33.573604912858585,37.680489492570366
2025-11-01,9.0,6.645114401790682,28282.281466171764,1879.389958863554,30161.671425035318,761.7620407152948,33.573604912858585,48.00276811568009
2025-11-08,9.0,6.511592741893439,30161.671425035318,1964.0052073463448,32125.676632381663,817.8764752109046,33.573604912858585,73.12076928749921
2025-11-15,9.0,1.1874670593405492,32125.676632381663,381.4818275997968,32507.15845998146,828.7759559994703,33.573604912858585,18.871684544106905
2025-11-22,9.0,4.2627217123495456,32507.15845998146,1385.6897017414958,33892.848161722955,868.3670903349416,33.573604912858585,33.06962916109155
2025-12-06,9.0,4.718780433772042,33892.848161722955,1599.3290875034509,35492.177249226406,914.0622071207545,33.573604912858585,21.26162126989723
2025-12-13,9.0,0.9618775015260348,35492.177249226406,341.39126776205376,35833.56851698846,923.8162433425273,33.573604912858585,21.946295755713475
2026-01-24,9.0,0.3396213236196675,35833.56851698846,121.69843969755311,35955.26695668601,927.2933416196004,33.573604912858585,4.2054071819396945
2026-01-31,9.0,1.783579551556044,35955.26695668601,641.2907891468349,36596.55774583285,945.6159355952243,33.573604912858585,33.58229553568004
2026-02-07,9.0,9.80839384040414,36596.55774583285,3589.53451574222,40186.09226157507,1048.1740646164305,33.573604912858585,65.71265872538082
2026-02-21,9.0,9.276781603014792,40186.09226157507,3727.976013892345,43914.06827546741,1154.6876650133547,33.573604912858585,37.22568240098822
2024-05-11,10.0,0.7508016075496199,3500.0,26.27805626423651,3526.2780562642365,0.7508016075496116,33.88551483615302,10.91571866555135
2024-05-18,10.0,7.053206913668746,3526.2780562642365,248.7156876596132,3774.9937439238497,7.856964112109988,33.88551483615302,40.98954060206331
2024-06-01,10.0,5.476223034508198,3774.9937439238497,206.72707695600047,3981.72082087985,13.763452025138578,33.88551483615302,39.15008442127073
2024-06-08,10.0,5.035235364295579,3981.72082087985,200.4890148804625,4182.209835760313,19.491709593151786,33.88551483615302,39.308808202034186
2024-06-15,10.0,1.0969396992158826,4182.209835760313,45.87631999296627,4228.086155753279,20.802461592950827,33.88551483615302,10.093180499730806
2024-06-22,10.0,0.0397913306841495,4228.086155753279,1.6824117438463873,4229.768567497125,20.850530499917873,33.88551483615302,1.4630227502633653
2024-06-29,10.0,3.978815890366223,4229.768567497125,168.29470388929167,4398.063271386417,25.65895061104049,33.88551483615302,41.71167233181332
2024-07-13,10.0,1.655153045620534,4398.063271386417,72.79467818467128,4470.857949571088,27.738798559173937,33.88551483615302,22.859682087489762
2024-07-20,10.0,4.679456712206591,4470.857949571088,209.21186241442592,4680.069811985514,33.71628034244327,33.88551483615302,39.94248667479026
2024-07-27,10.0,2.503851349428129,4680.069811985514,117.18199114157778,4797.251803127092,37.06433723220264,33.88551483615302,24.604530517922704
2024-08-03,10.0,4.277854398719326,4797.251803127092,205.2194472777146,5002.471250404807,42.927750011565905,33.88551483615302,25.342629532906397
2024-08-10,10.0,0.8768434577346951,5002.471250404807,43.86384188423381,5046.33509228904,44.18100263682972,33.88551483615302,15.535970592516586
2024-08-17,10.0,6.8884874806782745,5046.33509228904,347.6161610654044,5393.951253354445,54.11289295298414,33.88551483615302,43.69497263543053
2024-08-24,10.0,0.1602422217272588,5393.951253354445,8.643387327259916,5402.594640681705,54.359846876620146,33.88551483615302,1.7875803796776277
2024-09-07,10.0,4.433650169678504,5402.594640681705,239.5321464536255,5642.12678713533,61.203622489580866,33.88551483615302,51.24111392126362
2024-09-14,10.0,2.761469180318906,5642.12678713533,155.8055923412585,5797.932379476589,65.65521084218827,33.88551483615302,24.87757186783357
2024-09-28,10.0,0.7557118132804602,5797.932379476589,43.81565991771822,5841.748039394307,66.90708683983735,33.88551483615302,17.87963374763175
2024-10-05,10.0,13.459697505762062,5841.748039394307,786.2816151512598,6628.029654545567,89.37227584415905,33.88551483615302,60.928056032954096
2024-10-12,10.0,7.813833575275757,6628.029654545567,517.9032065261154,7145.932861071682,104.16951031633377,33.88551483615302,44.929545867107926
2024-10-19,10.0,5.367302115680944,7145.932861071682,383.5438056374405,7529.476666709123,115.12790476311778,33.88551483615302,47.134519625950155
2024-10-26,10.0,5.599105616136006,7529.476666709123,421.58335091136087,7951.060017620483,127.17314336058524,33.88551483615302,19.086600152566938
2024-11-02,10.0,1.491328674551312,7951.060017620483,118.57643797355922,8069.636455594043,130.56104158840122,33.88551483615302,14.963859751803787
2024-11-09,10.0,0.2089285961868221,8069.636455594043,16.85977816405284,8086.4962337580955,131.0427495359456,33.88551483615302,2.7316205472510857
2024-11-16,10.0,2.2574055067575465,8086.4962337580955,182.5450112845965,8269.041245042692,136.25832128693406,33.88551483615302,20.702142650800816
2024-11-23,10.0,0.0,8269.041245042692,0.0,8269.041245042692,136.25832128693406,33.88551483615302,
2024-12-07,10.0,6.905582535948719,8269.041245042692,571.025468108066,8840.066713150758,152.57333466145022,33.88551483615302,49.78899830785671
2024-12-14,10.0,4.0049519045559485,8840.066713150758,354.0404201923466,9194.107133343105,162.6887752383744,33.88551483615302,29.297510210353003
2025-01-11,10.0,0.015368000960004,9194.107133343105,1.4129504725151492,9195.52008381562,162.72914525187488,33.88551483615302,0.8796027214674971
2025-01-18,10.0,3.778914751060892,9195.52008381562,347.49086488407556,9543.010948699695,172.65745567713418,33.88551483615302,37.22176265931186
2025-02-01,10.0,4.352969278559577,9543.010948699695,415.40433484647474,9958.41528354617,184.526150958462,33.88551483615302,26.58807901232895
2025-02-08,10.0,3.221057243874951,9958.41528354617,320.7662568658161,10279.181540411986,193.69090115462816,33.88551483615302,29.875471065537628
2025-02-15,10.0,1.3231723694417674,10279.181540411986,136.0112899474898,10415.192830359476,197.57693801027077,33.88551483615302,6.9939837102129685
2025-02-22,10.0,1.4530460729695092,10415.192830359476,151.33755041374025,10566.530380773216,201.9008680220919,33.88551483615302,21.11805958339302
