,accuracy,loss,val_accuracy,val_loss,learning_rate
31,0.6363636255264282,0.22495079040527344,0.6543624401092529,0.21462377905845642,9.999999747378752e-05
32,0.6324475407600403,0.22425515949726105,0.6554809808731079,0.21417997777462006,9.999999747378752e-05
33,0.6338461637496948,0.22547626495361328,0.6588366627693176,0.21369300782680511,9.999999747378752e-05
34,0.6509090662002563,0.22089922428131104,0.6521252989768982,0.21427328884601593,9.999999747378752e-05
35,0.6422377824783325,0.2208353728055954,0.6633109450340271,0.21394792199134827,9.999999747378752e-05
36,0.6453146934509277,0.22205983102321625,0.6588366627693176,0.21394920349121094,9.999999747378752e-05
37,0.6416783332824707,0.2235521674156189,0.6599552631378174,0.21418003737926483,9.999999747378752e-05
38,0.6349650621414185,0.22313696146011353,0.6577181220054626,0.21379996836185455,9.999999747378752e-05
39,0.6380419731140137,0.22101028263568878,0.6621924042701721,0.21456190943717957,6.999999459367245e-05
40,0.6461538672447205,0.21966436505317688,0.6565995812416077,0.21422648429870605,6.999999459367245e-05
41,0.637202799320221,0.22390003502368927,0.6588366627693176,0.2139437198638916,6.999999459367245e-05
42,0.6377622485160828,0.22304221987724304,0.6521252989768982,0.2141767293214798,6.999999459367245e-05
43,0.6478321552276611,0.21929942071437836,0.6554809808731079,0.21400438249111176,6.999999459367245e-05
44,0.6525874137878418,0.21818076074123383,0.6532438397407532,0.21413831412792206,6.999999459367245e-05
45,0.6514685153961182,0.21834923326969147,0.6577181220054626,0.21399274468421936,6.999999459367245e-05
46,0.6402797102928162,0.22296002507209778,0.6588366627693176,0.2137434482574463,6.999999459367245e-05
47,0.6453146934509277,0.22062061727046967,0.6554809808731079,0.21466921269893646,6.999999459367245e-05
48,0.6553846001625061,0.21766023337841034,0.6554809808731079,0.21385988593101501,6.999999459367245e-05
49,0.6573426723480225,0.21784913539886475,0.6577181220054626,0.21402567625045776,4.8999994760379195e-05
50,0.6517482399940491,0.21973656117916107,0.6577181220054626,0.21407096087932587,4.8999994760379195e-05
51,0.6531468629837036,0.21973618865013123,0.6599552631378174,0.21466897428035736,4.8999994760379195e-05
52,0.6511887907981873,0.21705776453018188,0.6577181220054626,0.2142820805311203,4.8999994760379195e-05
53,0.6489510536193848,0.21830950677394867,0.6565995812416077,0.21438108384609222,4.8999994760379195e-05
54,0.648391604423523,0.22159741818904877,0.6565995812416077,0.21452532708644867,4.8999994760379195e-05
55,0.6450349688529968,0.21836450695991516,0.6577181220054626,0.21416012942790985,4.8999994760379195e-05
56,0.648391604423523,0.21624834835529327,0.6588366627693176,0.214102104306221,4.8999994760379195e-05
57,0.6388811469078064,0.22043435275554657,0.6621924042701721,0.21474942564964294,4.8999994760379195e-05
58,0.6514685153961182,0.21652118861675262,0.6554809808731079,0.21423494815826416,4.8999994760379195e-05
59,0.6478321552276611,0.218710795044899,0.6610738039016724,0.21401061117649078,3.4299995604669675e-05
60,0.6509090662002563,0.21895797550678253,0.6565995812416077,0.21439939737319946,3.4299995604669675e-05
61,0.65202796459198,0.21873174607753754,0.6565995812416077,0.21388228237628937,3.4299995604669675e-05
62,0.6567832231521606,0.21596816182136536,0.6577181220054626,0.21445070207118988,3.4299995604669675e-05
63,0.6511887907981873,0.21754492819309235,0.6565995812416077,0.21435849368572235,3.4299995604669675e-05
64,0.6486713290214539,0.21719087660312653,0.6521252989768982,0.21438811719417572,3.4299995604669675e-05
65,0.6539860367774963,0.21376223862171173,0.6588366627693176,0.21451982855796814,3.4299995604669675e-05
66,0.6570629477500916,0.21662600338459015,0.6588366627693176,0.21407939493656158,3.4299995604669675e-05
67,0.6472727060317993,0.21627257764339447,0.6610738039016724,0.21450325846672058,3.4299995604669675e-05
68,0.6606993079185486,0.21602506935596466,0.6621924042701721,0.21439659595489502,3.4299995604669675e-05
69,0.659300684928894,0.2164193093776703,0.6621924042701721,0.21460512280464172,2.400999619567301e-05
