date,stage,policy,switched,event_return
2024-10-26,close2,keep_open,False,0.30245793903832197
2024-11-16,close2,keep_open,False,-0.10442159017918218
2024-12-07,close2,keep_open,False,-0.1674950476620024
2024-10-12,close2,always_switch,True,-0.1832384103645247
2024-10-26,close2,always_switch,False,0.30245793903832197
2024-11-16,close2,always_switch,True,-0.1411652158254424
2024-12-07,close2,always_switch,False,-0.1674950476620024
2024-10-12,close2,positive_ev_gain,True,-0.1832384103645247
2024-10-26,close2,positive_ev_gain,False,0.30245793903832197
2024-11-16,close2,positive_ev_gain,True,-0.1411652158254424
2024-12-07,close2,positive_ev_gain,False,-0.1674950476620024
2024-10-12,close2,positive_bankroll_ev_gain,False,-0.3001775326774781
2024-10-26,close2,positive_bankroll_ev_gain,False,0.30245793903832197
2024-11-16,close2,positive_bankroll_ev_gain,True,-0.1411652158254424
2024-12-07,close2,positive_bankroll_ev_gain,False,-0.1674950476620024
2024-10-12,close2,positive_expected_log_gain,False,-0.3001775326774781
2024-10-26,close2,positive_expected_log_gain,False,0.30245793903832197
2024-11-16,close2,positive_expected_log_gain,True,-0.1411652158254424
2024-12-07,close2,positive_expected_log_gain,False,-0.1674950476620024
2025-01-11,close2,learned,True,-0.08728197746793594
2025-02-01,close2,learned,True,0.5452080974552937
2025-02-15,close2,learned,False,-0.1824758889109623
2025-03-15,close2,learned,True,-0.13304597206764898
2025-03-29,close2,learned,True,0.3143098334602192
2025-01-11,close2,keep_open,False,0.03897654376470854
2025-02-01,close2,keep_open,False,0.4076176823052459
2025-02-15,close2,keep_open,False,-0.1824758889109623
2025-03-15,close2,keep_open,False,0.45486906091914375
2025-03-29,close2,keep_open,False,0.2918613614502656
2025-01-11,close2,always_switch,True,-0.08728197746793594
2025-02-01,close2,always_switch,True,0.5452080974552937
2025-02-15,close2,always_switch,False,-0.1824758889109623
2025-03-15,close2,always_switch,True,-0.13304597206764898
2025-03-29,close2,always_switch,True,0.3143098334602192
2025-01-11,close2,positive_ev_gain,True,-0.08728197746793594
2025-02-01,close2,positive_ev_gain,True,0.5452080974552937
2025-02-15,close2,positive_ev_gain,False,-0.1824758889109623
2025-03-15,close2,positive_ev_gain,True,-0.13304597206764898
2025-03-29,close2,positive_ev_gain,True,0.3143098334602192
2025-01-11,close2,positive_bankroll_ev_gain,True,-0.08728197746793594
2025-02-01,close2,positive_bankroll_ev_gain,True,0.5452080974552937
2025-02-15,close2,positive_bankroll_ev_gain,False,-0.1824758889109623
2025-03-15,close2,positive_bankroll_ev_gain,True,-0.13304597206764898
2025-03-29,close2,positive_bankroll_ev_gain,False,0.2918613614502656
2025-01-11,close2,positive_expected_log_gain,True,-0.08728197746793594
2025-02-01,close2,positive_expected_log_gain,False,0.4076176823052459
2025-02-15,close2,positive_expected_log_gain,False,-0.1824758889109623
2025-03-15,close2,positive_expected_log_gain,True,-0.13304597206764898
2025-03-29,close2,positive_expected_log_gain,False,0.2918613614502656
2025-04-12,close2,learned,False,-0.15826039889079901
2025-04-26,close2,learned,False,0.02914965131832062
2025-05-03,close2,learned,False,0.7187235300400592
2025-06-07,close2,learned,False,0.21683421696986444
2025-06-14,close2,learned,False,0.35617383897631427
2025-06-21,close2,learned,False,-0.11811369090937693
2025-06-28,close2,learned,False,0.39147389419285833
2025-04-12,close2,keep_open,False,-0.15826039889079901
2025-04-26,close2,keep_open,False,0.02914965131832062
2025-05-03,close2,keep_open,False,0.7187235300400592
2025-06-07,close2,keep_open,False,0.21683421696986444
2025-06-14,close2,keep_open,False,0.35617383897631427
2025-06-21,close2,keep_open,False,-0.11811369090937693
2025-06-28,close2,keep_open,False,0.39147389419285833
2025-04-12,close2,always_switch,True,-0.18602614968209077
2025-04-26,close2,always_switch,True,0.0699980687899856
2025-05-03,close2,always_switch,True,0.39572383755964724
2025-06-07,close2,always_switch,True,-0.21511752663341957
2025-06-14,close2,always_switch,True,0.19730721385375996
2025-06-21,close2,always_switch,True,-0.17039361174524972
2025-06-28,close2,always_switch,True,0.48925096603927165
2025-04-12,close2,positive_ev_gain,True,-0.18602614968209077
