date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-08-17,mateusz gamrot,dan hooker,1,0.0,-450.0,290.0,1,0.0,-295.0,220.0,mateusz gamrot,-450.0,-295.0,-295.0,1.2222222222222223,1.3389830508474576,1.3389830508474576,False,False,close1,-450,,
2024-08-17,tai tuivasa,jairzinho rozenstruik,0,0.0,175.0,-260.0,0,0.0,132.0,-170.0,jairzinho rozenstruik,-260.0,-170.0,-170.0,1.3846153846153846,1.5882352941176472,1.5882352941176472,True,True,close1,-300,,
2024-08-17,tom nolan,alex reyes,1,1.0,-1600.0,700.0,1,1.0,-1100.0,700.0,tom nolan,-1600.0,-1100.0,-1100.0,1.0625,1.0909090909090908,1.0909090909090908,True,True,close1,-1600,,
2024-08-24,angela hill,tabatha ricci,0,0.0,120.0,-192.0,0,0.0,124.0,-148.0,tabatha ricci,-192.0,-148.0,-148.0,1.5208333333333335,1.6756756756756757,1.6756756756756757,True,True,close1,-200,,
2024-08-24,dennis buzukja,francis marshall,0,0.0,140.0,-220.0,0,0.0,114.0,-146.0,francis marshall,-220.0,-146.0,-146.0,1.4545454545454546,1.6849315068493151,1.6849315068493151,True,True,close1,-250,,
2024-08-24,edmen shahbazyan,gerald meerschaert,1,0.0,-350.0,245.0,1,0.0,-148.0,124.0,edmen shahbazyan,-350.0,-148.0,-148.0,1.2857142857142856,1.6756756756756757,1.6756756756756757,False,False,close1,-350,,
2024-08-24,jared cannonier,caio borralho,0,0.0,210.0,-350.0,0,0.0,122.0,-145.0,caio borralho,-350.0,-145.0,-145.0,1.2857142857142856,1.6896551724137931,1.6896551724137931,True,True,close1,-350,,
2024-08-24,neil magny,michael morales,0,0.0,590.0,-1000.0,0,0.0,180.0,-218.0,michael morales,-1000.0,-218.0,-218.0,1.1,1.4587155963302751,1.4587155963302751,True,True,close1,-1000,,
2024-09-07,gilbert burns,sean brady,0,0.0,150.0,-210.0,0,0.0,-110.0,-110.0,sean brady,-210.0,-110.0,-110.0,1.4761904761904763,1.9090909090909092,1.9090909090909092,True,True,close1,-250,,
2024-09-07,isaac dulgarian,brendon marotte,1,1.0,-3335.0,1050.0,1,1.0,-900.0,600.0,isaac dulgarian,-3335.0,-900.0,-900.0,1.0299850074962518,1.1111111111111112,1.1111111111111112,True,True,close1,-3350,,
