odds_type,bin_low,bin_high_exclusive,n_bets,n_events,close_wins,open_wins,different_picks,mean_close_american,close_roi_pct,open_target_roi_pct,initial_gap_pp,same_close_picks_at_open_roi_pct,required_adjustment,status,matched_roi_pct,mean_decimal_increase,mean_raw_american_change,mean_adjusted_american,roi_at_limit_pct,roi_gain_pp_first_step,average_gap_closed_pp_per_point
close1,-300,-250,84,50,56,56,0,-279.60714285714283,-9.394211559165107,-0.8062484198953109,8.587963139269796,-0.8062484198953109,73.37090044551493,matched,-0.8062484198953088,0.12816743127211663,73.37090044551493,-206.23624241162784,3247.3809523809523,0.8931468625265353,0.11704862673243595
close1,-250,-200,105,55,64,65,1,-230.31428571428572,-12.521094261126409,-3.2821372764768495,9.23895698464956,-4.914790337701341,59.10612134551609,matched,-3.2821372764782772,0.1523427508881687,59.1061213455161,-171.2081643687696,2989.9809523809517,1.2111086610293889,0.15631133923746202
close1,-200,-150,117,61,78,83,11,-176.18803418803418,4.804687239524168,20.505323867500024,15.700636627975857,12.09064746390369,50.52758896159548,matched,20.50532386749821,0.23488509004097108,50.52758896159548,-125.66044522643872,3316.051282051282,2.330636594764676,0.3107339366600185
close1,-150,-100,109,54,64,65,19,-133.25688073394497,2.7681231838862708,6.64428870334412,3.8761655194578495,9.41527667321412,10.690141244315242,matched,6.644288703346328,0.0675293901681176,25.36904032688405,-107.8878404070609,2932.9541284403676,3.606298129617463,0.362592544931911
close1,100,150,11,11,5,5,0,110.27272727272727,-4.272727272727271,-2.027239257485643,2.245488015241628,-2.027239257485643,4.94007363353158,matched,-2.027239257485647,0.04940073633531576,4.940073633531579,115.21280090625883,2268.4545454545455,4.545454545454546,0.45454545454545464
close1,150,200,1,1,1,1,0,160.0,160.0,175.0,15.0,175.0,15.0,matched,175.0,0.1499999999999999,15.0,175.0,5160.0,10.000000000000028,1.0
close2,-2200,-2150,1,1,1,1,0,-2200.0,4.545454545454541,5.998800239952007,1.4533456944974654,5.998800239952007,533.0000000000005,matched,5.998800239952007,0.014533456944974654,532.9999999999993,-1667.0000000000007,3000.0,0.020755500207547684,0.002726727381796368
close2,-2100,-2050,1,1,1,1,0,-2100.0,4.761904761904767,11.111111111111116,6.349206349206349,11.111111111111116,1199.9999999999998,matched,11.111111111111116,0.06349206349206349,1200.0000000000005,-899.9999999999995,3100.0,0.022784233310546576,0.005291005291005292
close2,-1650,-1600,1,1,1,1,0,-1650.0,6.060606060606055,7.407407407407396,1.3468013468013407,7.407407407407396,299.99999999999767,matched,7.407407407407396,0.013468013468013407,299.99999999999795,-1350.000000000002,3550.0,0.03695491500370629,0.00448933782267117
close2,-1400,-1350,1,1,1,1,0,-1400.0,7.14285714285714,33.55704697986577,26.414189837008628,33.55704697986577,1102.0,matched,33.55704697986577,0.2641418983700863,1102.0,-298.00000000000006,3800.0,0.05138746145940676,0.023969319271332692
close2,-1250,-1200,1,1,1,1,0,-1250.0,8.000000000000007,12.5,4.499999999999993,12.5,449.99999999999943,matched,12.5,0.04499999999999993,450.0,-800.0,3950.0,0.0645161290322438,0.009999999999999997
close2,-1200,-1150,2,2,1,1,0,-1200.0,-45.833333333333336,-43.75,2.0833333333333357,-43.75,400.0000000000005,matched,-43.75,0.04166666666666674,400.0,-800.0,1950.0,0.03501400560224255,0.005208333333333332
close2,-1150,-1100,1,1,1,1,0,-1115.0,8.968609865470857,9.090909090909083,0.12229922543822624,9.090909090909083,14.999999999999755,matched,9.090909090909083,0.0012229922543822713,14.99999999999909,-1100.000000000001,4085.0,0.08116389018524117,0.008153281695881883
close2,-1100,-1050,2,2,2,2,0,-1100.0,9.090909090909083,11.744505494505496,2.6535964035964135,11.744505494505496,248.53801169592822,matched,11.744505494505786,0.02653596403596703,248.5380116959276,-851.4619883040724,4100.0,0.08340283569641116,0.010676823176822281
close2,-1000,-950,5,5,5,5,0,-1000.0,10.000000000000009,16.43860683314935,6.438606833149342,16.43860683314935,391.6759430103005,matched,16.43860683314933,0.06438606833149318,391.6759430103002,-608.3240569896998,4200.0,0.10101010101009145,0.01643860683314935
