title_fight,event_name,event_date,event_location,fight_url,weight_class,method,round,fight_time,performance_bonus_winner,fight_otn_bonus,winner,fighter_red,fighter_blue,record_red,record_blue,dob_red,dob_blue,height_red,height_blue,reach_red,reach_blue,stance_red,stance_blue,kd_red,kd_blue,sig_str_red,sig_str_blue,sig_str_percent_red,sig_str_percent_blue,td_red,td_blue,td_pct_red,td_pct_blue,clinch_red,clinch_blue,ground_red,ground_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_red,head_blue,body_red,body_blue,leg_red,leg_blue,distance_red,distance_blue,total_strikes_red,total_strikes_blue
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/3859314324918eeb,Lightweight,U-DEC,3,5:00,0,0,Nurullo Aliev,Nurullo Aliev,Mike Davis,12-0-0,12-4-0,"Dec 08, 2000","Oct 07, 1992","5' 10""","6' 0""","72""","72""",Orthodox,Orthodox,0,0,13 of 34,22 of 37,38%,59%,8 of 13,0 of 0,61%,---,1 of 4,2 of 3,8 of 13,11 of 11,1,2,1,0,12:25,0:36,12 of 30,9 of 23,1 of 4,11 of 12,0 of 0,2 of 2,4 of 17,9 of 23,81 of 106,55 of 71
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/532340708f0500bd,Bantamweight,"SUB, Arm Triangle",3,3:07,0,0,Abdul Hussein,Cody Gibson,Abdul Hussein,22-13-0,16-2-0,"Sep 11, 1987","Aug 02, 1997","5' 10""","5' 7""","71""","67""",Orthodox,Orthodox,0,1,44 of 81,65 of 99,54%,65%,1 of 3,1 of 2,33%,50%,21 of 25,11 of 12,1 of 1,16 of 24,3,3,0,2,1:16,7:47,13 of 47,58 of 91,25 of 28,7 of 8,6 of 6,0 of 0,22 of 55,38 of 63,53 of 94,91 of 133
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/701c97405da76603,Middleweight,U-DEC,5,5:00,0,1,Dricus Du Plessis,Dricus Du Plessis,Kamaru Usman,24-3-0,21-5-0,"Jan 14, 1994","May 11, 1987","6' 1""","6' 0""","76""","76""",Switch,Switch,0,0,136 of 273,92 of 234,49%,39%,0 of 2,0 of 7,0%,0%,4 of 4,4 of 4,0 of 2,0 of 0,0,0,0,0,0:06,0:24,102 of 230,49 of 170,24 of 30,37 of 58,10 of 13,6 of 6,132 of 267,88 of 230,139 of 278,99 of 244
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/4eff5a845db17572,Middleweight,U-DEC,3,5:00,0,0,Christian Leroy Duncan,Jared Cannonier,Christian Leroy Duncan,18-10-0,15-2-0,"Mar 16, 1984","Jul 24, 1995","5' 11""","6' 2""","77""","79""",Switch,Switch,0,0,15 of 46,68 of 117,32%,58%,5 of 8,1 of 3,62%,33%,8 of 12,25 of 34,1 of 1,0 of 1,0,0,0,1,6:12,2:16,7 of 36,37 of 85,6 of 8,17 of 18,2 of 2,14 of 14,6 of 33,43 of 82,36 of 69,94 of 148
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/f2abca7379982d4f,Lightweight,"SUB, Rear Naked Choke",1,2:15,0,0,Chase Hooper,Chase Hooper,Mitch Ramirez,17-5-1,8-4-0,"Sep 13, 1999","Nov 03, 1992","6' 1""","5' 11""","74""","70""",Southpaw,Orthodox,0,0,3 of 7,1 of 1,42%,100%,1 of 2,0 of 0,50%,---,0 of 0,0 of 0,0 of 0,0 of 0,1,0,0,0,1:27,0:00,2 of 6,0 of 0,0 of 0,0 of 0,1 of 1,1 of 1,3 of 7,1 of 1,4 of 8,3 of 3
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/52ddf20a10890b41,Women's Strawweight,U-DEC,3,5:00,0,0,Fatima Kline,Tabatha Ricci,Fatima Kline,12-5-0,10-1-0,"Feb 21, 1995","Jul 12, 2000","5' 1""","5' 6""","61""","67""",Orthodox,Orthodox,0,0,24 of 102,66 of 164,23%,40%,1 of 8,7 of 9,12%,77%,2 of 3,9 of 12,0 of 0,1 of 1,0,1,0,1,0:30,5:00,18 of 89,41 of 130,5 of 9,20 of 28,1 of 4,5 of 6,22 of 99,56 of 151,26 of 108,86 of 195
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/c64c6ba6eb1e1d06,Featherweight,"KO/TKO, Punches",3,3:29,1,0,Tommy McMillen,Tommy McMillen,Alberto Montes,11-0-0,12-2-0,"Dec 15, 1997","May 31, 1994","6' 0""","5' 7""","74""","69""",Orthodox,Orthodox,2,0,252 of 513,56 of 147,49%,38%,0 of 0,0 of 0,---,---,11 of 19,0 of 0,7 of 10,0 of 0,0,0,0,0,0:57,0:00,185 of 429,48 of 134,52 of 65,4 of 8,15 of 19,4 of 5,234 of 484,56 of 147,255 of 517,56 of 147
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/3bd159c1bed14700,Featherweight,U-DEC,3,5:00,0,0,Jose Delgado,Austin Bashi,Jose Delgado,14-2-0,12-2-0,"Sep 29, 2001","Apr 21, 1998","5' 6""","5' 11""","70""","73""",Orthodox,Switch,0,1,32 of 87,35 of 85,36%,41%,3 of 14,1 of 3,21%,33%,4 of 7,5 of 6,2 of 2,1 of 1,1,0,1,0,3:10,1:54,23 of 74,22 of 70,7 of 10,9 of 11,2 of 3,4 of 4,26 of 78,29 of 78,54 of 111,70 of 126
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/f2eb569176e46edf,Welterweight,U-DEC,3,5:00,0,0,Jean-Paul Lebosnoyani,Jean-Paul Lebosnoyani,Seokhyeon Ko,11-2-0,13-3-0,"Jan 27, 1999","Sep 24, 1993","5' 11""","5' 10""","72""","71""",Switch,Southpaw,0,0,52 of 152,66 of 168,34%,39%,3 of 4,0 of 4,75%,0%,11 of 20,2 of 2,0 of 0,3 of 3,2,0,0,1,2:09,1:47,35 of 125,55 of 153,10 of 19,7 of 11,7 of 8,4 of 4,41 of 132,61 of 163,67 of 168,80 of 186
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/46d800ce45fdd3e6,Light Heavyweight,"KO/TKO, Punches",2,1:40,1,0,Felipe Franco,Levi Rodrigues Jr.,Felipe Franco,5-1-0 (1 NC),11-2-0,"Oct 15, 1996","Jan 22, 2001","6' 0""","6' 1""","76""","76""",Orthodox,Orthodox,0,0,11 of 32,39 of 56,34%,69%,0 of 0,3 of 6,---,50%,0 of 0,0 of 0,0 of 0,27 of 36,0,0,0,0,0:00,3:51,7 of 27,38 of 55,0 of 0,1 of 1,4 of 5,0 of 0,11 of 32,12 of 20,26 of 52,52 of 72
