blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Max Holloway,150,225,230,Conor McGregor,-190,-290,-245,2013-08-17,Max Holloway,Conor McGregor
Mario Bautista,170,120,133,Cory Sandhagen,-200,-155,-148,2026-07-11,Mario Bautista,Cory Sandhagen
Mario Bautista,325,380,475,Cory Sandhagen,-475,-625,-500,2019-01-19,Mario Bautista,Cory Sandhagen
Kris Moutinho,385,420,500,Cristian Quinonez,-500,-700,-560,2026-03-01,Kris Moutinho,Cristian Quinonez
Nate Landwehr,-155,-110,125,Cub Swanson,135,-150,-110,2026-04-11,Nate Landwehr,Cub Swanson
Josh Hokit,140,-135,100,Curtis Blaydes,-160,-125,115,2026-04-11,Josh Hokit,Curtis Blaydes
Jairzinho Rozenstruik,198,240,290,Curtis Blaydes,-240,-380,-300,2021-09-25,Josh Hokit,Curtis Blaydes
Cesar Almeida,225,200,250,Damian Pinas,-265,-300,-250,2026-07-11,Cesar Almeida,Damian Pinas
Wes Schultz,300,190,200,Damian Pinas,-400,-265,-225,2026-02-28,Wes Schultz,Damian Pinas
Melquizael Costa,-125,-275,-240,Dan Ige,105,185,225,2026-02-22,Melquizael Costa,Dan Ige
Luis Gurule,110,-188,-162,Daniel Barez,-130,136,155,2026-05-16,Luis Gurule,Daniel Barez
King Green,350,290,350,Daniel Zellhuber,-520,-500,-360,2026-03-01,King Green,Daniel Zellhuber
Theodor Berggren,525,350,430,Daniil Donchenko,-700,-590,-460,2026-06-27,Theodor Berggren,Daniil Donchenko
Adrian Luna Martinetti,-138,-103,100,Davey Grant,105,-125,-121,2026-04-25,Adrian Luna Martinetti,Davey Grant
Marcio Barbosa,-350,-435,-330,Dennis Buzukja,285,270,325,2026-04-19,Marcio Barbosa,Dennis Buzukja
Steve Garcia,190,120,145,Diego Lopes,-225,-177,-150,2026-06-15,Steve Garcia,Diego Lopes
Melissa Gatto,-135,-112,100,Dione Barbosa,115,-125,-110,2026-04-04,Melissa Gatto,Dione Barbosa
Kody Steele,-205,-380,-150,Dom Mar Fan,175,125,270,2026-05-02,Kody Steele,Dom Mar Fan
Johnny Walker,130,130,175,Dominick Reyes,-150,-210,-163,2026-04-11,Johnny Walker,Dominick Reyes
Cody Brundage,550,500,610,Donte Johnson,-800,-910,-725,2026-03-08,Cody Brundage,Donte Johnson
Ray Borg,650,650,650,Demetrious Johnson,-1350,-1000,-1000,2017-10-07,Cody Brundage,Donte Johnson
Daniel Santos,-110,-190,-160,Doo Ho Choi,-110,130,160,2026-05-17,Daniel Santos,Dooho Choi
Javier Reyes,-210,-265,-225,Douglas Silva de Andrade,180,175,225,2026-02-28,Javier Reyes,Douglas Silva de Andrade
Michael Johnson,-185,160,175,Drew Dober,160,-225,-190,2026-03-08,Michael Johnson,Drew Dober
Kamaru Usman,205,163,185,Dricus Du Plessis,-240,-225,-205,2026-07-18,Kamaru Usman,Dricus Du Plessis
Muhammad Said,185,140,170,Dustin Jacoby,-220,-205,-177,2026-07-25,Muhammad Saidov,Dustin Jacoby
Felipe Bunes,185,215,260,Edgar Chairez,-220,-350,-255,2026-03-01,Felipe Bunes,Edgar Chairez
Suyoung You,210,210,230,Elijah Smith,-250,-280,-260,2026-03-14,SuYoung You,Elijah Smith
Francis Marshall,-450,-1200,-800,Erik Silva,350,500,750,2026-02-28,Francis Marshall,Erik Silva
Rafael Estevam,-215,102,112,Ethyn Ewing,185,-142,-122,2026-04-04,Rafael Estevam,Ethyn Ewing
Tom Nolan,160,250,290,Fares Ziam,-185,-370,-320,2026-06-06,Tom Nolan,Fares Ziam
John Garza,410,450,525,Farid Basharat,-525,-750,-620,2026-07-11,John Garza,Farid Basharat
Eric Nolan,-110,138,145,Farman Hasanov,-110,-175,-160,2026-06-27,Eric Nolan,Farman Hasanov
Lucas Brennan,330,325,380,Francis Marshall,-400,-600,-425,2026-04-25,Lucas Brennan,Francis Marshall
Elisha Ellison,900,725,900,Gable Steveson,-1800,-2000,-1100,2026-07-11,Elisha Ellison,Gable Steveson
Michael Aswell,-400,-435,-360,Gaston Bolanos,330,295,330,2026-06-20,Michael Aswell Jr.,Gaston Bolanos
Uros Medic,155,160,180,Geoff Neal,-180,-225,-190,2026-02-22,Uros Medic,Geoff Neal
Mike Malott,-335,-280,-250,Gilbert Burns,275,205,240,2026-04-19,Mike Malott,Gilbert Burns
Mateusz Rebecki,-110,115,135,Grant Dawson,-110,-160,-143,2026-05-09,Mateusz Rebecki,Grant Dawson
Brunno Ferreira,130,130,140,Gregory Rodrigues,-150,-175,-155,2026-03-08,Brunno Ferreira,Gregory Rodrigues
Brunno Ferreira,300,245,270,Gregory Rodrigues,-400,-350,-300,2023-01-21,Brunno Ferreira,Gregory Rodrigues
Thomas Petersen,-110,-120,128,Guilherme Pat,-110,-164,-105,2026-04-04,Thomas Petersen,Guilherme Pat
Christian Rodriguez,-170,-240,-188,Hyder Amil,145,150,205,2026-06-20,Christian Rodriguez,Hyder Amil
Tofiq Musayev,175,220,280,Ignacio Bahamondes,-200,-350,-295,2026-03-28,Tofiq Musayev,Ignacio Bahamondes
Brunno Ferreira,250,200,240,Ikram Aliskerov,-300,-295,-250,2026-06-27,Brunno Ferreira,Ikram Aliskerov
Justin Gaethje,385,210,360,Ilia Topuria,-500,-500,-250,2026-06-15,Justin Gaethje,Ilia Topuria
Justin Gaethje,210,210,210,Ilia Topuria,-250,-250,-250,,Justin Gaethje,Ilia Topuria
Kevin Borjas,195,333,380,Imanol Rodriguez,-230,-530,-450,2026-03-01,Kevin Borjas,Imanol Rodriguez
Navajo Stirling,-350,-420,-333,Ion Cutelaba,275,250,320,2026-06-20,Navajo Stirling,Ion Cutelaba
Oumar Sy,-200,-420,-250,Ion Cutelaba,170,200,320,2026-03-14,Oumar Sy,Ion Cutelaba
